行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	桜田紅	おいしい煮玉子	
1	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	さらら。	おいしい煮玉子	
4	00:00:00	スモーク	おいしい煮玉子	
5	00:00:00	竹輪	おいたまー	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	カーマイン	おいしい煮玉子	
8	00:00:00	いぶきんぐ	おいしい煮玉子	
9	00:00:00	小さい胡麻塩	おいしい煮玉子	
10	00:00:00	らうらう	姉ちゃんどこ	
11	00:00:00	JUNY	おいしい煮玉子	
12	00:00:13	ねぎ男	おいしい煮玉子	
13	00:00:14	motiyomogi	おいしい煮玉子	
14	00:00:17	いぶきんぐ	おいしい煮玉子	
15	00:00:17	肉赤子ちゃんPB	ウオオ	
16	00:00:18	ジョナサン・グレーン	おいしい煮玉子	
17	00:00:21	桜田紅	おいしい煮玉子	
18	00:00:21	リフェ	おいしい煮玉子	
19	00:00:24	eve	おいしい煮玉子	
20	00:00:24	らうらう	おいしい煮玉子～	
21	00:00:28	竹輪	おいしい煮玉子	
22	00:00:28	カーマイン	おいしい煮玉子	
23	00:00:31	パンセポンセ	おいしい煮玉子	
24	00:00:33	T.のかね	​おいしい煮玉子	
25	00:00:37	カーマイン	白姉ちゃんだ！	
26	00:00:37	らうらう	よろしくおねがいします	
27	00:00:49	sio3go	おいしい煮玉子	
28	00:00:49	JUNY	白姉ちゃんの安心感	
29	00:00:53	小さい胡麻塩	おいしい煮玉子！	
30	00:00:58	ヘンリーダーガー	おいしい煮玉子	
31	00:01:04	うぇいのる	おいしい煮玉子	
32	00:01:16	リフェ	おお！	
33	00:01:16	motiyomogi	かわいい	
34	00:01:20	カーマイン	かわいい	
35	00:01:23	eve	おお	
36	00:01:23	ねぎ男	かわいい	
37	00:01:24	小さい胡麻塩	かわいい	
38	00:01:26	竹輪	かわいい	
39	00:01:29	ねこくーる	おいしい煮玉子	
40	00:01:31	ジャック・オー	おいしい煮玉子	
41	00:01:32	JUNY	お気持ち	
42	00:01:56	JUNY	チラ見せ	
43	00:02:56	らうらう	ブティックチケット？	
44	00:02:58	さらら。	下の召集マイレージタップでいろいろもらえるよ	
45	00:03:03	リフェ	ブティックチケットが必要なのかな	
46	00:03:46	カーマイン	メカクレ姉ちゃんすき	
47	00:03:57	リフェ	草	
48	00:04:01	らうらう	順番におすだけじゃ	
49	00:04:03	さらら。	謎解きゲーかな？	
50	00:04:03	桜田紅	0024？	
51	00:04:04	JUNY	草	
52	00:04:13	うぇいのる	草	
53	00:04:17	motiyomogi	かしこい	
54	00:04:18	竹輪	かしこい	
55	00:04:19	ねぎ男	かしこい	
56	00:04:20	桜田紅	かしこい	
57	00:04:24	カーマイン	かしこい	
58	00:04:27	小さい胡麻塩	ピックアップの10連を回せば交換用アイテムが2つ貰えるのでそれを集めれば好きな衣装獲得できるっぽいです	
59	00:04:29	うぇいのる	すごい	
60	00:04:30	eve	かしこい	
61	00:04:59	石動ミコ	おや、青石2やってるんだね～	
62	00:00:00	桜田紅	おいしい煮玉子	
63	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
64	00:00:00	リフェ	おいしい煮玉子	
65	00:00:00	さらら。	おいしい煮玉子	
66	00:00:00	スモーク	おいしい煮玉子	
67	00:00:00	竹輪	おいたまー	
68	00:00:00	らうらう	おいしい煮玉子	
69	00:00:00	カーマイン	おいしい煮玉子	
70	00:00:00	いぶきんぐ	おいしい煮玉子	
71	00:00:00	小さい胡麻塩	おいしい煮玉子	
72	00:00:00	らうらう	姉ちゃんどこ	
73	00:00:00	JUNY	おいしい煮玉子	
74	00:00:13	ねぎ男	おいしい煮玉子	
75	00:00:14	motiyomogi	おいしい煮玉子	
76	00:00:17	いぶきんぐ	おいしい煮玉子	
77	00:00:17	肉赤子ちゃんPB	ウオオ	
78	00:00:18	ジョナサン・グレーン	おいしい煮玉子	
79	00:00:21	桜田紅	おいしい煮玉子	
