行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	内海柚	Break time now	
1	00:00:00	らうらう	おいしいにたまご	
2	00:00:00	ジャック・オー	もっと腰据えて食事と休憩して…	
3	00:00:00	Ami Saika		￥100
4	00:00:00	スモーク	やったね！（本日2度目）	￥1,000
5	00:00:15	あい	おいしい煮玉子	
6	00:00:16	mori mori	はじまた	
7	00:00:20	motiyomogi	おいしい煮玉子	
8	00:00:22	タケノコ男	おいしい煮玉子	
9	00:00:23	じょーげん	おいしい煮玉子	
10	00:00:28	ああ	おいしい煮玉子	
11	00:00:34	カギカギ	おいしいい煮玉子	
12	00:00:39	まりも	おいしい煮玉子	
13	00:00:44	スモーク	おいしい煮玉子	
14	00:00:44	にけい	おししい煮玉子	
15	00:00:49	ジャック・オー	おいしい煮玉子	
16	00:00:50	らうらう	おいしいしみ	
17	00:01:10	竹輪	おいしい煮玉子	
18	00:01:45	竹輪	限定公開になってる？	
19	00:01:45	スモーク	限定公開？	
20	00:01:48	御早和杯	おいしい煮玉子	
21	00:01:53	motiyomogi	限定公開になっとる	
22	00:02:27	天然ステルス	おいしい煮玉子	
23	00:02:29	ジャック・オー	セレビィって取ってなかったっけ？	
24	00:02:44	究極ド根性ダイコン	おいしい煮玉子	
25	00:03:02	究極ド根性ダイコン	リロったけど解除できてなさげ？	
26	00:03:05	竹輪	されてない気が	
27	00:03:08	スモーク	表示は消えてないよ	
28	00:03:17	ジャック・オー	外れてない	
29	00:03:28	ああ	時間かかる系？	
30	00:03:34	motiyomogi	お、多分公開された	
31	00:03:45	eve	おいしい煮玉子	
32	00:03:48	JUNY	おいしい煮玉子	
33	00:03:49	ぼんじりウマ太郎	おいしい煮玉子	
34	00:03:49	タケノコ男	公開されたか？	
35	00:03:54	竹輪	不思議だね	
36	00:03:56	岸辺一徳	おいしい煮玉子	
37	00:04:04	ジャック・オー	不思議	
38	00:04:11	リフェ	おいしい煮玉子	
39	00:04:22	味付けタマゴ	おいしい煮玉子	
40	00:04:35	ねこくーる	いつのまにか始まってる！	
41	00:04:39	motiyomogi	がんばえー	
42	00:04:48	JUNY	休憩が効いてるな	
43	00:04:53	ああ	回避上手くなってる	
44	00:05:07	ジャック・オー	動きにキレがある	
45	00:05:14	スモーク	いいね	
46	00:05:14	竹輪	よし！	
47	00:06:11	JUNY	マリオがいかに足を引っ張っていたかわかるね…	
48	00:06:16	motiyomogi	のっしのっし	
49	00:06:23	うぇいのる	いけそう	
50	00:06:36	岸辺一徳	いいぞ！	
51	00:06:36	JUNY	玄人っぽい動き	
52	00:07:18	JUNY	速いねー	
53	00:00:00	内海柚	Break time now	
54	00:00:00	らうらう	おいしいにたまご	
55	00:00:00	ジャック・オー	もっと腰据えて食事と休憩して…	
56	00:00:00	Ami Saika		￥100
57	00:00:00	スモーク	やったね！（本日2度目）	￥1,000
58	00:00:15	あい	おいしい煮玉子	
59	00:00:16	mori mori	はじまた	
60	00:00:20	motiyomogi	おいしい煮玉子	
61	00:00:22	タケノコ男	おいしい煮玉子	
62	00:00:23	じょーげん	おいしい煮玉子	
63	00:00:28	ああ	おいしい煮玉子	
64	00:00:34	カギカギ	おいしいい煮玉子	
65	00:00:39	まりも	おいしい煮玉子	
66	00:00:44	スモーク	おいしい煮玉子	
67	00:00:44	にけい	おししい煮玉子	
68	00:00:49	ジャック・オー	おいしい煮玉子	
69	00:00:50	らうらう	おいしいしみ	
70	00:01:10	竹輪	おいしい煮玉子	
71	00:01:45	竹輪	限定公開になってる？	
72	00:01:45	スモーク	限定公開？	
73	00:01:48	御早和杯	おいしい煮玉子	
74	00:01:53	motiyomogi	限定公開になっとる	
