行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	T.のかね	おいしい煮玉子	
3	00:00:00	うぇいのる	おいしい煮玉子	
4	00:00:00	あい	おいしい煮玉子	
5	00:00:00	カギアカギ	おいしい煮玉子	
6	00:00:00	ほるもん	おいしい煮玉子	
7	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
8	00:00:00	らうらう	おいしい煮玉子	
9	00:00:00	ひとーん	おいしい煮玉子	
10	00:00:00	ジャック・オー	おいしい煮玉子	
11	00:00:00	スモーク	おいたま！	
12	00:00:00	あまいさい	おいしい煮玉子！	
13	00:00:00	リフェ	おいしい煮玉子	
14	00:00:00	eve	おいしい煮玉子	
15	00:00:00	タケノコ男	おいしい煮玉子	
16	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
17	00:00:00	Redmix	おいしい煮玉子	
18	00:00:00	さんぽーる祐三	おいしい煮玉子	
19	00:00:00	カーマイン		￥120
20	00:00:17	桜田紅	おいしい煮玉子	
21	00:00:18	カギアカギ	おいたま！	
22	00:00:19	ジョナサン・グレーン	おいたま〜	
23	00:00:21	Clacklin/クラックリン	おいしい煮玉子	
24	00:00:21	mori mori	おいしい	
25	00:00:22	いぶきんぐ	おいしい煮玉子	
26	00:00:22	らうらう	おいしい煮玉子	
27	00:00:22	究極ド根性ダイコン	おいしい煮玉子	
28	00:00:22	もっけいChannel	おいしい煮玉子	
29	00:00:24	せせらぎ	おいしい煮玉子～	
30	00:00:27	行方不明	おいしい煮玉子	
31	00:00:28	ジャック・オー	おいしい煮玉子	
32	00:00:28	かたもく	美味しい煮バナナ	
33	00:00:29	うぇいのる	おいしい煮玉子	
34	00:00:29	ねこくーる	おいしい煮玉子	
35	00:00:31	リフェ	おいしい煮玉子	
36	00:00:33	ほるもん	おいしい	
37	00:00:33	あまいさい	おいしい煮玉子	
38	00:00:34	mori mori	うわーカラフル	
39	00:00:34	岸辺一徳	おいしい煮玉子	
40	00:00:34	T.のかね	おいたま	
41	00:00:36	_ Die	おいしい煮玉子	
42	00:00:46	夕張檸檬	おいしい煮玉子	
43	00:00:48	ヌルヌペペ	おいしい煮玉子	
44	00:00:48	T.のかね	文字が！	
45	00:00:51	らうらう	かわいい	
46	00:00:53	FFDD	おいたま	
47	00:00:58	mori mori	コンビニで売ってるちょっと変な味のパック飲料みたいな色	
48	00:00:59	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
49	00:01:00	らうらう	すごいカラフル	
50	00:01:00	霜月翔生希	おいしい煮玉子	
51	00:01:01	biki koto	おいしい煮卵	
52	00:01:06	K.T. ジャックリン	おいしい煮玉子	
53	00:01:19	究極ド根性ダイコン	煮玉子色	
54	00:01:24	タケノコ男	文字が煮玉子みたいな色だ	
55	00:01:26	あまいさい	DKっぽくていい	
56	00:01:26	T.のかね	目の色？	
57	00:01:28	近藤大輔	渋いセンス	
58	00:01:29	biki koto	金色？	
59	00:01:42	かたもく	くっそ甘いヤツな	
60	00:01:43	いぶきんぐ	ショートケーキみたい	
61	00:01:52	のぐちゃぐちゃ	おい玉ねえちゃん！！！！！！	
62	00:01:59	むらさきあんこ	おいしい煮玉子	
63	00:02:04	めるカバ	おいしい煮玉子	
64	00:02:08	九尾桐岬	美味しい煮卵	
65	00:02:09	てんめい	おいしい煮玉子	
66	00:02:15	近藤大輔	意外とサクサクでは？	
67	00:02:19	クロノス	※実は最初のステージ	
69	00:00:00	ジャック・オー	おいしい煮玉子	
70	00:00:00	岸辺一徳	おいしい煮玉子	
71	00:00:00	T.のかね	おいしい煮玉子	
72	00:00:00	うぇいのる	おいしい煮玉子	
73	00:00:00	あい	おいしい煮玉子	
74	00:00:00	カギアカギ	おいしい煮玉子	
75	00:00:00	ほるもん	おいしい煮玉子	
76	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
77	00:00:00	らうらう	おいしい煮玉子	
78	00:00:00	ひとーん	おいしい煮玉子	
79	00:00:00	ジャック・オー	おいしい煮玉子	
80	00:00:00	スモーク	おいたま！	
81	00:00:00	あまいさい	おいしい煮玉子！	
82	00:00:00	リフェ	おいしい煮玉子	
83	00:00:00	eve	おいしい煮玉子	
84	00:00:00	タケノコ男	おいしい煮玉子	
85	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
