行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	じょーげん	ｱﾋﾞｬﾋﾞｬﾋﾞｬﾋﾞｬ	
1	00:00:00	Shuzo	たかひろーーーー！！	
2	00:00:00	早坂達夫	昨日早寝してほとんど見れてないから好都合だな！＞やりなおし	
3	00:00:00	なんたら	ゾーパー家の呪い	
4	00:00:00	らうらう	最低でも2日にわけよう	
5	00:00:00	周恩来	寝ないってそういう…	
6	00:00:00	フレイムリンクス	中古品だしソフトのボタン電池が切れかかってるのかも…？	
7	00:00:00	かたもく	はい忘れろビーム、よし、いやーたのしみだなー姉ちゃんのMOTHER生放送(棒読み)	
8	00:00:00	Ar gon	姉ちゃんがなにしたって言うんだ！MOTHER許さないぞ！	
9	00:00:00	ふーばー	ボタン電池切れてたにしてはたかひろ残ってたからなぁ	
10	00:00:00	早坂達夫	ところでどこ情報？＞データ消えた	
11	00:00:00	なんたら	忘れろビームROMにも効くんだ…	
12	00:00:00	ブロア	起きたらひでえことになってた	
13	00:00:00	ノンフロン	姉ちゃんの声で起きる素敵な計画が崩れてしまったので姉ちゃんは反省して欲しい	
14	00:00:00	らうらう	概要更新されてるぞ	
15	00:00:00	虹色ガンダム	配信の概要のとこに	
16	00:00:00	ulura _777	まじやんけ	
17	00:00:00	早坂達夫	あ、本当だ。ありがとう＞概要	
18	00:00:00	周恩来	0％ 0％ 0％	
19	00:00:00	じょーげん	任天堂そういうとこやぞ	
20	00:00:00	miso	エンディングまで泣くんじゃ・・・エンディングまで・・・	
21	00:00:00	山田太郎	お姉ちゃん・・・強く生きろ	
22	00:00:00	牧歩	カービィかよ...	
23	00:00:00	もっぃ	バッテリーバックアップ方式のすごいこわいところ	
24	00:00:00	モノちゃんねる	泣くってそういう	
25	00:00:00	らうらう	泣いてええんやで・・・	
26	00:00:00	虹色ガンダム	中断したらまた消えるかも、という恐怖で完走するゲーム	
27	00:00:00	りあすて	終わりがないのが終わり	
28	00:00:00	らうらう	ねてもええんやで・・・	
29	00:00:00	Yakiniku Cat	そんな	
30	00:00:00	Garden	いっそ寝てくれ	
31	00:00:00	フレイムリンクス	実機はほんとこれが怖い…	
32	00:00:00	ブロア	データ消えやすい状態なら一切電源落とさないでやったほうがよさそう	
33	00:00:00	エクセルシオール	データまじか	
34	00:00:00	牧歩	たのしい（錯乱）	
35	00:00:00	馬の骨に念仏	こっからがdopeって	
36	00:00:00	プレコ	SFC蹴っ飛ばしたとかそんな想像が出来る…	
37	00:00:00	のどあめ	おいしい煮玉子	
38	00:00:00	らうらう	でもほんとたかひろまで消えてるなら電池交換？したほうがいいのでは	
39	00:00:00	早坂達夫	電源つけっぱにするしかないな	
40	00:00:00	AibaAchi ch	実機ィィィィ	
41	00:00:00	真新八	今日は終わり！閉廷！解散！でもいいんやで( ^ω^ )	
42	00:00:00	のりしろ	クリア(データが)	
43	00:00:00	かたもく	あ、姉ちゃん！俺ら寝てるから！寝ててもいいよ！ほら( ˇωˇ )	
44	00:00:00	なんたら	データリセットは実質クリア	
45	00:00:00	虹色ガンダム	今からノンストップで母の日中に完走できるのか…？	
46	00:00:00	もっぃ	クリアってそういう・・・	
47	00:00:00	Z たいだにn	弟はバイトにいってくるよ クゥ姉ちゃん、ご武運を！！	
48	00:00:00	かたもく	クリアってそう言う・・・	
49	00:00:00	プレコ	ああそういう…	
50	00:00:05	フレイムリンクス	確かにクリアだな…	
51	00:00:07	じょーげん	たかひろおおおおおおおおおおお！！！	
52	00:00:13	かたもく	バイトにきがんばれー	
53	00:00:14	早坂達夫	うわああああああ	
54	00:00:15	ふーばー	あー....	
55	00:00:17	りこった	ゲームをはじめる	
56	00:00:18	Shuzo	oh....	
57	00:00:18	もっぃ	ああああああ	
58	00:00:19	らうらう	あああああああああああああああ	
59	00:00:20	虹色ガンダム	たかひろ消えとる！！！！	
60	00:00:20	あい	おかえり	
61	00:00:20	ulura _777	クリアですね…	
62	00:00:22	プラスワン	うわああああ	
63	00:00:23	エクセルシオール	お疲れ様……	
64	00:00:23	ブロア	０% ０％ ０％	
65	00:00:24	らうらう	全部きえてるうううううううううううううううううううううううううう	
66	00:00:24	ノンフロン	oh	
67	00:00:25	ジュンペイ	やろう	
68	00:00:25	バーチャルミク廃立花	弟のデータ…	
69	00:00:26	くろが	ｱｯ・・・	
70	00:00:26	周恩来	おはよおおおおおおおおおおお	
71	00:00:26	袖口	アーー	
72	00:00:26	のどあめ	おああああああああ	
73	00:00:28	りあすて	０％０％０％	
74	00:00:29	miso	姉ちゃんおはよう	
75	00:00:29	ちきん南蛮	0%0%0%	
76	00:00:30	もっぃ	OKデスカ	
77	00:00:31	ほげほげ	0% 0% 0%	
78	00:00:31	たんこぶ	おかえり	
79	00:00:33	桜田紅	たかひろ	
80	00:00:33	おさかな	ねーちゃーーん	
81	00:00:33	ふーばー	これは電池かもね	
82	00:00:34	ささささぬげ	ああああああああああああああああああああああ	
