行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ちゃん。わに わに	おはよう	
1	00:00:00	アリス	おはようございます	
2	00:00:00	らうらう	おはゆ	
3	00:00:00	Theia	おはようございます	
5	00:00:00	くりお	後4人だ	
6	00:00:00	Betelgeuse251	そろそろ	
7	00:00:00	ねくあ艸艸	おはようございます	
8	00:00:00	アルケム	100円無言投下される未来が見える見える	
9	00:00:00	ちゃん。わに わに	きたぜー！	
10	00:00:00	アルケム	おはようございます	
11	00:00:00	Betelgeuse251	スターピース1つ毎に100円？	
12	00:00:00	ドラゴンフルーツ	おはようございます！	
13	00:00:00	Theia	破産しちゃう	
14	00:00:00	らうらう	マリオRPGに100円要素ある？	
15	00:00:00	mk 95	おはようございます！姉ちゃんに神ゲーデバフが掛からないか心配	
16	00:00:00	Theia	【定期】姉ちゃん遅刻	
17	00:00:00	Garden	今更だけどサムネ可愛い	
18	00:00:00	アルケム	16時間超えるかしら・・？	
19	00:00:00	ちゃん。わに わに	1分経過	
20	00:00:00	二階堂義盛	ちこクゥなんて絶対しない…！	
21	00:00:00	りこった	時差かな？	
22	00:00:00	トラがらの猫	大気中	
23	00:00:00	ちゃん。わに わに	2分経過	
24	00:00:00	らうらう	もうしてる定期	
25	00:00:00	くりお	ちこクゥ	
26	00:00:00	アルケム	チコクゥ	
27	00:00:00	mori sig	女の子は準備掛かるからね	
28	00:00:00	mori mori	遅刻しないとは一体何だったのか	
29	00:00:00	Betelgeuse251	ちこクゥ	
30	00:00:00	ブロア	即堕ちしないで	
31	00:00:00	ちゃん。わに わに	ちこクゥかわいいな	
32	00:00:00	アルケム	かぶった恥ずかしい	
33	00:00:00	mk 95	マリオRPGには無くても姉ちゃん自体が100円だし…	
34	00:00:00	アリス	やる前に顔だしたからセーフ	
35	00:00:00	-カツキ-	今日こそは、と自信ありげに宣言したのはいったい・・・	
36	00:00:00	ミント	ちこクゥ	
37	00:00:00	はるにれ	5分までは誤差	
38	00:00:00	ねくあ艸艸	まあ10分まで誤差	
39	00:00:00	Ar gon	女の子は化粧に五時間掛かるらしい	
40	00:00:00	ちゃん。わに わに	一理ある	
41	00:00:00	らうらう	バーチャル世界は時空歪んでるからなしょうがないな	
42	00:00:00	アルケム	８：５９までは8時ゾ	
43	00:00:00	ちゃん。わに わに	女の子は大変やね	
44	00:00:00	くりお	いまどきのJCはたいへんだ	
45	00:00:00	りこった	バーチャル8時はまだ来てないから	
46	00:00:00	Theia	たしかに	
47	00:00:00	ちゃん。わに わに	3分経過	
48	00:00:00	ヘンリーダーガー	結局遅刻してるじゃないか！	
49	00:00:00	ねくあ艸艸	皆優しい	
50	00:00:00	佐々野いちご	徹夜して待ってるよ姉ちゃん	￥200
51	00:00:00	mk 95		￥100
52	00:00:00	Carol G	休憩代	￥6,000
53	00:00:05	アルケム	弟がいたら起こしてあげて	
54	00:00:09	古今東西	僕はミソシタ…VTuber…悲しい時も…ﾍﾍｪ…ﾍｪｰｯ…ﾑ゛ｯ゛ﾍｪ゛…すまなかったなぁ…僕は狂ってる…ポエムコアを知ってるか？闇の中で流行ってる、聴いてみるといい…カラスが食べたい…消えたい時には個室ビデオに行くんだ…ﾍﾍ…ｴｪｰｲ…ﾑ゛ｯ゛ﾍｪ゛…君は狂ってるか？僕は狂ってる……	
55	00:00:12	mori mori	おはよう姉ちゃん！	
56	00:00:12	mk 95	来た	
57	00:00:12	-カツキ-	お	
58	00:00:12	りこった	おはようございますー	
59	00:00:13	ミント	きた	
60	00:00:18	であどり	おはよう	
61	00:00:18	ミント	おはようございます	
62	00:00:18	はるにれ	おはよう姉ちゃん！	
63	00:00:20	鼠犬/チューケン	おはようございます	
64	00:00:21	阿久津零	姉ちゃんおはよう	
65	00:00:21	山の田んぼ	おはようございます	
66	00:00:21	顫垣ムラク	初見	
67	00:00:21	-カツキ-	おはようございます！	
68	00:00:22	らうらう	スケベ心はフェニックス・・・・・・・・	
69	00:00:23	空の男	きた	
70	00:00:24	Ira Ak	おはよう！姉ちゃん！	
71	00:00:25	Theia	おはようございまーす	
72	00:00:26	Guestman	おはようございます	
73	00:00:27	森田森男	ぬっ	
74	00:00:27	ちゃん。わに わに	おは	
75	00:00:28	古今東西	おはようございます	
76	00:00:28	あっとぬーん	おはよう姉ちゃん	
77	00:00:28	タコスドン	おはよう！	
78	00:00:28	ブロア	オハヨーオハヨー	
79	00:00:28	アリス	おはようございます！よし、間に合ったな！	
80	00:00:29	なる	おはよー姉ちゃん	
81	00:00:31	アルケム	おはよう姉ちゃん	
82	00:00:32	くりお	キター	
83	00:00:34	神子ロス	おは姉ちゃん	
84	00:00:35	mk 95	おはよう姉ちゃん！	
85	00:00:36	らうらう	おはクゥ	
86	00:00:38	有栖川夜魅	おはっす	
87	00:00:38	ヘンリーダーガー	おはよう！	
88	00:00:38	うちま	おはようございます	
89	00:00:40	N. Masaki	おはよう姉ちゃん	
90	00:00:41	su	初見	
91	00:00:43	あきさん	初見、おはようございます	
92	00:00:44	ヨビダンゴ	おはようみなさま	
93	00:00:45	Betelgeuse251	きたー！	
94	00:00:45	西園寺麗華	おはようございますお姉様！	
95	00:00:45	まきお	おはよう	
96	00:00:45	Garden	大丈夫です	
97	00:00:52	ぽーちき	おはよー姉ちゃん	
98	00:00:55	悠	おはよーー！！！	
99	00:00:55	20分ねずみ	おはようございます	
100	00:00:00	ちゃん。わに わに	おはよう	
101	00:00:00	アリス	おはようございます	
102	00:00:00	らうらう	おはゆ	
103	00:00:00	Theia	おはようございます	
105	00:00:00	くりお	後4人だ	
106	00:00:00	Betelgeuse251	そろそろ	
107	00:00:00	ねくあ艸艸	おはようございます	
108	00:00:00	アルケム	100円無言投下される未来が見える見える	
109	00:00:00	ちゃん。わに わに	きたぜー！	
110	00:00:00	アルケム	おはようございます	
111	00:00:00	Betelgeuse251	スターピース1つ毎に100円？	
112	00:00:00	ドラゴンフルーツ	おはようございます！	
113	00:00:00	Theia	破産しちゃう	
114	00:00:00	らうらう	マリオRPGに100円要素ある？	
115	00:00:00	mk 95	おはようございます！姉ちゃんに神ゲーデバフが掛からないか心配	
116	00:00:00	Theia	【定期】姉ちゃん遅刻	
117	00:00:00	Garden	今更だけどサムネ可愛い	
118	00:00:00	アルケム	16時間超えるかしら・・？	
119	00:00:00	ちゃん。わに わに	1分経過	
120	00:00:00	二階堂義盛	ちこクゥなんて絶対しない…！	
121	00:00:00	りこった	時差かな？	
122	00:00:00	トラがらの猫	大気中	
123	00:00:00	ちゃん。わに わに	2分経過	
124	00:00:00	らうらう	もうしてる定期	
125	00:00:00	くりお	ちこクゥ	
126	00:00:00	アルケム	チコクゥ	
127	00:00:00	mori sig	女の子は準備掛かるからね	
128	00:00:00	mori mori	遅刻しないとは一体何だったのか	
129	00:00:00	Betelgeuse251	ちこクゥ	
130	00:00:00	ブロア	即堕ちしないで	
131	00:00:00	ちゃん。わに わに	ちこクゥかわいいな	
132	00:00:00	アルケム	かぶった恥ずかしい	
133	00:00:00	mk 95	マリオRPGには無くても姉ちゃん自体が100円だし…	
134	00:00:00	アリス	やる前に顔だしたからセーフ	
135	00:00:00	-カツキ-	今日こそは、と自信ありげに宣言したのはいったい・・・	
136	00:00:00	ミント	ちこクゥ	
137	00:00:00	はるにれ	5分までは誤差	
138	00:00:00	ねくあ艸艸	まあ10分まで誤差	
139	00:00:00	Ar gon	女の子は化粧に五時間掛かるらしい	
140	00:00:00	ちゃん。わに わに	一理ある	
141	00:00:00	らうらう	バーチャル世界は時空歪んでるからなしょうがないな	
142	00:00:00	アルケム	８：５９までは8時ゾ	
143	00:00:00	ちゃん。わに わに	女の子は大変やね	
144	00:00:00	くりお	いまどきのJCはたいへんだ	
145	00:00:00	りこった	バーチャル8時はまだ来てないから	
146	00:00:00	Theia	たしかに	
147	00:00:00	ちゃん。わに わに	3分経過	
148	00:00:00	ヘンリーダーガー	結局遅刻してるじゃないか！	
149	00:00:00	ねくあ艸艸	皆優しい	
150	00:00:00	佐々野いちご	徹夜して待ってるよ姉ちゃん	￥200
151	00:00:00	mk 95		￥100
152	00:00:00	Carol G	休憩代	￥6,000
153	00:00:05	アルケム	弟がいたら起こしてあげて	
154	00:00:09	古今東西	僕はミソシタ…VTuber…悲しい時も…ﾍﾍｪ…ﾍｪｰｯ…ﾑ゛ｯ゛ﾍｪ゛…すまなかったなぁ…僕は狂ってる…ポエムコアを知ってるか？闇の中で流行ってる、聴いてみるといい…カラスが食べたい…消えたい時には個室ビデオに行くんだ…ﾍﾍ…ｴｪｰｲ…ﾑ゛ｯ゛ﾍｪ゛…君は狂ってるか？僕は狂ってる……	
155	00:00:12	mori mori	おはよう姉ちゃん！	
156	00:00:12	mk 95	来た	
157	00:00:12	-カツキ-	お	
158	00:00:12	りこった	おはようございますー	
159	00:00:13	ミント	きた	
160	00:00:18	であどり	おはよう	
161	00:00:18	ミント	おはようございます	
162	00:00:18	はるにれ	おはよう姉ちゃん！	
