行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	じょーげん	おいしい煮玉子	
1	00:00:00	らうらう	​おいしい煮玉子	
2	00:00:00	べるべる	おいしい煮玉子	
3	00:00:00	いぶきんぐ	おいしい煮玉子	
4	00:00:00	あまいさい	おいしい煮玉子	
5	00:00:00	桜田紅	おいしい煮玉子	
6	00:00:00	竹輪	おいしい煮玉子	
7	00:00:00	biggs	おいしい煮玉子	
8	00:00:00	パンセポンセ	おいしい煮玉子	
9	00:00:00	リフェ	おいしい煮玉子	
10	00:00:00	スモーク	おいしい煮玉子	
11	00:00:00	なんたら	おいしい煮玉子	
12	00:00:00	ジャック・オー	おいしい煮玉子	
13	00:00:00	デンキヒツジ	おいしい煮玉子	
14	00:00:00	海東純一	おいしい煮玉子	
15	00:00:00	カーマイン	おいしい煮玉子	
16	00:00:00	mk 95	おいしい煮玉子	
17	00:00:00	みよ	おいしい煮玉子	
18	00:00:00	ふーばー	​おいしい煮玉子	
19	00:00:00	近藤亮	おいしい煮玉子	
20	00:00:00	カギアカギ	おいしい煮玉子	
21	00:00:00	岸辺一徳	おいしい煮玉子	
22	00:00:00	らうらう		￥100
23	00:00:04	うぇいのる	おいしい煮玉子	
24	00:00:10	岸辺一徳	おいしい煮玉子	
25	00:00:14	カギアカギ	おいしい煮玉子	
26	00:00:15	motiyomogi	おいしい煮玉子	
27	00:00:16	ナウ	おいしい煮玉子	
28	00:00:17	らうらう	おいしい煮玉子です	
29	00:00:17	デンキヒツジ	おいしい煮玉子	
30	00:00:18	じょーげん	おいしい煮玉子	
31	00:00:18	ぴねかっと	おいしい煮玉子	
32	00:00:19	キタカシ	おいしい煮玉子	
33	00:00:19	K. u	おいしい煮玉子	
34	00:00:21	むらさきあんこ	おいしい煮玉子	
35	00:00:22	スモーク	草	
36	00:00:22	リフェ	おいしい煮玉子	
37	00:00:22	パンセポンセ	ええ	
38	00:00:23	竹輪	かわいい	
39	00:00:24	結城晶	ヴァーチャルファンタジー	
40	00:00:24	ジョナサン・グレーン	おいしい煮玉子	
41	00:00:24	Takeyabu Yakuta	おいしい煮玉子	
42	00:00:25	_ Die	おいしい煮玉子	
43	00:00:26	なんたら	疲れてない？	
44	00:00:26	もっけいChannel	バーチャルファイナルファンタジー	
45	00:00:28	じょーげん	草	
46	00:00:28	らうらう	大丈夫？？おねむかな？？？	
47	00:00:31	キタカシ	ちょっと寝た？	
48	00:00:45	リフェ	まだまだ旅は始まったばかり…	
49	00:00:48	竹輪	大変そう	
50	00:00:49	もっけいChannel	9セットくらいかかりそう	
51	00:00:49	りあすて	お気づきになられましたか	
52	00:00:50	岸辺一徳	そりゃきついよ…	
53	00:00:51	なんたら	無理しないで	
54	00:00:53	motiyomogi	無理しないで	
55	00:01:01	mk 95	気づいちゃったか…	
56	00:01:01	ベーコン	まだ１割くらいじゃね？ｗ	
57	00:01:03	ふーばー	無理しないでね	
58	00:01:18	タチャンカ	まだ始まったばかり	
59	00:01:22	もっけいChannel	wiki読めばあと5セットで終わるよ（悪魔の囁き）	
60	00:01:32	ディープブリザード	おいしい煮卵なのである…	
61	00:01:36	Takeyabu Yakuta	初見だしね…頑張って	
62	00:01:36	カーマイン	休みたいときに休もうね…	
63	00:01:40	biggs	かわいい	
64	00:01:46	ナウ	俺たちがWikipediaになることだ	
65	00:01:48	岸辺一徳	はい……弟ウィキペディアンになります……	
66	00:01:49	じょーげん	はい…弟wikiになります…	
67	00:01:50	ジャック・オー	収集要素スルーすればまぁ	
68	00:01:57	りあすて	弟に甘やかしを要求していく	
69	00:01:59	キタカシ	あれストーリーネタバレもなしだっけ	
70	00:01:59	リフェ	りょ！	
71	00:02:00	ふーばー	俺に手伝えるのはピアノのところくらいだ...	
72	00:00:00	じょーげん	おいしい煮玉子	
73	00:00:00	らうらう	​おいしい煮玉子	
74	00:00:00	べるべる	おいしい煮玉子	
75	00:00:00	いぶきんぐ	おいしい煮玉子	
76	00:00:00	あまいさい	おいしい煮玉子	
77	00:00:00	桜田紅	おいしい煮玉子	
78	00:00:00	竹輪	おいしい煮玉子	
79	00:00:00	biggs	おいしい煮玉子	
80	00:00:00	パンセポンセ	おいしい煮玉子	
81	00:00:00	リフェ	おいしい煮玉子	
82	00:00:00	スモーク	おいしい煮玉子	
83	00:00:00	なんたら	おいしい煮玉子	
84	00:00:00	ジャック・オー	おいしい煮玉子	
85	00:00:00	デンキヒツジ	おいしい煮玉子	
86	00:00:00	海東純一	おいしい煮玉子	
87	00:00:00	カーマイン	おいしい煮玉子	
88	00:00:00	mk 95	おいしい煮玉子	
89	00:00:00	みよ	おいしい煮玉子	
90	00:00:00	ふーばー	​おいしい煮玉子	
91	00:00:00	近藤亮	おいしい煮玉子	
92	00:00:00	カギアカギ	おいしい煮玉子	
93	00:00:00	岸辺一徳	おいしい煮玉子	
94	00:00:00	らうらう		￥100
95	00:00:04	うぇいのる	おいしい煮玉子	
96	00:00:10	岸辺一徳	おいしい煮玉子	
97	00:00:14	カギアカギ	おいしい煮玉子	
98	00:00:15	motiyomogi	おいしい煮玉子	
99	00:00:16	ナウ	おいしい煮玉子	
100	00:00:17	らうらう	おいしい煮玉子です	
101	00:00:17	デンキヒツジ	おいしい煮玉子	
102	00:00:18	じょーげん	おいしい煮玉子	
103	00:00:18	ぴねかっと	おいしい煮玉子	
104	00:00:19	キタカシ	おいしい煮玉子	
105	00:00:19	K. u	おいしい煮玉子	
106	00:00:21	むらさきあんこ	おいしい煮玉子	
107	00:00:22	スモーク	草	
108	00:00:22	リフェ	おいしい煮玉子	
109	00:00:22	パンセポンセ	ええ	
110	00:00:23	竹輪	かわいい	
111	00:00:24	結城晶	ヴァーチャルファンタジー	
112	00:00:24	ジョナサン・グレーン	おいしい煮玉子	
113	00:00:24	Takeyabu Yakuta	おいしい煮玉子	
114	00:00:25	_ Die	おいしい煮玉子	
