行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	竹輪	おいしい煮玉子	
3	00:00:00	岸辺一徳	姉ちゃんえらいよね…	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	周恩来	おいしい煮玉子	
6	00:00:00	スモーク	おいたま	
7	00:00:00	陰キャバス竹中	おいしい煮玉子	
8	00:00:00	うぇいのる	おいしい煮玉子	
9	00:00:13	あい	おいしい煮玉子	
10	00:00:14	陰キャバス竹中	姉ちゃんかわいいよね	
11	00:00:14	周恩来	おいしい煮玉子	
12	00:00:17	ねこくーる	おいしい煮玉子	
13	00:00:17	eve	おいしい煮玉子	
14	00:00:21	fami fami	おいしい煮玉子	
15	00:00:21	ジャック・オー	おいしい煮玉子	
16	00:00:27	ささき.	ダチョウの煮玉子	
17	00:00:27	らうらう	​おいしい煮玉子	
18	00:00:28	あまいさい	おいしい煮玉子	
19	00:00:30	むらさきあんこ	おいしい煮玉子	
20	00:00:30	FFDD	おいしい煮玉子	
21	00:00:33	ニコラス・ケージ	おいしい煮玉子	
22	00:00:34	Brainlynx	hello i'm an english viewer.	
23	00:00:37	ジュンペイ	ダチョウの煮玉子〜	
24	00:00:38	周恩来	おいしいコラボ	
25	00:00:38	うぇいのる	おいしい煮玉子	
26	00:00:50	岸辺一徳	おいしいラジオ	
27	00:00:52	うぇいのる	Cute	
28	00:00:58	らうらう	kawaii	
29	00:01:01	あい	cute english	
30	00:01:05	いぶきんぐ	Cute	
31	00:01:06	チキン肉なし	オイスィニッタマグ	
32	00:01:09	ジュンペイ	cute english	
33	00:01:12	岸辺一徳	おいしい煮玉子	
34	00:01:12	八木谷	おいしい煮玉子	
35	00:01:15	尾花	おいしい煮玉子	
36	00:01:20	チキン肉なし	cute english	
37	00:01:20	ジョナサン・グレーン	꧁👁👃👁꧂   👄	
38	00:01:22	八木谷	cute	
39	00:01:24	ほるもん	おいしい煮玉子	
40	00:01:26	ジャンボタニシ	クゥわれかけの煮玉子	
41	00:01:26	どんとこいぼのえもん侍	おいしい煮玉子	
42	00:01:32	陰キャバス竹中	おいしい煮玉子	
43	00:01:33	らうらう	かわいい	
44	00:01:36	竹輪	レオンくんかわいい	
45	00:01:37	行方不明	おいしい煮玉子	
46	00:01:38	ジョナサン・グレーン	cute English	
47	00:01:42	biki koto	かわいい猫耳	
48	00:01:43	のどあめ	ダチョウの煮玉子〜	
49	00:01:47	fami fami	うわああああああ執事レオンきゅんだああああああああ	
50	00:01:50	尾花	執事レオンくんかわいすぎない？	
51	00:01:59	むらさきあんこ	どっちも欲しいよなあ	
52	00:02:10	ジャック・オー	レオンきゅんきゃわわ	
53	00:02:12	あい	どっちもかわいい	
54	00:02:17	ブロア	おいしい煮玉子	
55	00:02:25	岸辺一徳	かわいい	
56	00:02:27	周恩来	かわいい	
57	00:02:29	チキン肉なし	姉ちゃんシャイニングドローしなきゃ	
58	00:02:30	らうらう	えちすぎる	
59	00:00:00	ジャック・オー	おいしい煮玉子	
60	00:00:00	岸辺一徳	おいしい煮玉子	
61	00:00:00	竹輪	おいしい煮玉子	
62	00:00:00	岸辺一徳	姉ちゃんえらいよね…	
63	00:00:00	らうらう	おいしい煮玉子	
64	00:00:00	周恩来	おいしい煮玉子	
65	00:00:00	スモーク	おいたま	
66	00:00:00	陰キャバス竹中	おいしい煮玉子	
67	00:00:00	うぇいのる	おいしい煮玉子	
68	00:00:13	あい	おいしい煮玉子	
69	00:00:14	陰キャバス竹中	姉ちゃんかわいいよね	
70	00:00:14	周恩来	おいしい煮玉子	
71	00:00:17	ねこくーる	おいしい煮玉子	
72	00:00:17	eve	おいしい煮玉子	
73	00:00:21	fami fami	おいしい煮玉子	
74	00:00:21	ジャック・オー	おいしい煮玉子	
75	00:00:27	ささき.	ダチョウの煮玉子	
76	00:00:27	らうらう	​おいしい煮玉子	
77	00:00:28	あまいさい	おいしい煮玉子	
78	00:00:30	むらさきあんこ	おいしい煮玉子	
79	00:00:30	FFDD	おいしい煮玉子	
80	00:00:33	ニコラス・ケージ	おいしい煮玉子	
81	00:00:34	Brainlynx	hello i'm an english viewer.	
82	00:00:37	ジュンペイ	ダチョウの煮玉子〜	
83	00:00:38	周恩来	おいしいコラボ	
84	00:00:38	うぇいのる	おいしい煮玉子	
