行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	バーチャルyoutuber	
1	00:00:00	_里	結局ここで待ってればいいのよねん	
2	00:00:00	秋箱	待ってる	
3	00:00:00	tage	おいしい煮玉子	
4	00:00:00	せせらぎ	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	アルフォンス・ミュシャ	おいしい煮ジェリービーンズマン	
7	00:00:00	秋箱	おいしい煮玉子	
8	00:00:00	ミワタリ	おいしい煮玉子	
9	00:00:14	くしかつ	おいしい煮玉子	
10	00:00:17	めるカバ	おいしい煮玉子	
11	00:00:17	タマオカヒロシ	おお！	
12	00:00:18	せせらぎ	きたきた	
13	00:00:18	らうらう	おいしい煮玉子	
14	00:00:19	もみじおろし	おかえり	
15	00:00:20	有栖川夜魅	\100	
16	00:00:21	さらしな	おいしい煮玉子	
17	00:00:21	秋箱	きた！	
18	00:00:21	ネズミ2/2/6	おいしい煮玉子	
19	00:00:27	Aさん	おかえり	
20	00:00:28	NEMI NO	おかえりー	
21	00:00:29	ミワタリ	おかえり	
22	00:00:31	北南	おいしい煮玉子	
23	00:00:32	ナポリたん	おいしい煮玉子	
24	00:00:32	りこった	おかえり	
25	00:00:32	RY U	おいしい煮玉子	
26	00:00:34	比企谷八幡	おかえりなさい	
27	00:00:35	ゴギガガガギゴ	おかえり	
28	00:00:35	Garden	こんにちは	
29	00:00:38	カマセドッグ1号	こんにちはー	
30	00:00:40	ASDえーえすでぃー	おいしい煮卵	
31	00:00:41	羅威我	​おいしい煮玉子	
32	00:00:42	ミダース	こんにちは	
33	00:00:43	ニシキゴイ	おかえりなさいー	
34	00:00:43	鼻毛の錬金術師	おかえりなさい	
35	00:00:45	MY k	こんにちわ	
36	00:00:45	ばくろす	こんちゃ	
37	00:00:47	あきさん	こんにちは😃	
38	00:00:50	イレカエル/Substitoad	こんにちは	
39	00:00:53	スモーク	おかえり姉ちゃん	
40	00:00:54	satoshi takahashi	おいしい煮卵	
41	00:01:04	MY k	ついに封印が解けられた	
42	00:01:06	あい	いくぞー	
43	00:01:06	豊田誉	おいしい煮玉子	
44	00:01:08	秋山亮	こんにちは	
45	00:01:11	ぜふぉん	無双ゲーの時間だあ	
46	00:01:11	オイラはビィtuber!	こんにちわ	
47	00:01:11	パリパリ海苔	二時間かかるって割とリアルだな・・・	
48	00:01:18	反逆のクロワッサン	こんにちは	
49	00:01:19	MY k	消えてない？	
50	00:01:22	かんてら	おいしい煮玉子	
51	00:01:22	channel stickman	こんにちは	
