行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	竹輪	おいしい煮玉子	
2	00:00:00	ふーばー	バハリMAX	
3	00:00:00	うぇいのる	おいしい煮玉子	
4	00:00:00	なんたら	おいしい煮玉子	
5	00:00:00	_ Die	おいしい煮玉子	
6	00:00:00	スモーク	おいたま！	
7	00:00:00	カギアカギ	おいしい煮玉子	
8	00:00:00	しねちゅー	おいしい煮玉子	
9	00:00:00	タケノコ男	おいしい煮玉子	
10	00:00:00	あい	おいしい煮玉子	
11	00:00:00	岸辺一徳	おいしい煮玉子	
12	00:00:00	デンキヒツジ	おいしい煮玉子	
13	00:00:00	タチャンカ	おいしい煮玉子	
14	00:00:00	ぴねかっと	おいしい煮玉子	
15	00:00:00	ほるもん	おいしい煮玉子	
16	00:00:00	zaff	おいしい煮玉子	
17	00:00:00	Shota Hamada		￥100
18	00:00:07	あい	おいしい煮玉子	
19	00:00:15	カギアカギ	おいたま！	
20	00:00:16	eve 8848	おいしい煮玉子	
21	00:00:17	Shota Hamada	おいしい煮玉子	
22	00:00:18	ふーばー	KONAMI音心地いい	
23	00:00:20	mk 95	おいしい煮玉子	
24	00:00:22	らうらう	おいしいにたまご	
25	00:00:23	なんたら	デデン	
26	00:00:24	_ Die	おいしい煮玉子	
27	00:00:24	sio3go	おいしい煮玉子	
28	00:00:25	竹輪	おいたま！	
29	00:00:27	助六	おいしいNITAMAGO	
30	00:00:27	バリ島のサボテン	おいしい煮玉子	
31	00:00:28	近藤亮	おいしい煮玉子〜	
32	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
33	00:00:35	尾花	おいしい煮玉子	
34	00:00:35	うぇいのる	おいしい煮玉子	
35	00:00:36	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ 神曲期待～⸜(* ॑꒳ ॑* )⸝	
36	00:00:39	あざーら	おいしい煮玉子	
37	00:00:42	デンキヒツジ	おいしい煮玉子	
38	00:00:49	岸辺一徳	おいしい煮玉子	
39	00:00:55	ジョナサン・グレーン	時間ピッタリ！高評価！	
40	00:00:55	むらさきあんこ	おいしい煮玉子	
41	00:00:57	らうらう	姉ちゃん音反響してるよ	
42	00:00:58	ねこくーる	おいしい煮玉子	
43	00:00:59	カギアカギ	音声二重になってる？	
44	00:01:02	なんたら	姉ちゃんエコーが	
45	00:01:02	ぴねかっと	エコー	
46	00:01:03	あい	声かえってきてるよ	
47	00:01:06	しねちゅー	(エコー)	
48	00:01:07	ふーばー	反響姉ちゃん	
49	00:01:07	竹輪	音声ダブってる	
50	00:01:08	バリ島のサボテン	姉ちゃん分身してる？	
