行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	Fuzuki K	おいにたー	
2	00:00:00	スモーク	おいしい延長	
3	00:00:00	eve	おいしい煮玉子	
4	00:00:00	岸辺一徳		￥100
5	00:00:00	えび		￥100
6	00:00:12	なんたら	おいおいおい	
7	00:00:14	motiyomogi	おいしい煮玉子	
8	00:00:17	ジョナサン・グレーン	おいしい煮玉子	
9	00:00:19	ナウ	おいしい煮玉子	
10	00:00:21	Ryo Kamiya	おいしい煮玉子	
11	00:00:25	ミワタリ	おいしい煮玉子	
12	00:00:30	Hal _	おいしい煮玉子	
13	00:00:30	ラルエメ	おいしい煮玉子	
14	00:00:38	なんたら	おいしい煮玉子	
15	00:00:39	Ami Saika	玉子おいしい	
16	00:00:41	御早和杯	おいしい煮玉子	
17	00:00:41	スモーク	寝なくてよかった…	
18	00:00:42	eve	延長煮玉子	
19	00:00:43	岸辺一徳	おいしい煮玉子	
20	00:00:44	真新八	延長戦！？	
21	00:00:46	八木谷	おいしい煮玉子	
22	00:00:48	もっけいChannel	おいしい煮卵（異端）	
23	00:00:49	sio3go	おいしい煮玉子	
24	00:00:51	もふ	おいしい煮玉子	
25	00:00:51	カーマイン	おいしい煮玉子	
26	00:00:58	ジョナサン・グレーン	草	
27	00:01:00	らうらう	えっ	
28	00:01:01	スモーク	草	
29	00:01:03	ミワタリ	草	
30	00:01:10	なんたら	RTAか	
31	00:01:13	Ryo Kamiya	草	
32	00:01:13	にけい	おいしい煮玉子	
33	00:01:13	motiyomogi	草	
34	00:01:15	真新八	おいしい煮玉子	
35	00:01:17	スモーク	戻ってるっぽいね	
36	00:01:18	eve	あらら	
37	00:01:19	あい	おいしい煮玉子	
38	00:01:21	Ami Saika	草	
39	00:01:22	スルーラスト	おかわり？	
40	00:01:26	デンキヒツジ	おいしい煮玉子	
41	00:01:26	ナウ	別の日にします？	
42	00:01:26	。らむね	おいしい煮玉子	
43	00:01:28	motiyomogi	走ろう！	
44	00:01:31	じょーげん	草	
45	00:01:32	タケノコ男	おいしい煮玉子	
46	00:01:33	ジャック・オー	おいしい煮玉子（おかわり）	
47	00:01:33	らうらう	寝ない？	
48	00:01:34	Ami Saika	できるの？	
49	00:01:35	行方不明	おいしい煮玉子	
50	00:01:36	九代目中山稲五朗	おいしい煮玉子	
51	00:01:37	なんたら	え！？うそうそ！無理しないで！	
52	00:01:38	真新八	寝るか？	
53	00:01:39	いぶきんぐ	おいしい煮玉子	
54	00:00:00	らうらう	おいしい煮玉子	
55	00:00:00	Fuzuki K	おいにたー	
56	00:00:00	スモーク	おいしい延長	
57	00:00:00	eve	おいしい煮玉子	
58	00:00:00	岸辺一徳		￥100
59	00:00:00	えび		￥100
60	00:00:12	なんたら	おいおいおい	
61	00:00:14	motiyomogi	おいしい煮玉子	
62	00:00:17	ジョナサン・グレーン	おいしい煮玉子	
63	00:00:19	ナウ	おいしい煮玉子	
64	00:00:21	Ryo Kamiya	おいしい煮玉子	
65	00:00:25	ミワタリ	おいしい煮玉子	
66	00:00:30	Hal _	おいしい煮玉子	
67	00:00:30	ラルエメ	おいしい煮玉子	
68	00:00:38	なんたら	おいしい煮玉子	
69	00:00:39	Ami Saika	玉子おいしい	
70	00:00:41	御早和杯	おいしい煮玉子	
71	00:00:41	スモーク	寝なくてよかった…	
72	00:00:42	eve	延長煮玉子	
73	00:00:43	岸辺一徳	おいしい煮玉子	
74	00:00:44	真新八	延長戦！？	
75	00:00:46	八木谷	おいしい煮玉子	
76	00:00:48	もっけいChannel	おいしい煮卵（異端）	
77	00:00:49	sio3go	おいしい煮玉子	
78	00:00:51	もふ	おいしい煮玉子	
79	00:00:51	カーマイン	おいしい煮玉子	
80	00:00:58	ジョナサン・グレーン	草	
81	00:01:00	らうらう	えっ	
82	00:01:01	スモーク	草	
83	00:01:03	ミワタリ	草	
84	00:01:10	なんたら	RTAか	
85	00:01:13	Ryo Kamiya	草	
86	00:01:13	にけい	おいしい煮玉子	
87	00:01:13	motiyomogi	草	
88	00:01:15	真新八	おいしい煮玉子	
89	00:01:17	スモーク	戻ってるっぽいね	
90	00:01:18	eve	あらら	
91	00:01:19	あい	おいしい煮玉子	
92	00:01:21	Ami Saika	草	
93	00:01:22	スルーラスト	おかわり？	
94	00:01:26	デンキヒツジ	おいしい煮玉子	
95	00:01:26	ナウ	別の日にします？	
96	00:01:26	。らむね	おいしい煮玉子	
97	00:01:28	motiyomogi	走ろう！	
98	00:01:31	じょーげん	草	
99	00:01:32	タケノコ男	おいしい煮玉子	
100	00:01:33	ジャック・オー	おいしい煮玉子（おかわり）	
101	00:01:33	らうらう	寝ない？	
102	00:01:34	Ami Saika	できるの？	
103	00:01:35	行方不明	おいしい煮玉子	
104	00:01:36	九代目中山稲五朗	おいしい煮玉子	
105	00:01:37	なんたら	え！？うそうそ！無理しないで！	
106	00:01:38	真新八	寝るか？	
107	00:01:39	いぶきんぐ	おいしい煮玉子	
108	00:01:44	竹輪	おいしい煮玉子ー	
109	00:01:46	ジャック・オー	イヤホン外しちゃだめよ？	
110	00:01:50	いぶきんぐ	イキっていこう	
111	00:01:56	岸辺一徳	一度見ちゃえばね	
112	00:01:59	カーマイン	ほんとかな…ほんとかも…	
113	00:02:01	らうらう	Guide.txt	
114	00:02:03	真新八	同梱されてるは草	
115	00:02:04	近藤亮	おいしい煮玉子	
116	00:02:04	じょーげん	イヤホン外しちゃダメだからね	
