行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	あい	５	
1	00:00:00	らうらう	5	
2	00:00:00	岸辺一徳	5	
3	00:00:00	クゥの部屋 Ch	５分ぐらいまで休も	
4	00:00:00	mori mori	５	
5	00:00:00	竹輪	5	
6	00:00:00	陰キャバス竹中	５	
7	00:00:00	ぴねかっと	5	
8	00:00:00	ミワタリ	5	
9	00:00:00	うぇいのる	はい	
10	00:00:00	あい	はい	
11	00:00:00	らうらう	うん	
12	00:00:00	ulura _777	5	
13	00:00:00	mori mori	カウントダウンじゃないんかーい！	
14	00:00:00	岸辺一徳	はい	
15	00:00:00	周恩来	5	
16	00:00:00	竹輪	了解〜	
17	00:00:00	biggs	はい	
18	00:00:00	周恩来	ニコ生のアンケートかな？	
19	00:00:00	ねこくーる	はい	
20	00:00:00	御早和杯	「ご…五分くらいまで休も…」	
21	00:00:00	うぇいのる	1	
22	00:00:00	周恩来	1	
23	00:00:00	らうらう	ちゃんと休めてる。高評価	
24	00:00:00	岸辺一徳	ケニア	
25	00:00:00	周恩来	ウェイたま～	
26	00:00:00	助六	おいしい煮玉子ケニア	
27	00:00:00	うぇいのる	おいたま～	
28	00:00:00	らうらう	おいしい煮玉子	
29	00:00:00	名馬ポニー	おいしいケニア	
30	00:00:12	岸辺一徳	おいしい煮玉子	
31	00:00:19	あい	おいしい煮玉子	
32	00:00:20	周恩来	おいしい煮玉子	
33	00:00:20	ゴギガガガギゴ	おいしい煮玉子	
34	00:00:20	御早和杯	おいしい煮玉子	
35	00:00:21	むらさきあんこ	はじまった	
36	00:00:22	mori mori	おか姉	
37	00:00:23	チキン肉なし	ダチョウの煮玉子	
38	00:00:23	うぇいのる	ケニアってなにがあるの…	
39	00:00:24	箸盛り【はしもり】	おいしい煮玉子	
40	00:00:25	ねこくーる	おいしい煮玉子	
41	00:00:25	ゴギガガガギゴ	はじまっとる	
42	00:00:25	あまいさい	おいしい煮玉子	
43	00:00:25	じょーげん	てる	
44	00:00:27	スモーク	おかえり	
45	00:00:27	らうらう	おいたま	
46	00:00:27	eve	おいしい煮玉子	
47	00:00:28	ミワタリ	おいしい煮玉子	
48	00:00:30	陰キャバス竹中	おいしい煮玉子	
49	00:00:30	竹輪	おいしい煮玉子	
50	00:00:34	タケノコ男	おいしい煮玉子	
51	00:00:36	ヌルヌペペ	おいしい煮玉子	
52	00:00:37	八木谷	おいしい煮玉子	
53	00:00:37	nuwan nuwano	おいたま	
54	00:00:44	べるべる	おいしい煮玉子	
55	00:00:46	ulura _777	おいしい煮玉子	
56	00:01:01	mori mori	草	
57	00:01:01	ブロア	おいしい煮玉子	
58	00:01:02	八木谷	つまみみたいなのばっかで草	
59	00:01:03	周恩来	初見です！この煮玉子が上手そうな女の子いいですね！チャンネル登録します！	
60	00:01:09	あい	つまみばっかり食べてるね	
61	00:01:11	タケノコ男	おいしいサキイカ	
