行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	二階堂義盛	おいしい煮玉子	
1	00:00:00	ジョナサン・グレーン	おいしい煮玉子〜	
2	00:00:00	R gon	おいしい煮玉子	
3	00:00:00	阿久津零	おいしい煮玉子	
4	00:00:00	eve	おいしい煮玉子	
5	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
6	00:00:00	えび	　おいしい煮玉子🥚	
7	00:00:00	ジョナサン・グレーン	クゥchannelを待っています。	
8	00:00:00	九代目中山稲五朗	おいしい煮玉子	
9	00:00:00	tage	おいしい煮玉子	
10	00:00:00	ジョナサン・グレーン	　🥚　🥚	
11	00:00:00	mk 95	おいしい煮玉子	
12	00:00:00	村瀬名ロネツネ	おいしい煮玉子	
13	00:00:00	らうらう	おいしい煮玉子を待っています	
14	00:00:00	さしみ	おいしい煮玉子	
15	00:00:00	_ Die	おいしい煮玉子	
16	00:00:00	阿久津零	クゥソゲーを待っています	
17	00:00:00	フレイムリンクス	おいしい煮玉子	
18	00:00:00	りあすて	おいしい煮玉子を待っています	
19	00:00:00	Garden	テクニシャンぼうやを待っています	
20	00:00:00	ジョナサン・グレーン	素晴らしいプンレク様を待っています。	
21	00:00:00	あざーら	おいしい煮玉子を待っています	
22	00:00:00	ジュンペイ	おいたまー	
23	00:00:00	周恩来	これはロスタイムですね	
24	00:00:00	ヘンリーダーガー	おいしい煮玉子を待っています	
25	00:00:00	こみこ	主人公が本田だから実質サッカー	
26	00:00:00	mori mori	ﾄﾞﾝﾄﾞﾝﾊﾟﾌﾊﾟﾌ	
27	00:00:00	ジュンペイ	꧁꧂を待っています	
28	00:00:00	バリ島のサボテン	おいしい遅刻	
29	00:00:00	mk 95	現地とは時差が有るからセーフ	
30	00:00:00	Shuzo	ロスタイムに点が入ることもある	
31	00:00:00	R gon	JCだからセーフ	
32	00:00:00	ジュンペイ	꧁　꧂	
33	00:00:00	ジョナサン・グレーン	あの姉ちゃんが遅刻なんて何かあったのかな…心配だよ…	
34	00:00:00	なんたら	JCを待っています	
35	00:00:00	究極ド根性ダイコン	バーチャル時差がでか	
36	00:00:00	究極ド根性ダイコン	い	
37	00:00:00	りあすて	アディショナルタイムの逆のやつだから遅刻じゃない	
38	00:00:00	ヘンリーダーガー	またなにかこぼしたのかな？	
39	00:00:00	ネズミ2/2/6	おいしい煮玉子　	
40	00:00:00	うぇいのる	このゲームプログラマー3名って…	
41	00:00:00	ジュンペイ	꧁🐣꧂	
42	00:00:00	阿久津零	姉ちゃんにとって5分遅刻は遅刻に入らない	
43	00:00:00	畑秋	おいしい煮玉子　	
44	00:00:00	R gon	3名ってなんだよ	
45	00:00:00	竹輪	遅れたかと心配したけど安心した	
46	00:00:00	くりお	　おいしい煮玉子	
47	00:00:00	なんたら	おいしい　	
48	00:00:00	ジョナサン・グレーン	3人…	
49	00:00:00	周恩来	姉ちゃんももうすぐって言ってるし…	
50	00:00:00	いぶきんぐ	　確かにここにあったアイカツ	￥1,000
51	00:00:00	ネズミ2/2/6		￥100
52	00:00:09	究極ド根性ダイコン	きた	
53	00:00:12	周恩来	おいしい煮玉子	
54	00:00:13	mk 95	きた	
55	00:00:15	こみこ	おにたま～	
56	00:00:16	阿久津零	きたー	
57	00:00:16	すろっかす	おいしい煮玉子	
58	00:00:16	みよ	にたまご	
59	00:00:17	Shuzo	始まった！高評価！	
60	00:00:17	Garden	おにたま～	
61	00:00:18	バリ島のサボテン	きた	
62	00:00:20	なんたら	姉ちゃんがキター	
63	00:00:21	あまいさい	おいしい煮玉子	
64	00:00:22	ジュンペイ	おいたま〜	
65	00:00:22	らうらう	おいたま〜	
66	00:00:24	ジョナサン・グレーン	おにたま〜	
67	00:00:24	むらさきあんこ	おいしい煮玉子	
68	00:00:24	うぇいのる	おいしい煮玉子	
69	00:00:25	ヘンリーダーガー	おにたま姉ちゃん！	
70	00:00:25	えび	おいたま～	
71	00:00:26	mk 95	おいたまー	
72	00:00:26	くりお	おにたま！	
73	00:00:26	tage	おいたま～	
74	00:00:26	R gon	懐かしい画面だ	
75	00:00:27	_ Die	おいたまー	
76	00:00:27	フレイムリンクス	おにたま～	
77	00:00:27	ジャック・オー	おいしい煮玉子	
78	00:00:27	Dwi Mulyo Sutanto	おいたま～	
79	00:00:28	ネズミ2/2/6	でた！姉ちゃんの最新ハードだ！	
80	00:00:28	八木谷	おいしい煮玉子	
81	00:00:29	秋箱	姉ちゃんの通知が来てびっくりした	
82	00:00:29	バリ島のサボテン	おいしい煮玉子	
