行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	こみこ	おいしいHERO煮玉子ガイ	
1	00:00:00	ろりころね	タブーの波動3段みたいなやつ安定して避けられるようにならないと今回はきついかな？	
2	00:00:00	ミワタリ	おいしい煮玉子	
3	00:00:00	クロノス	おいしい煮玉子～(*´▽｀*)	
4	00:00:00	らうらう	チャンネルヘッダーの女子力がカンストしてる	
5	00:00:00	あい	oitama	
6	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
7	00:00:00	ひょうどうひっきー	おいしい煮玉子	
8	00:00:00	近藤亮	おいしい煮玉子	
9	00:00:00	天然ステルス	おいしい煮玉子	
10	00:00:00	山の田んぼ	おいしい煮玉子	
11	00:00:00	畑秋	おいしい煮玉子	
12	00:00:00	ろりころね	おいしいにたまご	
13	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
14	00:00:00	うぇいのる	おいしい煮玉子	
15	00:00:00	毒入りトマト	おいしい煮玉子	
16	00:00:00	ジュンペイ	おいしい煮玉子	
17	00:00:00	Redmix	おいしい煮玉子	
18	00:00:00	岸辺一徳	おいしい煮玉子	
19	00:00:00	Garden	おいしい煮玉子	
20	00:00:00	バリ島のサボテン	おいしい煮玉子	
21	00:00:00	ミワタリ	おいしい煮玉子	
22	00:00:00	ジョナサン・グレーン	おいしい煮玉子を待っています	
23	00:00:00	puppet	おいしい煮玉子	
24	00:00:00	eve	おいしい煮玉子	
25	00:00:00	あい	おいしい煮玉子	
26	00:00:00	ブロア	おいしい煮玉子	
27	00:00:00	毒入りトマト	꧁꧂を待つています	
28	00:00:00	のどあめ	やぁ！うちの名前はクゥフランゾーパー。クゥって呼んでね！	
29	00:00:00	のどあめ	久しく聞いてないおいしい煮玉子	
30	00:00:00	タケノコ男	おいしい煮玉子	
31	00:00:00	うぇいのる	おいしい煮玉子待機	
32	00:00:00	ゼッケン100	おいしい煮玉子	
33	00:00:00	毒入りトマト	🥚꧁꧂🥚	
34	00:00:00	バリ島のサボテン	おいしい遅刻	
35	00:00:00	Luce	꧁🥚꧂	
36	00:00:00	むらさきあんこ	　	
37	00:00:00	ミワタリ	おいしい煮玉子を待っています	
38	00:00:00	ブロア	１５分までなら遅刻じゃない	
39	00:00:00	のどあめ	꧁🥚꧂	
40	00:00:00	毒入りトマト	꧁꧂🥚꧁꧂	
41	00:00:00	イヌージョンCHANNEL	​おいしい煮玉子	
42	00:00:00	ゼッケン100	姉ちゃんWiiは初プレイって言ってたから反応が楽しみ	
43	00:00:00	ジュンペイ	　　　	
44	00:00:00	ジョナサン・グレーン	あの姉ちゃんが遅刻なんて…	
45	00:00:00	ほるもん	おいしいにたまご	
46	00:00:00	かたもく	いつもの事だろ！いい加減にしろ！	
47	00:00:00	うましゃく	おいしい煮卵	
48	00:00:00	周恩来		￥100
49	00:00:00	御早和杯	１万人おめでとうございます	￥500
50	00:00:00	Garden	一万人おめでとう！	￥10,000
51	00:00:00	岸辺一徳	めでてえめでてえ	￥2,000
52	00:00:00	なんたら	すｂｍ	￥1,000
53	00:00:00	秋箱	１万人おめでとう！すbm楽しみです！！	￥1,000
54	00:00:00	あい	おめでとう！	￥200
55	00:00:00	zaff	おめでと～！	￥500
56	00:00:00	らうらう	꧁꧂<ｵﾒﾃﾞﾄｰ	￥10,000
57	00:00:00	周恩来	おめでとう！	￥500
58	00:00:00	たんこぶ	10,000FANおめでとー！！	￥10,000
59	00:00:00	周恩来	おめでとう！	￥1,000
60	00:00:00	くら	長かったね姉ちゃん…おめでとう!	￥1,000
61	00:00:00	畑秋	　1万人おめでとう(´;ω;｀) Vティーク掲載おめ、絶対に買います！ クゥ姉は、ゲーム耐久配信スゴイ！ ラブライブ、アイカツの熱がすごい！何気に人脈、コラボが凄い！ 次はセブンイレブンですね(^-^) これからの活動楽しみにしています*。ヾ(｡>ｖ<｡)ﾉﾞ*	￥16,200
62	00:00:00	馬の骨に念仏	おいしい煮玉子。１万人おめでとうございます	￥10,000
63	00:00:04	ひょうどうひっきー	悪空の使者やりこんだなぁー	
64	00:00:04	ろりころね	機器調達から始まる	
65	00:00:05	ジュンペイ	プロコンは見つかったのだろうか	
66	00:00:09	ろりころね	きた	
67	00:00:10	ミワタリ	かわいい	
68	00:00:11	バリ島のサボテン	おいしい煮玉子	
69	00:00:11	ブロア	おいしい煮玉子	
70	00:00:12	究極ド根性ダイコン	おいしい煮玉子	
71	00:00:13	近藤亮	お部屋捜索成功したかな	
72	00:00:13	のどあめ	おいたまを	
73	00:00:14	らうらう	プロコンはみつかったのかな・・・	
74	00:00:14	ヌルヌペペ	おいしい煮玉子	
75	00:00:15	御早和杯	おいしい煮玉子	
76	00:00:16	puppet	うわーなつかしい	
77	00:00:17	らうらう	おいしい煮玉子	
78	00:00:17	馬の骨に念仏	おいしい煮玉子	
79	00:00:18	ゼッケン100	お！	
80	00:00:19	ジュンペイ	おいしい煮玉子	
81	00:00:19	ぴねかっと	おいしい煮玉子	
82	00:00:20	Redmix	おいしい煮玉子	
83	00:00:20	むらさきあんこ	おいしい煮玉子	
84	00:00:21	近藤亮	おいしい煮玉子	
85	00:00:22	やみ鍋	おいしい煮玉子	
86	00:00:22	毒入りトマト	おいしい1万煮玉子おめでとう🎉🎉🎉	
87	00:00:22	こみこ	おいしい煮玉子	
88	00:00:22	ブロア	おせき	
89	00:00:23	ゼッケン100	おいしい煮玉子	
90	00:00:24	なる	おいしい煮玉子	
91	00:00:25	うぇいのる	おいしい煮玉子	
92	00:00:26	ミワタリ	おいしい煮玉子	
93	00:00:29	sas b	おいしい煮玉子	
94	00:00:30	Garden	おいしい煮玉子	
95	00:00:30	MIDoW/みだう	おいしい煮玉子	
96	00:00:36	puppet	おいしい煮玉子	
97	00:00:36	よもよも	お玉	
98	00:00:00	こみこ	おいしいHERO煮玉子ガイ	
99	00:00:00	ろりころね	タブーの波動3段みたいなやつ安定して避けられるようにならないと今回はきついかな？	
100	00:00:00	ミワタリ	おいしい煮玉子	
101	00:00:00	クロノス	おいしい煮玉子～(*´▽｀*)	
102	00:00:00	らうらう	チャンネルヘッダーの女子力がカンストしてる	
103	00:00:00	あい	oitama	
104	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
105	00:00:00	ひょうどうひっきー	おいしい煮玉子	
106	00:00:00	近藤亮	おいしい煮玉子	
107	00:00:00	天然ステルス	おいしい煮玉子	
108	00:00:00	山の田んぼ	おいしい煮玉子	
109	00:00:00	畑秋	おいしい煮玉子	
110	00:00:00	ろりころね	おいしいにたまご	
111	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
112	00:00:00	うぇいのる	おいしい煮玉子	
113	00:00:00	毒入りトマト	おいしい煮玉子	
114	00:00:00	ジュンペイ	おいしい煮玉子	
115	00:00:00	Redmix	おいしい煮玉子	
116	00:00:00	岸辺一徳	おいしい煮玉子	
117	00:00:00	Garden	おいしい煮玉子	
118	00:00:00	バリ島のサボテン	おいしい煮玉子	
119	00:00:00	ミワタリ	おいしい煮玉子	
120	00:00:00	ジョナサン・グレーン	おいしい煮玉子を待っています	
121	00:00:00	puppet	おいしい煮玉子	
122	00:00:00	eve	おいしい煮玉子	
123	00:00:00	あい	おいしい煮玉子	
124	00:00:00	ブロア	おいしい煮玉子	
125	00:00:00	毒入りトマト	꧁꧂を待つています	
126	00:00:00	のどあめ	やぁ！うちの名前はクゥフランゾーパー。クゥって呼んでね！	
127	00:00:00	のどあめ	久しく聞いてないおいしい煮玉子	
128	00:00:00	タケノコ男	おいしい煮玉子	
