行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	むむめめ	はやい	
1	00:00:00	竹輪	同時実況いっぱいあって嬉しい	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	ラチェット	おいしい煮玉子	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	ジャック・オー	おいしい煮玉子	
7	00:00:00	りあすて	おいしい煮玉子	
8	00:00:00	JUNY	おいしい煮玉子	
9	00:00:00	うぇいのる	おいしい煮玉子	
10	00:00:00	竹輪	おいしい煮玉子	
11	00:00:00	岸辺一徳	おいしい煮玉子	
12	00:00:13	岸辺一徳	おいしい煮玉子	
13	00:00:14	らうらう	おいしい煮玉子	
14	00:00:16	motiyomogi	おいしい煮玉子	
15	00:00:18	にけい	おいしい煮玉子	
16	00:00:19	いぶきんぐ	おいしい煮玉子	
17	00:00:23	なんたら	おいしい煮玉子	
18	00:00:24	うぇいのる	わーい	
19	00:00:25	らうらう	かわいい	
20	00:00:26	ヘンリーダーガー	おいしい煮玉子	
21	00:00:28	ほるもん	おいしい煮玉子	
22	00:00:29	リフェ	おいしい煮玉子	
23	00:00:31	にけい	やっちゃうのか～	
24	00:00:33	ジョナサン・グレーン	ハァ…ハァ…ギリギリ家に着いた…おいしい煮玉子	
25	00:00:35	もっけい	お煮	
26	00:00:37	JUNY	やって	
27	00:00:45	竹輪	かわいい	
28	00:00:47	D W	美味しい煮玉子	
29	00:00:53	JUNY	かわいい	
30	00:00:54	motiyomogi	草	
31	00:00:54	リフェ	草	
32	00:00:54	うぇいのる	なんで…？	
33	00:00:55	スモーク	おいしい煮玉子	
34	00:00:55	いぶきんぐ	草	
35	00:00:56	ラチェット	ブルードも見れるの！？	
36	00:00:57	らうらう	がまんできないのかわいい	
37	00:00:58	D W	草	
38	00:00:59	ジャック・オー	草	
39	00:00:59	もっけい	頭がパーン	
40	00:01:00	ホワイトラン衛兵	おいしい煮玉子	
41	00:01:01	竹輪	草	
42	00:01:03	にけい	なんでみたの	
43	00:01:08	gorouyamada	どういうことなの	
44	00:01:38	もっけい	クローネンバーグにアク弱い作品あるのか定期	
45	00:01:38	うぇいのる	あー…	
46	00:01:40	motiyomogi	ハエ男すき	
47	00:02:05	もっけい	ヴィデオドロームすこって	
48	00:02:08	らうらう	あくの強さレベルどんくらい？	
49	00:02:17	いぶきんぐ	なるほど	
50	00:02:24	もっけい	超能力バトル作品だから	
51	00:02:39	らうらう	wwwwww	
52	00:02:39	motiyomogi	草	
53	00:02:40	うぇいのる	つよい	
54	00:02:41	リフェ	桁が違う…	
55	00:02:42	ホワイトラン衛兵	草	
56	00:02:44	いぶきんぐ	そんなに	
57	00:02:44	sio3go	草	
58	00:02:45	竹輪	草	
59	00:02:45	せせらぎ	マイナス5万...	
60	00:02:57	らうらう	草	
61	00:02:57	ラチェット	裸のランチは１０あると思う…	
62	00:00:00	むむめめ	はやい	
63	00:00:00	竹輪	同時実況いっぱいあって嬉しい	
64	00:00:00	らうらう	おいしい煮玉子	
65	00:00:00	リフェ	おいしい煮玉子	
66	00:00:00	ラチェット	おいしい煮玉子	
67	00:00:00	パンセポンセ	おいしい煮玉子	
68	00:00:00	ジャック・オー	おいしい煮玉子	
69	00:00:00	りあすて	おいしい煮玉子	
70	00:00:00	JUNY	おいしい煮玉子	
71	00:00:00	うぇいのる	おいしい煮玉子	
72	00:00:00	竹輪	おいしい煮玉子	
73	00:00:00	岸辺一徳	おいしい煮玉子	
74	00:00:13	岸辺一徳	おいしい煮玉子	
75	00:00:14	らうらう	おいしい煮玉子	
76	00:00:16	motiyomogi	おいしい煮玉子	
77	00:00:18	にけい	おいしい煮玉子	
78	00:00:19	いぶきんぐ	おいしい煮玉子	
79	00:00:23	なんたら	おいしい煮玉子	
80	00:00:24	うぇいのる	わーい	
81	00:00:25	らうらう	かわいい	
82	00:00:26	ヘンリーダーガー	おいしい煮玉子	
83	00:00:28	ほるもん	おいしい煮玉子	
84	00:00:29	リフェ	おいしい煮玉子	
85	00:00:31	にけい	やっちゃうのか～	
86	00:00:33	ジョナサン・グレーン	ハァ…ハァ…ギリギリ家に着いた…おいしい煮玉子	
87	00:00:35	もっけい	お煮	
88	00:00:37	JUNY	やって	
89	00:00:45	竹輪	かわいい	
90	00:00:47	D W	美味しい煮玉子	
91	00:00:53	JUNY	かわいい	
92	00:00:54	motiyomogi	草	
93	00:00:54	リフェ	草	
94	00:00:54	うぇいのる	なんで…？	
95	00:00:55	スモーク	おいしい煮玉子	
96	00:00:55	いぶきんぐ	草	
97	00:00:56	ラチェット	ブルードも見れるの！？	
98	00:00:57	らうらう	がまんできないのかわいい	
99	00:00:58	D W	草	
100	00:00:59	ジャック・オー	草	
101	00:00:59	もっけい	頭がパーン	
102	00:01:00	ホワイトラン衛兵	おいしい煮玉子	
103	00:01:01	竹輪	草	
104	00:01:03	にけい	なんでみたの	
105	00:01:08	gorouyamada	どういうことなの	
106	00:01:38	もっけい	クローネンバーグにアク弱い作品あるのか定期	
107	00:01:38	うぇいのる	あー…	
108	00:01:40	motiyomogi	ハエ男すき	
109	00:02:05	もっけい	ヴィデオドロームすこって	
110	00:02:08	らうらう	あくの強さレベルどんくらい？	
111	00:02:17	いぶきんぐ	なるほど	
112	00:02:24	もっけい	超能力バトル作品だから	
113	00:02:39	らうらう	wwwwww	
114	00:02:39	motiyomogi	草	
115	00:02:40	うぇいのる	つよい	
116	00:02:41	リフェ	桁が違う…	
117	00:02:42	ホワイトラン衛兵	草	
118	00:02:44	いぶきんぐ	そんなに	
119	00:02:44	sio3go	草	
120	00:02:45	竹輪	草	
121	00:02:45	せせらぎ	マイナス5万...	
122	00:02:57	らうらう	草	
123	00:02:57	ラチェット	裸のランチは１０あると思う…	
124	00:02:59	パンセポンセ	草	
125	00:03:00	スモーク	草	
126	00:03:02	岸辺一徳	わかりやすい	
127	00:03:03	竹輪	わかりやすい	
128	00:03:04	もっけい	14万！？ボッタクリやろこれぇ！	
129	00:03:31	らうらう	5段階で5超えるのか・	
130	00:03:59	岸辺一徳	ぼーん	
131	00:04:00	うぇいのる	はい	
132	00:04:01	motiyomogi	ぼーん！	
133	00:04:03	ホワイトラン衛兵	ぼーん	
134	00:04:04	もっけい	頭がボーンとなりましてね	
135	00:04:08	sio3go	bone	
136	00:04:11	いぶきんぐ	ぼーん	
137	00:04:13	竹輪	かわいい	
138	00:04:21	ジャック・オー	ぼーん	
139	00:04:28	なんたら	BD持ってるんだ・・・	
140	00:04:32	もっけい	80年代特有のBGM	
141	00:04:39	リフェ	ほー	
142	00:04:50	motiyomogi	やばいおじさん草	
143	00:04:51	パンセポンセ	草	
144	00:04:53	ホワイトラン衛兵	草	
145	00:04:54	なんたら	ヒアーズジャニー	
146	00:04:55	岸辺一徳	ラズチャック！！！	
147	00:04:55	JUNY	よく覗いてるおじさん	
148	00:04:58	sio3go	よく覗いている人	
149	00:05:01	もっけい	ニコルソンはカッコーの巣の上で派です	
150	00:05:01	リフェ	覗いてる人草	
151	00:05:03	ジャック・オー	あーあの人か	
152	00:05:09	ラチェット	そんなニコスソン顔がそうそういるわけ…	
153	00:05:10	近藤大輔	本人じゃないのかｗ	
