行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	八木谷	お疲れ様～	
1	00:00:15	あい	おいしい煮玉子	
2	00:00:17	ブロア	おいしい煮玉子	
3	00:00:19	周恩来	おいしい煮玉子	
4	00:00:22	なんたら	おいしい煮玉子	
5	00:00:23	_ Die	おいしい煮玉子	
6	00:00:24	ゴギガガガギゴ	おいしい煮玉子	
7	00:00:25	究極ド根性ダイコン	おいしい煮玉子	
8	00:00:27	ねこくーる	こんばんは	
9	00:00:30	ヌルヌペペ	おいしい煮玉子	
10	00:00:32	ふーばー	おいしい煮玉子	
11	00:00:32	らうらう	おいしい煮玉子	
12	00:00:32	松本幸四郎	おいしい煮玉子	
13	00:00:33	レアリスム星人	おいしい煮玉子	
14	00:00:33	ほるもん	おいしい煮玉子	
15	00:00:33	ジュンペイ	おいしい煮玉子	
16	00:00:35	ふじ	おいしい煮玉子	
17	00:00:35	袖口	おいしい煮玉子	
18	00:00:37	TKG M	おいしい煮玉子	
19	00:00:45	みりーむ	おいしい煮玉子	
20	00:00:50	めるカバ	おいしい煮玉子	
21	00:00:59	Ami Saika	美味しい煮玉子	
22	00:01:00	こみこ	おいしい煮玉子	
23	00:01:01	べるべる	おいしい煮玉子	
24	00:01:02	毒入りトマト	美味しい煮玉子	
25	00:01:06	竹輪	おいしい煮玉子	
26	00:01:07	nokonokoasyu	おいしい煮玉子	
27	00:01:09	くれみ	おいたま	
28	00:01:18	やなぎかげ	おいしい煮玉子	
29	00:01:28	zaff	おいしい煮玉子	
30	00:01:29	かたもく	美味しい煮卵	
31	00:01:41	オオサキユリ	おいしい煮玉子	
32	00:01:42	スモーク	おいたま！	
33	00:01:42	そらねこ	おいしい煮玉子	
34	00:01:53	天然ステルス	おいたま	
35	00:01:55	究極ド根性ダイコン	ふしぎなおどり	
36	00:01:58	habanero	おいしい煮玉子	
37	00:01:58	なんたら	ゾーパーダンス	
38	00:01:59	どんとこいぼのえもん侍	おいしい煮玉子	
39	00:02:01	めるカバ	やったぜ	
40	00:02:05	subaru taira	枠替えの間にシュガーソング聞いてたわ	
41	00:02:07	毒入りトマト	あっスクロールバーの消せたって事か	
42	00:02:16	たべ太	頭に手が刺さってる	
43	00:02:17	うぇいのる	おいしい煮玉子	
44	00:02:19	ブロア	すっきりした	
45	00:02:28	ふーばー	やりおる弟	
46	00:02:32	うぇいのる	有能弟	
47	00:02:33	こみこ	有能弟	
48	00:02:35	究極ド根性ダイコン	有能	
49	00:02:43	毒入りトマト	有能弟	
