行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	aa aa	おいしい煮玉子	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	けー	おたまご	
3	00:00:00	むむめめ	おいしい煮玉子	
4	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
5	00:00:00	竹輪	おいしい煮玉子	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	防人	おいしい煮玉子	
8	00:00:00	D W	おいしい煮玉子	
9	00:00:00	小さい胡麻塩	おいしい煮玉子	
10	00:00:00	パンセポンセ	おいしい煮玉子	
11	00:00:00	にけい	最後の配信枠（ファイナル・ファンタジー）	
12	00:00:00	aa aa	開始ツイートえらい	
13	00:00:00	sas b	おいしい煮玉子	
14	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子 姉ちゃんは大丈夫なのかい？	
15	00:00:00	白雪	おーいしい煮玉子	
16	00:00:00	むむめめ		￥100
17	00:00:13	らうらう	おいしい煮玉子	
18	00:00:17	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
19	00:00:19	にけい	おいしい煮玉子	
20	00:00:22	小さい胡麻塩	おいしい煮玉子	
21	00:00:22	竹輪	おいしい煮玉子	
22	00:00:23	ホワイトラン衛兵	おいしい煮玉子	
23	00:00:24	のねずみ	おいしい煮玉子	
24	00:00:24	パンセポンセ	おいしい煮玉子	
25	00:00:26	ヘンリーダーガー	おいしい煮玉子	
26	00:00:38	aa aa	おいしい煮玉子	
27	00:00:39	ゆかり	おいしいにたまごあ	
28	00:00:45	らうらう	すごいねむそう	
29	00:00:46	あまいろむ	おいしい煮玉子	
30	00:00:47	けー	おかえりー	
31	00:00:47	motiyomogi	おいしい煮玉子	
32	00:00:49	御早和杯	おいしい煮玉子	
33	00:00:50	結城晶	よろしくおねがいします	
34	00:00:51	竹輪	姉ちゃん疲れが	
35	00:00:55	ホワイトラン衛兵	とても眠そう	
36	00:00:56	motiyomogi	疲れが見える	
37	00:01:05	せせらぎ	おはようございます～	
38	00:01:09	aa aa	おねむウェーブが来る前にクリアできるか	
39	00:01:18	ヘンリーダーガー	大丈夫姉ちゃん？声が弱ってる	
40	00:02:22	竹輪	ボリュームがすごい	
41	00:02:26	クロム	終わったらちゃんと爆睡してほしい	
42	00:02:48	にけい	おるーー！	
43	00:02:51	motiyomogi	でかい	
44	00:02:55	ヘンリーダーガー	こわい	
45	00:02:55	パンセポンセ	目がきもい	
46	00:02:58	D W	シン！！！	
47	00:02:59	ホワイトラン衛兵	目が沢山…	
48	00:03:00	Tsurai 3	アイアムユアファーザー	
49	00:03:04	バーチャルYouTuberガニメデちゃんねる	おやじー！	
50	00:03:06	はおたど	オヤジきもっ！	
51	00:03:23	御早和杯	これ…父さんです	
52	00:03:50	aa aa	我はラスボスって感じしてる	
53	00:05:26	はおたど	今から仕事だあ	
54	00:05:42	はおたど	ありがとう姉ちゃん	
55	00:05:42	motiyomogi	GW満喫してる？bot	
56	00:05:50	御早和杯	祝日は関係ないんじゃ、グフフ…	
57	00:05:52	ゆかり	旅行行くかもしれない。(曖昧)	
58	00:06:09	Kei H	やあやあ	
59	00:06:14	Tsurai 3	男泣きなのだ	
60	00:06:28	D W	なかないで	
61	00:06:32	ワイドマン	やっぱりゲーム漬けや	
62	00:06:34	バーチャルYouTuberガニメデちゃんねる	しゃべらない間っていうのもいいよな…	
63	00:07:00	aa aa	アイテム補充していったほうがいいかな？	
64	00:07:17	けー	このイベント起こすとラスボス	
65	00:07:21	パンセポンセ	ちょっとイベントがあってそのあとラスダン	
66	00:00:00	aa aa	おいしい煮玉子	
67	00:00:00	桜田紅	おいしい煮玉子	
68	00:00:00	けー	おたまご	
69	00:00:00	むむめめ	おいしい煮玉子	
70	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
71	00:00:00	竹輪	おいしい煮玉子	
72	00:00:00	らうらう	おいしい煮玉子	
73	00:00:00	防人	おいしい煮玉子	
74	00:00:00	D W	おいしい煮玉子	
75	00:00:00	小さい胡麻塩	おいしい煮玉子	
76	00:00:00	パンセポンセ	おいしい煮玉子	
77	00:00:00	にけい	最後の配信枠（ファイナル・ファンタジー）	
78	00:00:00	aa aa	開始ツイートえらい	
79	00:00:00	sas b	おいしい煮玉子	
80	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子 姉ちゃんは大丈夫なのかい？	
81	00:00:00	白雪	おーいしい煮玉子	
82	00:00:00	むむめめ		￥100
83	00:00:13	らうらう	おいしい煮玉子	
84	00:00:17	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
85	00:00:19	にけい	おいしい煮玉子	
86	00:00:22	小さい胡麻塩	おいしい煮玉子	
87	00:00:22	竹輪	おいしい煮玉子	
88	00:00:23	ホワイトラン衛兵	おいしい煮玉子	
89	00:00:24	のねずみ	おいしい煮玉子	
90	00:00:24	パンセポンセ	おいしい煮玉子	
91	00:00:26	ヘンリーダーガー	おいしい煮玉子	
92	00:00:38	aa aa	おいしい煮玉子	
93	00:00:39	ゆかり	おいしいにたまごあ	
94	00:00:45	らうらう	すごいねむそう	
95	00:00:46	あまいろむ	おいしい煮玉子	
96	00:00:47	けー	おかえりー	
97	00:00:47	motiyomogi	おいしい煮玉子	
98	00:00:49	御早和杯	おいしい煮玉子	
99	00:00:50	結城晶	よろしくおねがいします	
100	00:00:51	竹輪	姉ちゃん疲れが	
101	00:00:55	ホワイトラン衛兵	とても眠そう	
102	00:00:56	motiyomogi	疲れが見える	
103	00:01:05	せせらぎ	おはようございます～	
104	00:01:09	aa aa	おねむウェーブが来る前にクリアできるか	
105	00:01:18	ヘンリーダーガー	大丈夫姉ちゃん？声が弱ってる	
106	00:02:22	竹輪	ボリュームがすごい	
107	00:02:26	クロム	終わったらちゃんと爆睡してほしい	
108	00:02:48	にけい	おるーー！	
109	00:02:51	motiyomogi	でかい	
110	00:02:55	ヘンリーダーガー	こわい	
111	00:02:55	パンセポンセ	目がきもい	
112	00:02:58	D W	シン！！！	
113	00:02:59	ホワイトラン衛兵	目が沢山…	
114	00:03:00	Tsurai 3	アイアムユアファーザー	
115	00:03:04	バーチャルYouTuberガニメデちゃんねる	おやじー！	
116	00:03:06	はおたど	オヤジきもっ！	
117	00:03:23	御早和杯	これ…父さんです	
118	00:03:50	aa aa	我はラスボスって感じしてる	
119	00:05:26	はおたど	今から仕事だあ	
120	00:05:42	はおたど	ありがとう姉ちゃん	
121	00:05:42	motiyomogi	GW満喫してる？bot	
122	00:05:50	御早和杯	祝日は関係ないんじゃ、グフフ…	
123	00:05:52	ゆかり	旅行行くかもしれない。(曖昧)	
124	00:06:09	Kei H	やあやあ	
125	00:06:14	Tsurai 3	男泣きなのだ	
126	00:06:28	D W	なかないで	
127	00:06:32	ワイドマン	やっぱりゲーム漬けや	
128	00:06:34	バーチャルYouTuberガニメデちゃんねる	しゃべらない間っていうのもいいよな…	
129	00:07:00	aa aa	アイテム補充していったほうがいいかな？	
