行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	東京コノハムシ	姉ちゃんはゲーマーだから	
1	00:00:00	くーねる	おつかれ煮玉子	
2	00:00:00	ジョナサン・グレーン	このサムネの子クラスの中心にいそう	
3	00:00:06	JUNY	ごはん食べて…	
4	00:00:24	竹輪	読モやってそう	
5	00:00:33	うぇいのる	おいしい煮玉子	
6	00:00:42	aarar scsrt	とってもおいしい煮玉子	
7	00:00:42	チキン肉なし	おいしい煮玉子	
8	00:00:47	いぶきんぐ	おいしい煮玉子	
9	00:00:47	東京コノハムシ	アイドルだぞ！	
10	00:00:48	かたもく	おいしい煮玉子	
11	00:00:51	ゴギガガガギゴ	おいしい煮玉子	
12	00:00:52	周恩来	おいしい煮玉子	
13	00:00:52	ふぁる	美味しい煮玉子	
14	00:00:55	sas b	おいしい煮玉子	
15	00:00:55	ナウ	おいしいほしいも	
16	00:00:57	eve	おいしい煮玉子	
17	00:00:57	あい	おいしい煮玉子	
18	00:00:57	陰キャバス竹中	おいしい煮玉子	
19	00:00:59	いぶきんぐ	おおラスボスきてるんだね	
20	00:01:01	ぜぶとら	美味しい煮卵	
21	00:01:01	スモーク	おいたま！	
22	00:01:02	くーねる	おかえり煮玉子	
23	00:01:02	八木谷	おいしい煮玉子	
24	00:01:03	_ Die	おいしい煮玉子	
25	00:01:04	ジョナサン・グレーン	おいしい煮玉子	
26	00:01:04	むらさきあんこ	第二もあるのか…	
27	00:01:04	ωひがほん	おいしい煮玉子	
28	00:01:04	タケノコ男	おいしい煮玉子	
29	00:01:05	うぇいのる	がんばえー	
30	00:01:06	近藤亮	おいしい煮玉子	
31	00:01:06	motiyomogi	おいしい煮玉子	
32	00:01:14	JUNY	おいしい煮玉子	
33	00:01:17	東京コノハムシ	おいしい煮玉子	
34	00:01:20	ほるもん	おいしい煮玉子	
35	00:01:25	らうらう	おいしいにたまご	
36	00:01:32	ジャック・オー	おいしい煮玉子	
37	00:01:34	ねこくーる	がんばれー！	
38	00:01:55	ωひがほん	スキャンしよう	
39	00:01:55	くーねる	とりあえずスキャン！	
40	00:02:00	なる	見届けたかったけどもう家でなきゃ…姉ちゃん頑張ってね！	
41	00:02:01	小宇宙	スキャンしよ	
42	00:02:03	スルーラスト	おいしい煮玉子	
43	00:02:18	ωひがほん	バイザーを切り替えて	
44	00:02:21	かたもく	ぶっ倒してやる！	
45	00:02:22	JUNY	抜け目ない	
46	00:02:30	ωひがほん	いいね	
47	00:02:35	八木谷	いいね	
48	00:02:38	タケノコ男	いったれ	
49	00:02:38	motiyomogi	めっちゃ利いてる	
50	00:02:40	クロノス	風呂入ってたんだが配信一旦切ったんですね～🤔	
51	00:02:45	東京コノハムシ	やっば！	
52	00:02:47	JUNY	避けろ！サムス！	
53	00:00:00	東京コノハムシ	姉ちゃんはゲーマーだから	
54	00:00:00	くーねる	おつかれ煮玉子	
55	00:00:00	ジョナサン・グレーン	このサムネの子クラスの中心にいそう	
56	00:00:06	JUNY	ごはん食べて…	
57	00:00:24	竹輪	読モやってそう	
58	00:00:33	うぇいのる	おいしい煮玉子	
59	00:00:42	aarar scsrt	とってもおいしい煮玉子	
60	00:00:42	チキン肉なし	おいしい煮玉子	
61	00:00:47	いぶきんぐ	おいしい煮玉子	
62	00:00:47	東京コノハムシ	アイドルだぞ！	
63	00:00:48	かたもく	おいしい煮玉子	
64	00:00:51	ゴギガガガギゴ	おいしい煮玉子	
65	00:00:52	周恩来	おいしい煮玉子	
66	00:00:52	ふぁる	美味しい煮玉子	
67	00:00:55	sas b	おいしい煮玉子	
68	00:00:55	ナウ	おいしいほしいも	
69	00:00:57	eve	おいしい煮玉子	
70	00:00:57	あい	おいしい煮玉子	
71	00:00:57	陰キャバス竹中	おいしい煮玉子	
72	00:00:59	いぶきんぐ	おおラスボスきてるんだね	
73	00:01:01	ぜぶとら	美味しい煮卵	
74	00:01:01	スモーク	おいたま！	
75	00:01:02	くーねる	おかえり煮玉子	
