行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	竹輪	おいしい煮玉子	
2	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
3	00:00:00	桜田紅	おいしい煮玉子	
4	00:00:00	天然ステルス	おいしい煮玉子	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	ヌルヌペペ	おいしい煮玉子	
7	00:00:00	スモーク	おいしい煮玉子	
8	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
9	00:00:00	リフェ	おいしい煮玉子	
10	00:00:00	ミワタリ	おいしい煮玉子	
11	00:00:19	むむめめ	おいしい煮玉子	
12	00:00:19	竹輪	おいしい煮玉子	
13	00:00:21	Redmix	おいしい煮玉子	
14	00:00:30	おさかな	おいしい煮玉子	
15	00:00:30	らうらう	おいしい煮玉子	
16	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
17	00:00:40	ジョナサン・グレーン	おいしい煮玉子	
18	00:01:00	ジャック・オー	おいしい煮玉子	
19	00:01:04	たびびと	おいしい煮玉子	
20	00:01:06	ジョナサン・グレーン	ショタ触手プレイ	
21	00:01:08	らうらう	酔い対策大丈夫？	
22	00:01:20	リフェ	酔いは大丈夫？	
23	00:01:38	竹輪	酔いおさまってよかった	
24	00:01:48	カーマイン	おいしい煮玉子	
25	00:01:53	ホワイトラン衛兵	えぇ…	
26	00:01:55	スモーク	えぇ…	
27	00:01:57	究極ド根性ダイコン	ええ…	
28	00:02:05	D W	美味しい煮玉子	
29	00:02:10	カーマイン	何このゲーム	
30	00:02:15	にけい	おいしい煮玉子	
31	00:02:20	うぇいのる	おいしい煮玉子	
32	00:02:38	らうらう	なんか哲学的	
33	00:02:56	にけい	説明下手くそか！	
34	00:03:09	カーマイン	なんかこわい	
35	00:03:24	竹本カキフライ	このカットしかないんか？	
36	00:03:28	究極ド根性ダイコン	会話のドッジボールすぎない？	
37	00:03:52	スモーク	りょうくん基本的に食い気味だよね	
38	00:04:12	小さい胡麻塩	おいしい煮玉子	
39	00:04:19	H Y	かなり高度な日本語だとおもう	
40	00:04:19	竹輪	いろいろヤバイ	
41	00:04:38	リフェ	あとどれくらいなんだろう？	
42	00:04:58	竹本カキフライ	地面を這いつくばるカブトムシ	
43	00:05:09	リフェ	草	
44	00:05:11	スモーク	草	
45	00:05:20	らうらう	ゲームをゼロから変えてみた。	
46	00:05:30	Yo mi	ダクトは1F、2Fがあって迷宮	
47	00:06:23	らうらう	むだにぐるぐる	
48	00:06:26	ディープブリザード	酔う…	
49	00:06:26	リフェ	この回転が酔う…	
50	00:06:28	おさかな	なにこの…	
