行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子　	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	なんたら	おいしい煮玉子	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	カギアカギ	おいしい煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:14	ふーばー	おいしい煮玉子	
7	00:00:14	らうらう	おいしい煮玉子	
8	00:00:15	岸辺一徳	おいしい煮玉子	
9	00:00:18	ジャック・オー	おいしい煮玉子	
10	00:00:18	八木谷	おいしい煮玉子	
11	00:00:18	なんたら	おいしい煮玉子	
12	00:00:19	eve	おいしい煮玉子	
13	00:00:27	カギアカギ	おいしい煮玉子	
14	00:00:27	近藤亮	おいしい煮玉子	
15	00:00:27	motiyomogi	おいしい煮玉子	
16	00:00:27	タケノコ男	おいしい煮玉子	
17	00:00:29	パンセポンセ	おいしい煮玉子	
18	00:00:32	御早和杯	おいしい煮玉子	
19	00:00:32	リフェ	おいしい煮玉子	
20	00:00:45	ゴギガガガギゴ	おいしい煮玉子	
21	00:00:48	Eトマト	おいしい煮玉子	
22	00:00:49	クロム	おいしい煮玉子	
23	00:00:50	なんたら	声小さい？	
24	00:01:01	eve	声小さいかな	
25	00:01:13	mori mori	もしくはBGMが大きい	
26	00:01:19	タケノコ男	かわいい	
27	00:01:20	らうらう	かわいい	
28	00:01:32	らうらう	いいかんじ	
29	00:01:37	mori mori	とてもかわいい	
30	00:01:40	eve	よくなった	
31	00:01:44	タケノコ男	大丈夫と思う	
32	00:01:45	motiyomogi	おっけー	
33	00:01:45	ジャック・オー	おｋ	
34	00:01:48	八木谷	いい感じ	
35	00:02:02	らうらう	えらい	
36	00:02:19	motiyomogi	がんばってほしい。	
37	00:02:23	mori mori	ｶﾞﾝﾊﾞｯﾃ	
38	00:02:26	ジャック・オー	えらい	
39	00:02:32	タケノコ男	えらい	
40	00:02:39	eve	姉ちゃんえらい	
41	00:02:46	なんたら	ありがたい	
42	00:02:46	らうらう	カラスくんかわいそう	
43	00:02:52	近藤亮	ありがたい	
44	00:02:58	ジャック・オー	こんなファンシーな村出身なのかー	
45	00:03:56	なんたら	ちょっとざらついてる気がするけどわからん	
46	00:05:59	mori mori	微妙なミニゲーム草	
47	00:07:03	らうらう	まえのがいい	
48	00:07:06	なんたら	個人的には前	
49	00:07:06	mori mori	丸くて籠った感じ	
50	00:07:24	八木谷	前がいいかな	
51	00:07:45	らうらう	かわいい	
52	00:07:52	タケノコ男	かわいい	
53	00:08:00	mori mori	すっきり	
54	00:00:00	ジャック・オー	おいしい煮玉子　	
55	00:00:00	リフェ	おいしい煮玉子	
56	00:00:00	なんたら	おいしい煮玉子	
57	00:00:00	岸辺一徳	おいしい煮玉子	
58	00:00:00	カギアカギ	おいしい煮玉子	
59	00:00:00	スモーク	おいしい煮玉子	
60	00:00:14	ふーばー	おいしい煮玉子	
61	00:00:14	らうらう	おいしい煮玉子	
62	00:00:15	岸辺一徳	おいしい煮玉子	
63	00:00:18	ジャック・オー	おいしい煮玉子	
64	00:00:18	八木谷	おいしい煮玉子	
65	00:00:18	なんたら	おいしい煮玉子	
66	00:00:19	eve	おいしい煮玉子	
67	00:00:27	カギアカギ	おいしい煮玉子	
68	00:00:27	近藤亮	おいしい煮玉子	
69	00:00:27	motiyomogi	おいしい煮玉子	
70	00:00:27	タケノコ男	おいしい煮玉子	
71	00:00:29	パンセポンセ	おいしい煮玉子	
72	00:00:32	御早和杯	おいしい煮玉子	
73	00:00:32	リフェ	おいしい煮玉子	
74	00:00:45	ゴギガガガギゴ	おいしい煮玉子	
75	00:00:48	Eトマト	おいしい煮玉子	
76	00:00:49	クロム	おいしい煮玉子	
77	00:00:50	なんたら	声小さい？	
78	00:01:01	eve	声小さいかな	
79	00:01:13	mori mori	もしくはBGMが大きい	
80	00:01:19	タケノコ男	かわいい	
81	00:01:20	らうらう	かわいい	
82	00:01:32	らうらう	いいかんじ	
83	00:01:37	mori mori	とてもかわいい	
84	00:01:40	eve	よくなった	
85	00:01:44	タケノコ男	大丈夫と思う	
86	00:01:45	motiyomogi	おっけー	
87	00:01:45	ジャック・オー	おｋ	
88	00:01:48	八木谷	いい感じ	
89	00:02:02	らうらう	えらい	
90	00:02:19	motiyomogi	がんばってほしい。	
91	00:02:23	mori mori	ｶﾞﾝﾊﾞｯﾃ	
92	00:02:26	ジャック・オー	えらい	
93	00:02:32	タケノコ男	えらい	
94	00:02:39	eve	姉ちゃんえらい	
95	00:02:46	なんたら	ありがたい	
96	00:02:46	らうらう	カラスくんかわいそう	
97	00:02:52	近藤亮	ありがたい	
98	00:02:58	ジャック・オー	こんなファンシーな村出身なのかー	
99	00:03:56	なんたら	ちょっとざらついてる気がするけどわからん	
100	00:05:59	mori mori	微妙なミニゲーム草	
