行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	#10で丁度おまけなの切りが良いな。高評価！	
1	00:00:00	あまいさい	おいしい煮玉子!	
2	00:00:06	aoringo	おいしい煮玉子	
3	00:00:10	らうらう	おいたま	
4	00:00:15	なんたら	おいしい煮玉子	
5	00:00:15	あい	おいしい煮玉子	
6	00:00:16	周恩来	おいしい煮玉子	
7	00:00:18	うぇいのる	おいしい煮玉子	
8	00:00:19	ふじ	おいしい煮玉子	
9	00:00:19	ジョナサン・グレーン	おいたま〜	
10	00:00:20	なる	おいしい煮玉子	
11	00:00:21	べるべる	おいしい煮玉子	
12	00:00:22	ふかちゃんチャンネル	美味しい煮玉子	
13	00:00:24	りこった	おいたま	
14	00:00:25	タケノコ男	おいしい煮玉子	
15	00:00:25	Garden	おいしい煮玉子	
16	00:00:25	御早和杯	おいしい煮玉子	
17	00:00:26	暁刹那	おいたま	
18	00:00:27	肉赤子ちゃんPB	おいしいだえき	
19	00:00:32	ゴギガガガギゴ	おいたま	
20	00:00:34	ほるもん	おいしいにたまご	
21	00:00:35	mori mori	おは	
22	00:00:35	スモーク	おいたま	
23	00:00:48	うぇいのる	やったー	
24	00:00:52	明日ガンバ郎	おいしい煮玉子	
25	00:01:02	あっがい	おいしい煮玉子	
26	00:01:04	肉赤子ちゃんPB	ポケモンリーグのアフターケアはボロボロ	
27	00:01:14	周恩来	関係ねえ倒してえ	
28	00:01:14	オトナリさん家	ひんしのまま帰されるでんどういりメンバー	
29	00:01:16	ヌルヌペペ	おいたま	
30	00:01:20	_ Die	おいしい煮玉子	
31	00:01:22	ふじ	VCの赤で並走してみてたけど途中から全然追いつけそうになかったから姉ちゃんのサカキ戦あたりから観るのに集中してたわ	
32	00:01:23	ねこくーる	おいしい煮玉子	
33	00:01:26	はるにれ	おいしい煮玉子	
34	00:01:35	ブロア	おいしい煮玉子	
35	00:01:39	プラスワン	おいしい煮玉子	
36	00:01:44	草ぺんぺん	ミュウスリーだっピ！	
37	00:01:51	肉赤子ちゃんPB	リーグで活躍できなかっためんつゆにトップ張ってもらうか	
38	00:02:00	なんたら	すぐパソコンいじるインキャ	
39	00:02:00	ふかちゃんチャンネル	ハナダの洞窟って野生ポケモン何レベだっけ？	
40	00:02:09	タケノコ男	熱い	
41	00:02:12	りこった	モンスターボールなのか…	
42	00:02:13	明日ガンバ郎	ミュウツーおまえにきめた！	
43	00:02:15	竹本カキフライ	おっとなー！	
44	00:02:15	肉赤子ちゃんPB	豪遊！！	
45	00:02:23	うぇいのる	熱い	
46	00:02:24	周恩来	サムネは差し替えられるからまあ…	
47	00:02:36	なる	ミュウツーで10匹目？	
48	00:02:47	_ Die	こいつをミュウツーにささげるかぁ	
49	00:02:52	あい	11匹目かな	
50	00:02:57	たんこぶ	初めてモンスターボール投げるのがミュウツーは笑う	
51	00:03:14	竹本カキフライ	ポケモンは11匹いる！	
