行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	なんたら	明日のクゥ姉は12時開始だからそれと間違えたんじゃないか	
1	00:00:00	10あああ	おいしい煮玉子	
2	00:00:00	キューだえもん	バーチャル時間はリアル時間と違うから…	
3	00:00:00	岸辺一徳	うっかり姉ちゃんかわいい	
4	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	こみこ	おいしい煮玉子	
7	00:00:00	岸辺一徳	おいしい煮玉子	
8	00:00:00	なんたら	おいしい煮玉子	
9	00:00:00	じょーげん	おいしい煮玉子	
10	00:00:00	Eトマト	おいしい煮玉子	
11	00:00:00	eve	おいしい煮玉子	
12	00:00:00	らうらう	遅刻では？	
13	00:00:00	Eトマト	寝ちゃった？	
14	00:00:00	T.のかね	おいしい煮玉子	
15	00:00:00	なんたら	寝るのは楽しいからな…	
16	00:00:15	タケノコ男	おいしい煮玉子	
17	00:00:18	じょーげん	おいしい煮玉子	
18	00:00:19	Eトマト	おいしい煮玉子！	
19	00:00:26	ふーばー	おいしい煮玉子	
20	00:00:28	らうらう	おいしい煮玉子	
21	00:00:29	あい	おいしい煮玉子	
22	00:00:31	岸辺一徳	おいしい煮玉子	
23	00:00:31	Eトマト	寝ては居なかった	
24	00:00:32	こみこ	煮玉子ファング	
25	00:00:34	なんたら	おいしい煮玉子	
26	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
27	00:00:45	助六	おいしい煮玉子	
28	00:00:52	aarar scsrt	おいしい煮玉子	
29	00:00:53	たんこぶ	こんにちはー	
30	00:01:00	ジョナサン・グレーン	おいしい煮玉子	
31	00:01:09	mori mori	はじまたまご	
32	00:01:14	味付けタマゴ	おいしい煮玉子	
33	00:01:16	むらさきあんこ	おいしい煮玉子	
34	00:01:19	タケノコ男	かわいい	
35	00:01:24	Fuzuki K	おいしい煮玉子	
36	00:01:25	らうらう	かわいい！	
37	00:01:27	T.のかね	かわいい	
38	00:01:28	岸辺一徳	かわいい	
39	00:01:28	みてるぞ	おいしい煮玉子・ファング	
40	00:01:29	あい	かわいい	
41	00:01:30	こみこ	AA化不可避	
42	00:01:31	ジョナサン・グレーン	かわいい	
43	00:01:37	Eトマト	ｻﾝﾚﾝﾀﾞｧ!	
44	00:01:38	eve	かわいい	
45	00:01:38	タケノコ男	おいしい煮玉子ファング	
46	00:01:40	なんたら	目好き	
47	00:01:46	みつはちみつ	おいしい煮玉子	
48	00:01:58	匿名希望	姉ちゃんの姉ちゃん	
49	00:01:59	Fuzuki K	大姉ちゃんが衣服を纏ってるってだけでなんかおもしろい	
50	00:02:27	Eトマト	主人公が可哀想シリーズ	
51	00:02:35	こみこ	カペルくんの運命やいかに	
52	00:02:38	Fuzuki K	我！？	
53	00:02:42	T.のかね	かわいい	
54	00:02:46	近藤大輔	一人称ワレなの？	
55	00:02:47	Eトマト	実質クゥ＆ルゥチャンネル	
56	00:02:50	ふーばー	とうとつなBBA属性！	
57	00:02:55	みつはちみつ	なんやワレェ！	
58	00:03:04	ジョナサン・グレーン	カペルくんがひたすらかわいそうだった前回	
59	00:03:27	らうらう	ゾーパー家我流行ってるのか	
60	00:03:31	こみこ	広大なマップ！個性豊かな登場人物たち！	
61	00:03:34	なんたら	人違いなんですけど…	
62	00:03:34	Eトマト	カペルくんは救われるのだろうか	
63	00:03:43	近藤大輔	ニートの大冒険	
64	00:03:50	みてるぞ	前回まではテイルズやスタオーのストーリーのアレなところを凝縮したような話だったが今回はいかに	
65	00:03:51	Eトマト	親のスネかじってないから…	
66	00:00:00	なんたら	明日のクゥ姉は12時開始だからそれと間違えたんじゃないか	
67	00:00:00	10あああ	おいしい煮玉子	
68	00:00:00	キューだえもん	バーチャル時間はリアル時間と違うから…	
69	00:00:00	岸辺一徳	うっかり姉ちゃんかわいい	
70	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
71	00:00:00	らうらう	おいしい煮玉子	
72	00:00:00	こみこ	おいしい煮玉子	
73	00:00:00	岸辺一徳	おいしい煮玉子	
74	00:00:00	なんたら	おいしい煮玉子	
75	00:00:00	じょーげん	おいしい煮玉子	
76	00:00:00	Eトマト	おいしい煮玉子	
77	00:00:00	eve	おいしい煮玉子	
78	00:00:00	らうらう	遅刻では？	
79	00:00:00	Eトマト	寝ちゃった？	
80	00:00:00	T.のかね	おいしい煮玉子	
81	00:00:00	なんたら	寝るのは楽しいからな…	
82	00:00:15	タケノコ男	おいしい煮玉子	
83	00:00:18	じょーげん	おいしい煮玉子	
84	00:00:19	Eトマト	おいしい煮玉子！	
85	00:00:26	ふーばー	おいしい煮玉子	
86	00:00:28	らうらう	おいしい煮玉子	
87	00:00:29	あい	おいしい煮玉子	
88	00:00:31	岸辺一徳	おいしい煮玉子	
89	00:00:31	Eトマト	寝ては居なかった	
90	00:00:32	こみこ	煮玉子ファング	
91	00:00:34	なんたら	おいしい煮玉子	
92	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
93	00:00:45	助六	おいしい煮玉子	
94	00:00:52	aarar scsrt	おいしい煮玉子	
95	00:00:53	たんこぶ	こんにちはー	
96	00:01:00	ジョナサン・グレーン	おいしい煮玉子	
97	00:01:09	mori mori	はじまたまご	
98	00:01:14	味付けタマゴ	おいしい煮玉子	
99	00:01:16	むらさきあんこ	おいしい煮玉子	
100	00:01:19	タケノコ男	かわいい	
101	00:01:24	Fuzuki K	おいしい煮玉子	
102	00:01:25	らうらう	かわいい！	
103	00:01:27	T.のかね	かわいい	
104	00:01:28	岸辺一徳	かわいい	
105	00:01:28	みてるぞ	おいしい煮玉子・ファング	
106	00:01:29	あい	かわいい	
107	00:01:30	こみこ	AA化不可避	
108	00:01:31	ジョナサン・グレーン	かわいい	
109	00:01:37	Eトマト	ｻﾝﾚﾝﾀﾞｧ!	
110	00:01:38	eve	かわいい	
111	00:01:38	タケノコ男	おいしい煮玉子ファング	
112	00:01:40	なんたら	目好き	
113	00:01:46	みつはちみつ	おいしい煮玉子	
114	00:01:58	匿名希望	姉ちゃんの姉ちゃん	
