行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	子のし	
1	00:00:00	クゥの部屋 Ch	いまいましい子	
2	00:00:00	JUNY	かなしい	
3	00:00:00	のねずみ	いまいましい子	
4	00:00:00	クゥの部屋 Ch	しのお	
5	00:00:00	パンセポンセ	こわい	
6	00:00:00	マイフェイバリットトリビアン	しなないで	
7	00:00:00	らうらう	まじ	
8	00:00:00	竹輪	生きて	
9	00:00:00	弐号。あくじき	姉ちゃん…	
10	00:00:00	タケノコ男	いきて	
11	00:00:00	_ Die	しなないで	
12	00:00:00	桜田紅	いきて	
13	00:00:00	プッ	いきて	
14	00:00:00	リフェ	いきて	
15	00:00:00	JUNY	いきて	
16	00:00:00	ねこくーる	いきて	
17	00:00:00	近藤大輔	開始前からヤバそうな空気だ	
18	00:00:00	motiyomogi	しなないで	
19	00:00:00	パンセポンセ	#生きろ	
20	00:00:00	Yohsuke	大丈夫か	
21	00:00:00	ホワイトラン衛兵	しなないで	
22	00:00:00	スモーク	おいしい煮玉子	
23	00:00:00	弐号。あくじき	久々にリアタイうれしい、しなないで	
24	00:00:00	mk 95	しなないで	
25	00:00:00	ジャック・オー	間に合った、しなないで	
26	00:00:00	岸辺一徳	しなないで……	
27	00:00:00	小さい胡麻塩	しなないで	
28	00:00:00	Redmix	いまきた、しなないで	
29	00:00:00	のねずみ		￥1,000
30	00:00:12	岸辺一徳	おいしい煮玉子	
31	00:00:20	のねずみ	おいしい煮玉子	
32	00:00:20	竹輪	おいしい煮玉子	
33	00:00:20	桜田紅	おいしい煮玉子	
34	00:00:20	らうらう	おいしい煮玉子	
35	00:00:22	ホワイトラン衛兵	おいしい煮玉子	
36	00:00:23	mk 95	nice煮玉子	
37	00:00:23	カギカギ	おいしい煮玉子	
38	00:00:23	mori mori	おつ	
39	00:00:24	リフェ	おいしい煮玉子	
40	00:00:25	JUNY	おいしい煮玉子	
41	00:00:26	_ Die	おいしい煮玉子	
42	00:00:27	sio3go	おいしい煮玉子	
43	00:00:28	Shota Hamada	おいしい煮玉子	
44	00:00:28	Redmix	おいしい煮玉子	
45	00:00:29	Ryo Kamiya	おいしい煮玉子	
46	00:00:29	弐号。あくじき	おいしい煮玉子	
47	00:00:30	マイフェイバリットトリビアン	おいしい煮玉子	
48	00:00:31	小さい胡麻塩	美味しい煮玉子	
49	00:00:36	竹輪	かわいい	
50	00:00:38	3s	誠4ねぇぇぇぇ！	
51	00:00:38	べるべる	おいしい煮玉子	
52	00:00:39	ねこくーる	おいしい煮玉子	
53	00:00:41	mori mori	そもそも今日中に終わるの？	
54	00:00:43	ジャック・オー	おいしい煮玉子　	
55	00:00:44	せせらぎ	PS2版かぁ...	
56	00:00:45	タケノコ男	おいしい煮玉子	
57	00:00:47	リフェ	なつかしい	
58	00:00:57	らうらう	テクぼうのとこ見きれてない？？	
59	00:00:58	天然ステルス	原作側から名指しで黒歴史認定されてるやつ	
60	00:01:03	竹輪	ハッピーな感じのね	
61	00:01:09	マイフェイバリットトリビアン	貧血バージョン	
62	00:01:09	岸辺一徳	多分ハートフルなギャルゲーなんだろうな	
63	00:01:10	りあすて	おいしい煮玉子	
64	00:01:10	近藤大輔	チャット小さくない？気のせいかな	
65	00:01:16	八木谷	おいしい煮玉子	
66	00:01:24	ヘンリーダーガー	おいしい煮玉子	
67	00:01:26	天然ステルス	例の橋だ	
68	00:01:30	のねずみ	アニメなんだ	
69	00:01:33	D W	おいしい煮玉子	
70	00:01:36	らうらう	全体的に見切れ気味	
71	00:01:39	motiyomogi	アニメすごい	
72	00:01:42	竹輪	すごい	
73	00:01:42	たろうずり	おいしい煮玉子	
74	00:01:47	biki koto	おいしい煮玉子	
75	00:01:49	Shota Hamada	nice boatなしか～	
76	00:01:56	JUNY	ちっちゃくなっちゃった！	
77	00:02:19	sas b	全年齢版だからJCでも安心	
78	00:02:20	竹輪	がさごそかわいい	
79	00:00:00	クゥの部屋 Ch	子のし	
80	00:00:00	クゥの部屋 Ch	いまいましい子	
81	00:00:00	JUNY	かなしい	
82	00:00:00	のねずみ	いまいましい子	
83	00:00:00	クゥの部屋 Ch	しのお	
84	00:00:00	パンセポンセ	こわい	
85	00:00:00	マイフェイバリットトリビアン	しなないで	
86	00:00:00	らうらう	まじ	
87	00:00:00	竹輪	生きて	
88	00:00:00	弐号。あくじき	姉ちゃん…	
89	00:00:00	タケノコ男	いきて	
90	00:00:00	_ Die	しなないで	
91	00:00:00	桜田紅	いきて	
92	00:00:00	プッ	いきて	
93	00:00:00	リフェ	いきて	
94	00:00:00	JUNY	いきて	
95	00:00:00	ねこくーる	いきて	
96	00:00:00	近藤大輔	開始前からヤバそうな空気だ	
97	00:00:00	motiyomogi	しなないで	
