行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	おいたま！	
1	00:00:00	_ Tamaya	おいしい煮玉子	
2	00:00:00	天然ステルス	おいしい煮玉子	
3	00:00:00	竹輪	おいたま〜	
4	00:00:00	motiyomogi	おいしい煮玉子	
5	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
6	00:00:17	らうらう	おぼうしが！	
7	00:00:20	らうらう	おいしいにたまご	
8	00:00:21	mori mori	草	
9	00:00:23	タケノコ男	おいしい煮玉子	
10	00:00:23	ジョナサン・グレーン	おいしい煮玉子	
11	00:00:32	motiyomogi	弟作の帽子かぶっとる	
12	00:00:37	ジョナサン・グレーン	ブラック千年帽子だ！	
13	00:00:39	タケノコ男	ハロウィン仕様だ！	
14	00:00:48	むらさきあんこ	おいしい煮玉子	
15	00:00:51	ジャック・オー	おいしい煮玉子	
16	00:00:52	しろいぬ	おいしい煮玉子	
17	00:00:52	_ Tamaya	ハロウィンあじあるね	
18	00:00:53	竹輪	おいしい煮玉子〜 すごい！	
19	00:00:54	MrTama02	美味しい煮玉子	
20	00:00:54	ミワタリ	おいしい煮玉子	
21	00:00:55	むらさきあんこ	帽子がすごい！？	
22	00:00:57	らうらう	かわいい	
23	00:00:58	究極ド根性ダイコン	ハロウィン仕様かー	
24	00:01:13	T.のかね	おいしい煮玉子！かわいい！	
25	00:01:13	スモーク	ハロウィン仕様！？	
26	00:01:14	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ 凄い～(゜ロ゜)	
27	00:01:30	Garden	おいしい煮玉子	
28	00:01:36	ジャック・オー	🔩　	
29	00:01:46	しれちゅー	おいしい煮玉子！	
30	00:01:47	べるべる	おいしい煮玉子	
31	00:01:52	カギアカギ	おいしい煮玉子	
32	00:01:56	むらさきあんこ	後でこの帽子かぶってる写真も上げて欲しい！	
33	00:01:58	mussaOren	おいしい煮玉子～	
34	00:01:59	imo	おいしい煮玉子	
35	00:02:01	_ Die	おいしい煮玉子	
36	00:02:08	タケノコ男	かわいい！	
37	00:02:17	りあすて	おいしい煮玉子	
38	00:02:20	ねこくーる	おいしい煮玉子	
39	00:02:25	月夜	おいしい煮玉子	
40	00:02:28	防波亭土左衛門	姉ちゃん可愛い	
41	00:02:28	タケノコ男	今のほうがいいかな	
42	00:02:28	T.のかね	中間ないの？	
43	00:02:29	らうらう	こっちのが質感よさげ	
44	00:02:35	たんこぶ	明るいのかわいい	
45	00:02:36	Eトマト	おいしい煮玉子	
46	00:02:41	ジョナサン・グレーン	かわいい	
47	00:02:44	究極ド根性ダイコン	こっちのがいいかな	
48	00:02:44	むらさきあんこ	こっちのほうが柄がわかりやすい	
49	00:02:44	竹輪	かわいい	
50	00:02:51	ωひがほん	おいしい煮玉子	
51	00:02:53	クイニーのいえ	おいしい煮玉子	
52	00:02:54	_ Die	かわいい	
53	00:02:55	Eトマト	おっハロウィン帽子だ！	
54	00:03:19	究極ド根性ダイコン	エグい	
55	00:03:20	しれちゅー	かわいいなぁ…	
56	00:00:00	スモーク	おいたま！	
57	00:00:00	_ Tamaya	おいしい煮玉子	
58	00:00:00	天然ステルス	おいしい煮玉子	
59	00:00:00	竹輪	おいたま〜	
60	00:00:00	motiyomogi	おいしい煮玉子	
61	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
62	00:00:17	らうらう	おぼうしが！	
63	00:00:20	らうらう	おいしいにたまご	
64	00:00:21	mori mori	草	
65	00:00:23	タケノコ男	おいしい煮玉子	
66	00:00:23	ジョナサン・グレーン	おいしい煮玉子	
67	00:00:32	motiyomogi	弟作の帽子かぶっとる	
68	00:00:37	ジョナサン・グレーン	ブラック千年帽子だ！	
69	00:00:39	タケノコ男	ハロウィン仕様だ！	
70	00:00:48	むらさきあんこ	おいしい煮玉子	
71	00:00:51	ジャック・オー	おいしい煮玉子	
72	00:00:52	しろいぬ	おいしい煮玉子	
73	00:00:52	_ Tamaya	ハロウィンあじあるね	
74	00:00:53	竹輪	おいしい煮玉子〜 すごい！	
75	00:00:54	MrTama02	美味しい煮玉子	
76	00:00:54	ミワタリ	おいしい煮玉子	
77	00:00:55	むらさきあんこ	帽子がすごい！？	
