行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	タケノコ男	おつちゅっちゅ♥️	
1	00:00:00	Johnny Lattarulo	what's happening? the live is over or is the my connection?	
2	00:00:00	Johnny Lattarulo	I think the live is over	
3	00:00:00	なんたら	live is over, but will begin stream at 3:30 JST	
4	00:00:00	Johnny Lattarulo	ok	
5	00:00:00	弐号。あくじき	Next Sonic Adventure 2.	
6	00:00:00	Johnny Lattarulo	cool! but will be hard for Takuya 😂😂	
7	00:00:00	弐号。あくじき	おいしい煮玉子	
8	00:00:00	味付けタマゴ	おいしい煮玉子	
9	00:00:00	biggs	おいしい煮玉子	
10	00:00:00	aa aa	おいしい煮玉子	
11	00:00:00	カーマイン	お疲れ様姉ちゃん	￥1,200
12	00:00:19	ミワタリ	おいしい煮玉子	
13	00:00:21	天然ステルス	おいしい煮玉子	
14	00:00:24	にけい	おいしい煮玉子	
15	00:00:26	まておりっち	おいしい煮玉子	
16	00:00:27	eve	おいしい煮玉子	
17	00:00:29	SARAMI	おいしい煮玉子	
18	00:00:30	御早和杯	おいしい煮玉子	
19	00:00:33	味付けタマゴ	おいしい煮玉子	
20	00:00:35	弐号。あくじき	おいたまー	
21	00:00:39	なんたら	ゲーム音入ってる？	
22	00:00:40	クロムア	おいしい煮玉子！	
23	00:00:45	にけい	ゲーム音でてない	
24	00:00:46	いぶきんぐ	おいしい煮玉子	
25	00:00:46	りあすて	おいしい煮玉子	
26	00:00:48	ジュンペイ	おいしい煮玉子	
27	00:00:49	らうらう	おいしい煮玉子	
28	00:00:51	くーねる	おいしい煮玉子	
29	00:00:57	Cランサー	おいしい煮卵 こんな夜中に配信とは、しかもソニアド２だああああ！！	
30	00:00:57	EEB	おいしい煮玉子	
31	00:01:01	いぶきんぐ	出てないね	
32	00:01:02	くーねる	きこえぬ	
33	00:01:03	パンセポンセ	おいしい煮玉子	
34	00:01:08	御早和杯	今日は仕事じゃ、グフフ	
35	00:01:09	なんたら	爆音注意	
36	00:01:25	らうらう	警告たすかる	
37	00:01:28	天然ステルス	バトルDLCは入れてないのね	
38	00:01:45	白雪	おいしい煮玉子 カラテは無しか	
39	00:01:49	T.のかね	おいしい煮玉子	
40	00:02:11	くーねる	おときた	
41	00:02:12	ジュンペイ	ﾃﾞﾀｰ	
42	00:02:13	御早和杯	一瞬出た	
43	00:02:14	味付けタマゴ	鼓膜変える	
44	00:02:18	なんたら	姉ちゃんドコー	
45	00:02:29	弐号。あくじき	タイトルにプラスないけどソニアド２プラスベースなのね	
46	00:02:43	くーねる	でもタイトル画面の音来てない	
47	00:02:51	T.のかね	でてない	
48	00:02:52	天然ステルス	出てない	
49	00:02:55	なんたら	今は出てなくない？	
50	00:02:55	ジュンペイ	出てない	
51	00:02:57	弐号。あくじき	出てない	
52	00:03:04	味付けタマゴ	なつかしい	
53	00:03:05	らうらう	でた	
54	00:03:06	天然ステルス	聞こえる	
55	00:03:06	くーねる	きた	
56	00:03:06	なんたら	来た	
57	00:03:07	にけい	きた	
58	00:03:07	クロムア	きた	
59	00:03:08	ジュンペイ	オッケー！	
60	00:03:08	御早和杯	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
61	00:00:00	タケノコ男	おつちゅっちゅ♥️	
