行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	いぶきんぐ	おつたまー	
1	00:00:00	biki koto	おつ	
2	00:00:20	ほるもん	おいしい煮玉子	
3	00:00:23	motiyomogi	おいしい煮玉子	
4	00:00:23	らうらう	おいしいおみず	
5	00:00:24	ねこくーる	おいしい煮玉子	
6	00:00:28	ふーばー	おいしい煮玉子	
7	00:00:29	あい	おいしい煮玉子	
8	00:00:33	ああ	おいしい煮玉子	
9	00:00:34	いぶきんぐ	おいしい煮玉子	
10	00:00:34	タケノコ男	おいしい煮玉子	
11	00:00:34	ジョナサン・グレーン	おいしい煮玉子	
12	00:00:36	竹輪	おいしい煮玉子	
13	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
14	00:00:40	ヘンリーダーガー	おいしい煮玉子	
15	00:00:42	mori mori	こんばんは	
16	00:00:45	ジャック・オー	おいしい煮玉子	
17	00:00:51	ろりはるこん	おいしい煮玉子	
18	00:00:52	りあすて	おいしい煮玉子	
19	00:00:52	内海柚	おいしい煮玉子	
20	00:02:34	スモーク	おいしい煮玉子	
21	00:02:48	mori mori	草	
22	00:03:36	ねこくーる	９９だいぶ長そう	
23	00:04:04	毒入りトマト	おいしい煮卵、もうすぐ初心者大会ですねー	
24	00:04:38	毒入りトマト	２０時開始	
25	00:04:42	スモーク	そういえば今日からなのか	
26	00:04:53	らうらう	姉ちゃん勝てるかな…	
27	00:05:02	近藤亮	おいしい煮玉子	
28	00:05:06	うぇいのる	おいしい煮玉子	
29	00:05:53	毒入りトマト	それはコメランで大乱闘おきる	
30	00:06:12	mori mori	複数日開催なんだ	
31	00:06:17	陰キャバス竹中	姉ちゃんまだやってた	
32	00:07:20	陰キャバス竹中	めっさ威力あがってる	
33	00:07:55	竹輪	レベルもすごい高い	
34	00:08:33	mori mori	前ここでボス倒したときは1万くらいだったから約二倍くらいダメージ増えてるね	
35	00:08:59	スモーク	ダンシングラプソディーはリストラされちまったんだ	
36	00:09:21	ねこくーる	当たり前のように通常攻撃で５０００近くでてる	
37	00:11:02	陰キャバス竹中	クゥ姉ちゃんに乱獲されたワンリキーの群れ	
38	00:11:51	スモーク	ロカちゃんわりと危ういな	
39	00:13:29	eve	おいしい煮玉子	
40	00:14:00	究極ド根性ダイコン	占拠済	
41	00:14:08	JUNY	おいしい煮玉子。ごはん食べた？	
42	00:14:17	エビルK・K	今北産業	
43	00:14:41	究極ド根性ダイコン	無双ゲーばりの蹴散らしっぷり	
44	00:14:43	ねこくーる	集団にも強くなってる	
45	00:14:50	ナウ	おいしい煮玉子	
46	00:15:22	陰キャバス竹中	飛び上がりの時スーパーアーマーついてるっぽいしね	
47	00:16:48	TETECHU QAN[T]てて中毒クアンタ	ルゥちゃん、こんばんは。	
48	00:18:46	スモーク	海が見えないとどこが海岸線やら…	
49	00:19:52	mori mori	人間ミサイルみたい	
50	00:19:53	スモーク	草	
51	00:00:00	いぶきんぐ	おつたまー	
52	00:00:00	biki koto	おつ	
53	00:00:20	ほるもん	おいしい煮玉子	
54	00:00:23	motiyomogi	おいしい煮玉子	
55	00:00:23	らうらう	おいしいおみず	
56	00:00:24	ねこくーる	おいしい煮玉子	
57	00:00:28	ふーばー	おいしい煮玉子	
58	00:00:29	あい	おいしい煮玉子	
59	00:00:33	ああ	おいしい煮玉子	
60	00:00:34	いぶきんぐ	おいしい煮玉子	
61	00:00:34	タケノコ男	おいしい煮玉子	
62	00:00:34	ジョナサン・グレーン	おいしい煮玉子	
63	00:00:36	竹輪	おいしい煮玉子	
64	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
65	00:00:40	ヘンリーダーガー	おいしい煮玉子	
66	00:00:42	mori mori	こんばんは	
67	00:00:45	ジャック・オー	おいしい煮玉子	
68	00:00:51	ろりはるこん	おいしい煮玉子	
69	00:00:52	りあすて	おいしい煮玉子	
70	00:00:52	内海柚	おいしい煮玉子	
71	00:02:34	スモーク	おいしい煮玉子	
72	00:02:48	mori mori	草	
73	00:03:36	ねこくーる	９９だいぶ長そう	
74	00:04:04	毒入りトマト	おいしい煮卵、もうすぐ初心者大会ですねー	
75	00:04:38	毒入りトマト	２０時開始	
76	00:04:42	スモーク	そういえば今日からなのか	
77	00:04:53	らうらう	姉ちゃん勝てるかな…	
78	00:05:02	近藤亮	おいしい煮玉子	
79	00:05:06	うぇいのる	おいしい煮玉子	
80	00:05:53	毒入りトマト	それはコメランで大乱闘おきる	
81	00:06:12	mori mori	複数日開催なんだ	
82	00:06:12	rM233g	おいしい煮玉子	
83	00:06:17	陰キャバス竹中	姉ちゃんまだやってた	
84	00:07:20	陰キャバス竹中	めっさ威力あがってる	
85	00:07:55	竹輪	レベルもすごい高い	
86	00:08:33	mori mori	前ここでボス倒したときは1万くらいだったから約二倍くらいダメージ増えてるね	
87	00:08:59	スモーク	ダンシングラプソディーはリストラされちまったんだ	
88	00:09:21	ねこくーる	当たり前のように通常攻撃で５０００近くでてる	
89	00:11:02	陰キャバス竹中	クゥ姉ちゃんに乱獲されたワンリキーの群れ	
90	00:11:51	スモーク	ロカちゃんわりと危ういな	
91	00:13:29	eve	おいしい煮玉子	
92	00:14:00	究極ド根性ダイコン	占拠済	
93	00:14:08	JUNY	おいしい煮玉子。ごはん食べた？	
94	00:14:17	エビルK・K	今北産業	
95	00:14:41	究極ド根性ダイコン	無双ゲーばりの蹴散らしっぷり	
96	00:14:43	ねこくーる	集団にも強くなってる	
97	00:14:50	ナウ	おいしい煮玉子	
98	00:15:22	陰キャバス竹中	飛び上がりの時スーパーアーマーついてるっぽいしね	
99	00:16:48	TETECHU QAN[T]てて中毒クアンタ	ルゥちゃん、こんばんは。	
100	00:18:46	スモーク	海が見えないとどこが海岸線やら…	
101	00:19:52	mori mori	人間ミサイルみたい	
102	00:19:53	スモーク	草	
103	00:20:31	究極ド根性ダイコン	ドッジボールしなきゃ…	
104	00:20:39	陰キャバス竹中	世界に３枚しか存在しないんだぜ	
105	00:20:59	タケノコ男	ゴレイヌすき	
106	00:21:01	りあすて	ホワイトテク坊とブラックテク坊	
107	00:21:17	うぇいのる	強すぎるよね…	
108	00:21:23	陰キャバス竹中	まずはゴリラを具現化するとこから始めそう	
109	00:21:28	らうらう	ダメージ草	
110	00:21:41	motiyomogi	つよい	
111	00:21:43	近藤亮	つよい	
112	00:21:44	うぇいのる	つっよ	
113	00:21:45	竹輪	つよすぎる	
114	00:21:46	陰キャバス竹中	１０万！	
115	00:21:47	タケノコ男	つよい	
116	00:21:54	りあすて	ダメージがデカすぎる	
117	00:21:55	mori mori	つよい	
118	00:21:56	motiyomogi	やったね	
119	00:21:59	スモーク	つっよ	
120	00:22:18	JUNY	ﾄｩｰｱ	
121	00:23:30	陰キャバス竹中	イセリアの前にガブリエもおるんやなって	
122	00:24:14	mori mori	ほんとに珍しくて草	
123	00:24:17	陰キャバス竹中	有情	
124	00:24:33	ねこくーる	けっこうレベルアップ早いね	
125	00:25:11	陰キャバス竹中	エンマちゃんここでもおるんか	
126	00:25:35	竹輪	雨ガチャ	
127	00:25:47	mori mori	発狂しない味方を連れて行こう	
128	00:26:10	陰キャバス竹中	５０連してもカーリンでなさそう	
129	00:26:43	陰キャバス竹中	僕です（半ギレ）	
130	00:26:59	カギカギ	無心でインゴまわそ？	
131	00:27:38	竹輪	あっ	
132	00:27:39	うぇいのる	ぐえー	
133	00:27:50	陰キャバス竹中	ぐえー	
134	00:27:52	ねこくーる	マンドラゴラちゃん？	
135	00:27:54	スモーク	ひどい不意打ちｗ	
136	00:27:56	eve	なかなか凶悪	
137	00:29:20	eve	ついにカペルくんが80レベルに	
138	00:30:45	スモーク	空から芸人が…！	
139	00:31:43	竹輪	マップ広いなぁ	
140	00:31:59	JUNY	アーヤ…	
141	00:32:04	eve	マップ使えなくなるのひどいね	
142	00:32:31	タケノコ男	陰湿だ...	
143	00:32:35	ねこくーる	隠れてるダンジョンだもんね	
144	00:32:38	うぇいのる	草	
145	00:32:41	スモーク	あー右上のマップも無いんだ…	
146	00:33:06	うぇいのる	世界樹みたいなものか…	
147	00:33:12	竹輪	大変だ…	
148	00:33:12	らうらう	かわいい	
149	00:33:15	スモーク	降ってきたｗ	
150	00:33:20	ねこくーる	ここで雨はやばい	
151	00:34:10	eve	的が大きいからよく当たる	
152	00:34:11	らうらう	つよい	
153	00:34:11	motiyomogi	やったね	
154	00:34:13	タケノコ男	つよい	
155	00:34:14	スモーク	やったね	
156	00:34:49	究極ド根性ダイコン	タイムリミットがヤバい	
157	00:34:52	ねこくーる	実質時間制限だもんね	
158	00:35:19	うぇいのる	がんばえー	
159	00:35:24	motiyomogi	やばい	
160	00:35:27	タケノコ男	あかん	
161	00:35:30	mori mori	草	
162	00:35:31	らうらう	あ	
163	00:35:33	らうらう	草	
164	00:35:34	りあすて	石END	
165	00:35:34	eve	やばいやばい	
166	00:35:34	陰キャバス竹中	ぐえー	
167	00:35:34	竹輪	ああああ	
168	00:35:34	究極ド根性ダイコン	あっ	
169	00:35:39	motiyomogi	草	
170	00:35:39	タケノコ男	あああああああ	
171	00:35:39	近藤亮	ああ…	
172	00:35:41	スモーク	あああ	
173	00:35:43	うぇいのる	おおう…	
174	00:35:43	mori mori	強化とは何だったのか	
175	00:35:44	JUNY	石化は特殊過ぎた	
176	00:35:45	御早和杯	死～ん	
177	00:35:47	ねこくーる	きつい	
178	00:35:49	にけい	きつい	
179	00:35:51	竹輪	むっず	
180	00:35:51	りあすて	かわいそう	
181	00:35:51	motiyomogi	石化フェチ歓喜	
182	00:35:53	ああ	なるほどなあ	
183	00:35:55	らうらう	レベルが・・・・・・・・・・	
184	00:35:57	eve	つらい...	
185	00:36:03	近藤亮	つらい	
186	00:36:44	JUNY	そうかセーブ…	
187	00:37:01	eve	イヤ！	
188	00:37:35	じょーげん	おいしい煮玉子	
189	00:37:43	にけい	あせって突っ走るとやっぱり危険	
190	00:38:41	スモーク	雨はこまめにお薬キメないとね	
191	00:40:52	eve	ルゥ姉ちゃんは登山するの？	
192	00:40:57	陰キャバス竹中	たのしい雑談	
193	00:41:40	ねこくーる	海に行ってそう	
194	00:41:49	らうらう	姉ちゃん…	
195	00:41:53	りあすて	水着・・・	
196	00:41:53	mori mori	かなしいなあ	
197	00:42:27	JUNY	海に行くって言って市民プールに行ってそう	
198	00:42:40	スモーク	ボスよりモブの方が強いな…	
199	00:43:21	ねこくーる	モブは集団でかかってくる上に状態異常もち多い	
200	00:44:59	スモーク	あー装備取ったんだった	
201	00:45:02	ねこくーる	せめてマップあればなぁ	
202	00:47:23	スモーク	さくさく	
203	00:49:00	陰キャバス竹中	８万！	
204	00:49:21	ねこくーる	レベルもだいぶ取り戻した	
205	00:49:34	JUNY	けっこうさくさく上がるね	
206	00:49:53	陰キャバス竹中	シグ様はガン無視モード？	
207	00:50:07	スモーク	草	
208	00:50:14	陰キャバス竹中	ﾄｩｰｱ!!	
209	00:50:48	うぇいのる	レベリングがね…	
210	00:50:48	JUNY	ﾄｩｰｱ好き	
211	00:51:01	ジョナサン・グレーン	ﾄｩ-ｱ!	
212	00:51:17	陰キャバス竹中	ミュウツーみたいにもとから７５ぐらいあるのかと	
213	00:51:40	竹輪	かわいい	
