行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	岸辺一徳	まま	
1	00:00:00	らうらう	:クゥフランゾーパークゥフランゾーパー2:まま	
2	00:00:00	aarar scsrt	まま	
3	00:00:00	究極ド根性ダイコン	ままの煮玉子	
4	00:00:00	らうらう	煮んしん	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	スモーク	おいしい煮玉子	
7	00:00:00	カギカギ	おいしい煮玉子	
8	00:00:00	クゥの部屋 Ch	いしじま煮んしんじまん	
9	00:00:00	天然ステルス	おいしい煮玉子	
10	00:00:00	うぇいのる	おいしい煮玉子	
11	00:00:00	リフェ	おいしい煮玉子	
12	00:00:00	らうらう	おいしいnitamago	
13	00:00:11	ヌルヌペペ	おいしい煮玉子	
14	00:00:21	sio3go	おいしい煮玉子	
15	00:00:23	らうらう	！？！？	
16	00:00:23	究極ド根性ダイコン	!?	
17	00:00:24	カギカギ	おいしい煮玉子	
18	00:00:25	スモーク	音やばし	
19	00:00:26	ジョナサン・グレーン	おいしい煮玉子	
20	00:00:27	岸辺一徳	おいしい煮玉子	
21	00:00:27	リフェ	！？	
22	00:00:30	くーねる	おいしい煮玉子ノイズ	
23	00:00:30	あい	おいしい煮玉子	
24	00:00:35	motiyomogi	おいしい煮玉子	
25	00:00:37	ねぎ男	おいしい煮玉子	
26	00:00:39	厳かな守護者P	おいしい煮玉子	
27	00:00:39	ss kk	宇宙船戦争みたいな音する	
28	00:00:39	うぇいのる	かっこいいBGM	
29	00:00:46	ヌルヌペペ	なにこの音	
30	00:00:47	ふーばー	おいしいオリジナル曲	
31	00:00:47	タケノコ男	おいしい煮玉子	
32	00:00:48	カギカギ	耳が	
33	00:00:59	ぐみよん	おいしい煮玉子	
34	00:00:59	ジャック・オー	おいしい煮玉子	
35	00:01:07	なんたら		￥100
36	00:01:09	ジョナサン・グレーン	サイケデリックすぎる…	
37	00:01:10	八木谷	おいしい煮玉子	
38	00:01:17	あのあれ	食べたい煮玉子	
39	00:01:23	八木谷	どえらい	
40	00:01:25	らうらう	おいしい煮玉子	
41	00:01:29	biki koto	おいしい煮卵	
42	00:01:31	なんたら	おいしい煮玉子	
43	00:01:32	aarar scsrt	おいしい煮玉子	
44	00:01:37	くーねる	かえってきた煮玉子	
45	00:01:39	らうらう	新曲	
46	00:01:41	mori mori	この流れで普通に始めるのか・・・	
47	00:01:48	うぇいのる	大ヒット間違いなしの名曲	
48	00:01:57	FFDD	おいしい煮玉子	
49	00:02:08	のねずみ	おいしい煮玉子	
50	00:02:10	タケノコ男	草	
51	00:02:10	岸辺一徳	でも作ってる最中脳汁でてそう	
52	00:02:18	ジョナサン・グレーン	草	
53	00:02:23	スモーク	草	
54	00:03:02	mori mori	イベント全部終わらせても届いてなさそう	
55	00:03:06	究極ド根性ダイコン	姉ちゃんの新鮮な反応が見られるんだ	
56	00:03:13	うぇいのる	草	
57	00:03:16	リフェ	草	
58	00:03:18	らうらう	草	
59	00:03:22	らうらう	気に入ってんじゃん！！！	
60	00:03:23	motiyomogi	わかる	
61	00:03:25	ジョナサン・グレーン	草	
62	00:03:25	タケノコ男	いいよね	
63	00:00:00	岸辺一徳	まま	
64	00:00:00	らうらう	:クゥフランゾーパークゥフランゾーパー2:まま	
65	00:00:00	aarar scsrt	まま	
66	00:00:00	究極ド根性ダイコン	ままの煮玉子	
