行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	陰キャバス竹中	おいしい煮玉子	
3	00:00:00	周恩来	おいしい煮玉子	
4	00:00:00	なんたら	おいしい煮玉子	
5	00:00:00	岸辺一徳	おいしい煮玉子	
6	00:00:00	T.のかね	おいしい煮玉子	
7	00:00:00	クロムア	おいしい煮玉子	
8	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
9	00:00:00	こみこ	おいしい煮玉子	
10	00:00:00	ねこくーる	おいしい煮玉子	
11	00:00:19	eve	おいしい煮玉子	
12	00:00:22	周恩来	おいしい煮玉子	
13	00:00:22	タケノコ男	おいしい煮玉子	
14	00:00:23	あい	おいしい煮玉子	
15	00:00:24	ミワタリ	おいしい煮玉子	
16	00:00:27	ああ	おいしい煮玉子	
17	00:00:28	mori mori	hjmt	
18	00:00:29	陰キャバス竹中	おいしい煮玉子	
19	00:00:30	らうらう	おいしい煮玉子	
20	00:00:35	にけい	おいしい煮玉子	
21	00:00:36	なんたら	おいしい煮玉子	
22	00:00:54	周恩来	おいしくない切断	
23	00:00:59	カギカギ	おいしい煮玉子	
24	00:01:04	MrTama02	美味しい煮玉子	
25	00:01:05	mori mori	こっちだけ見えてて姉ちゃんが切断されてるの謎	
26	00:01:15	岸辺一徳	おいしい煮玉子	
27	00:01:26	らうらう	おみず	
28	00:01:27	motiyomogi	おいしい煮玉子	
29	00:01:41	なんたら	かわいい	
30	00:01:42	J u d a S S	おいしい煮玉子	
31	00:01:45	らうらう	おみずじゃないかも	
32	00:02:04	クロムア	姉ちゃんごはんたべた？	
33	00:02:11	タケノコ男	かわいい	
34	00:02:14	らうらう	組み合わせおかしいよ	
35	00:02:15	ねこくーる	コーヒーブレイク	
36	00:02:24	周恩来	後味がヤバそう	
37	00:02:33	猫の散歩道	美味しい煮卵アイズダークネスメタルドラゴン	
38	00:02:36	むむめめ	ごくごく	
39	00:02:38	なんたら	🍵☕	
40	00:02:51	JUNY	おいしい煮玉子	
41	00:02:52	ジョナサン・グレーン	おいしい煮玉子	
42	00:02:58	陰キャバス竹中	また気持ちのいい朝を迎えるのか	
43	00:03:03	らうらう	いけn	
44	00:03:05	なんたら	気持ちのいいあさ	
45	00:03:07	mori mori	気持ちのいい朝だ	
46	00:03:14	JUNY	気持ちのいい朝だ	
47	00:03:28	ジョナサン・グレーン	溜まってたものをすべて吐き出したからね	
48	00:03:29	タケノコ男	気持ちのいい朝だ	
49	00:03:37	らうらう	あらすじたすかる	
50	00:03:49	ナウ	おいしい煮玉子	
51	00:03:53	りあすて	姉ちゃんこんにちは	
52	00:04:03	らうらう	草	
53	00:04:06	JUNY	コネクトってそういう…	
54	00:04:06	なんたら	草	
55	00:04:07	りあすて	草でしょ	
56	00:04:09	ねこくーる	草	
57	00:04:11	ジョナサン・グレーン	草	
58	00:04:12	あい	コネクトしたんだ…	
59	00:04:15	周恩来	草	
60	00:04:18	陰キャバス竹中	物理的にしたから	
61	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
62	00:00:00	らうらう	おいしい煮玉子	
63	00:00:00	陰キャバス竹中	おいしい煮玉子	
64	00:00:00	周恩来	おいしい煮玉子	
65	00:00:00	なんたら	おいしい煮玉子	
66	00:00:00	岸辺一徳	おいしい煮玉子	
67	00:00:00	T.のかね	おいしい煮玉子	
68	00:00:00	クロムア	おいしい煮玉子	
69	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
70	00:00:00	こみこ	おいしい煮玉子	
71	00:00:00	ねこくーる	おいしい煮玉子	
72	00:00:19	eve	おいしい煮玉子	
73	00:00:22	周恩来	おいしい煮玉子	
74	00:00:22	タケノコ男	おいしい煮玉子	
75	00:00:23	あい	おいしい煮玉子	
76	00:00:24	ミワタリ	おいしい煮玉子	
77	00:00:27	ああ	おいしい煮玉子	
78	00:00:28	mori mori	hjmt	
79	00:00:29	陰キャバス竹中	おいしい煮玉子	
80	00:00:30	らうらう	おいしい煮玉子	
81	00:00:35	にけい	おいしい煮玉子	
82	00:00:36	なんたら	おいしい煮玉子	
83	00:00:54	周恩来	おいしくない切断	
84	00:00:59	カギカギ	おいしい煮玉子	
85	00:01:04	MrTama02	美味しい煮玉子	
86	00:01:05	mori mori	こっちだけ見えてて姉ちゃんが切断されてるの謎	
87	00:01:15	岸辺一徳	おいしい煮玉子	
88	00:01:26	らうらう	おみず	
89	00:01:27	motiyomogi	おいしい煮玉子	
90	00:01:41	なんたら	かわいい	
91	00:01:42	J u d a S S	おいしい煮玉子	
92	00:01:45	らうらう	おみずじゃないかも	
93	00:02:04	クロムア	姉ちゃんごはんたべた？	
94	00:02:11	タケノコ男	かわいい	
95	00:02:14	らうらう	組み合わせおかしいよ	
96	00:02:15	ねこくーる	コーヒーブレイク	
97	00:02:24	周恩来	後味がヤバそう	
98	00:02:33	猫の散歩道	美味しい煮卵アイズダークネスメタルドラゴン	
99	00:02:36	むむめめ	ごくごく	
100	00:02:38	なんたら	🍵☕	
101	00:02:51	JUNY	おいしい煮玉子	
102	00:02:52	ジョナサン・グレーン	おいしい煮玉子	
103	00:02:58	陰キャバス竹中	また気持ちのいい朝を迎えるのか	
104	00:03:03	らうらう	いけn	
105	00:03:05	なんたら	気持ちのいいあさ	
106	00:03:07	mori mori	気持ちのいい朝だ	
107	00:03:14	JUNY	気持ちのいい朝だ	
108	00:03:28	ジョナサン・グレーン	溜まってたものをすべて吐き出したからね	
109	00:03:29	タケノコ男	気持ちのいい朝だ	
110	00:03:37	らうらう	あらすじたすかる	
111	00:03:49	ナウ	おいしい煮玉子	
112	00:03:53	りあすて	姉ちゃんこんにちは	
113	00:04:03	らうらう	草	
114	00:04:06	JUNY	コネクトってそういう…	
115	00:04:06	なんたら	草	
116	00:04:07	りあすて	草でしょ	
117	00:04:09	ねこくーる	草	
118	00:04:11	ジョナサン・グレーン	草	
119	00:04:12	あい	コネクトしたんだ…	
120	00:04:15	周恩来	草	
121	00:04:18	陰キャバス竹中	物理的にしたから	
122	00:04:30	らうらう	大姉ちゃんうれしそうだね・・・	
123	00:04:32	究極ド根性ダイコン	親の顔より見たシーン	
124	00:04:34	助六	おいしい煮玉子	
