行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	ドジっ子かよ・・・・・	
1	00:00:00	eve 8848	よくねたのはえらい	
2	00:00:00	なんたら	かわいい	
3	00:00:00	カギアカギ	かわいい	
4	00:00:00	T.のかね	まあ今起きたんじゃ無理だわな・・・	
5	00:00:00	岸辺一徳	ちゃんとリスケできるのえらい	
6	00:00:00	助六	すいみんは大事、えらい	
7	00:00:00	近藤亮	お昼も食べてから始めるのかな	
8	00:00:00	JUNY	よく寝たのならよかった	
9	00:00:00	꧁꧂クゥの部屋꧁꧂	14時開始に変更になります	
10	00:00:00	꧁꧂クゥの部屋꧁꧂	寝坊というわけです	
11	00:00:00	バーチャルミク廃立花	よく寝てクリア	
12	00:00:00	らうらう	睡眠は大事	
13	00:00:00	あまいさい	お知らせえらい	
14	00:00:00	近藤亮	かわいい	
15	00:00:00	えび	JCはきちんと寝るのが大事	
16	00:00:00	竹輪	正直でえらい	
17	00:00:00	岸辺一徳	ちゃんと言えるの大人でも出来ないのにえらい	
18	00:00:00	T.のかね	さす姉	
19	00:00:00	キタカシ	１４時に目覚ましセットして二度寝してないか心配	
20	00:00:00	天然ステルス	おいしい煮玉子	
21	00:00:00	岸辺一徳	おいしい煮玉子	
22	00:00:00	らうらう	おいしい煮玉子	
23	00:00:00	竹輪	おいしい煮玉子	
24	00:00:00	近藤亮	おいしい煮玉子	
25	00:00:00	リフェ	おいしい煮玉子	
26	00:00:00	ジャック・オー	おいしい煮玉子	
27	00:00:00	助六	おいしい煮玉子	
28	00:00:00	あまいさい	おいしい煮玉子	
29	00:00:00	タケノコ男	おいしい煮玉子	
30	00:00:00	JUNY	おいしい煮玉子	
31	00:00:00	えび	おいしい煮玉子	
32	00:00:00	キタカシ	おいしい煮玉子	
33	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
34	00:00:00	あい	おいしい煮玉子	
35	00:00:00	ねこくーる	おいしい煮玉子	
36	00:00:00	C.ジョンソン	おいしい煮玉子	
37	00:00:00	ヘンリーダーガー	おいしい煮玉子	
38	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
39	00:00:00	うぇいのる	おいしい煮玉子	
40	00:00:00	ナウ	そろそろかな	
41	00:00:00	八木谷	おいしい煮玉子	
42	00:00:00	せせらぎ	おいしい煮玉子	
43	00:00:00	aarar scsrt	おいしい煮玉子	
44	00:00:00	_ Die	おいしい煮玉子	
45	00:00:00	デンキヒツジ	おいしい煮玉子	
46	00:00:00	キタカシ	おいしい煮玉子	
47	00:00:00	らうらう	まさか二度寝	
48	00:00:00	negi	おいしい煮玉子	
49	00:00:00	ヘンリーダーガー	姉ちゃん起きてー	
50	00:00:00	岸辺一徳	祝！引退回避！	￥200
51	00:00:08	あまいさい	姉ちゃん待機	
52	00:00:11	竹輪	二度寝の可能性出てきたな…	
53	00:00:12	キタカシ	にたまご	
54	00:00:19	べるべる	おいしい煮玉子	
55	00:00:19	あい	おいしい煮玉子	
56	00:00:22	T.のかね	おいしい煮玉子	
57	00:00:23	せせらぎ	通知いっぱいきた	
58	00:00:23	のねずみ20日	おいしい煮玉子	
59	00:00:24	らうらう	​おいしい煮玉子	
60	00:00:24	岸辺一徳	おいしい煮玉子	
61	00:00:24	竹輪	おいしい煮玉子	
62	00:00:24	seafood	おいしい煮玉子	
63	00:00:25	キタカシ	ゲーム音入ってない定期	
64	00:00:25	ヘンリーダーガー	3つ来た	
65	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
66	00:00:26	ygk ichi	おいしい煮玉子	
67	00:00:26	eve 8848	おいしい煮玉子	
68	00:00:27	いぶきんぐ	おいしい煮玉子 おはよう姉ちゃん	
69	00:00:27	タケノコ男	おいしい煮玉子	
70	00:00:29	リフェ	おいしい煮玉子	
71	00:00:36	ジャック・オー	おいしい煮玉子	
72	00:00:37	C.ジョンソン	おいしい煮玉子	
73	00:00:39	aarar scsrt	下からでてきた！	
74	00:00:42	えび	おいしい通知	
75	00:00:42	あまいさい	おいしい煮玉子	
76	00:00:44	らうらう	もぞもぞだ	
77	00:00:46	なんたら	おいしい煮玉子	
78	00:00:47	ジョナサン・グレーン	ブラック版だ！	
79	00:00:48	あい	全枠始まった	
80	00:00:48	_ Die	おいしい煮玉子	
81	00:00:49	竹輪	がさごそかわいい	
82	00:00:49	天然ステルス	おいしい煮玉子	
83	00:00:53	ジュンペイ	枠3つでダメだった	
84	00:00:57	タケノコ男	ごそごそかわいい	
85	00:00:59	うぇいのる	こっちか…	
86	00:01:03	にけい	おいしい煮玉子	
87	00:01:04	ナウ	大丈夫か姉ちゃん	
88	00:01:07	なんたら	つうちがすごいことに	
89	00:01:09	こみこ	他の予約枠も動いてる？	
90	00:01:11	ねこくーる	ライブ通知全部来た	
91	00:01:16	八木谷	めっちゃ枠あって草	
92	00:01:20	キタカシ	ほんまや	
93	00:01:21	リフェ	ほんとうだ	
