行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	タケノコ男	14時開始に変更らしい	
1	00:00:00	近藤亮	1時間延期！	
2	00:00:00	ジョナサン・グレーン	14時まで解散！	
3	00:00:00	竹輪	了解です〜	
4	00:00:00	八木谷	しれっと14時で笑う	
5	00:00:00	らうらう	ドジっ子かよ・・・・・	
6	00:00:00	eve	よくねたのはえらい	
7	00:00:00	なんたら	かわいい	
8	00:00:00	カギカギ	かわいい	
9	00:00:00	T.のかね	まあ今起きたんじゃ無理だわな・・・	
10	00:00:00	岸辺一徳	ちゃんとリスケできるのえらい	
11	00:00:00	助六	すいみんは大事、えらい	
12	00:00:00	近藤亮	お昼も食べてから始めるのかな	
13	00:00:00	JUNY	よく寝たのならよかった	
14	00:00:00	クゥの部屋 Ch	14時開始に変更になります	
15	00:00:00	クゥの部屋 Ch	寝坊というわけです	
16	00:00:00	バーチャルミク廃立花	よく寝てクリア	
17	00:00:00	らうらう	睡眠は大事	
18	00:00:00	あまいさい	お知らせえらい	
19	00:00:00	近藤亮	かわいい	
20	00:00:00	竹輪	正直でえらい	
21	00:00:00	岸辺一徳	ちゃんと言えるの大人でも出来ないのにえらい	
22	00:00:00	T.のかね	さす姉	
23	00:00:00	天然ステルス	おいしい煮玉子	
24	00:00:00	岸辺一徳	おいしい煮玉子	
25	00:00:00	らうらう	おいしい煮玉子	
26	00:00:00	竹輪	おいしい煮玉子	
27	00:00:00	近藤亮	おいしい煮玉子	
28	00:00:00	リフェ	おいしい煮玉子	
29	00:00:00	ジャック・オー	おいしい煮玉子	
30	00:00:00	助六	おいしい煮玉子	
31	00:00:00	あまいさい	おいしい煮玉子	
32	00:00:00	タケノコ男	おいしい煮玉子	
33	00:00:00	JUNY	おいしい煮玉子	
34	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
35	00:00:00	あい	おいしい煮玉子	
36	00:00:00	ねこくーる	おいしい煮玉子	
37	00:00:00	ジョンソン	おいしい煮玉子	
38	00:00:00	ヘンリーダーガー	おいしい煮玉子	
39	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
40	00:00:00	うぇいのる	おいしい煮玉子	
41	00:00:00	ナウ	そろそろかな	
42	00:00:00	八木谷	おいしい煮玉子	
43	00:00:00	せせらぎ	おいしい煮玉子	
44	00:00:00	aarar scsrt	おいしい煮玉子	
45	00:00:00	_ Die	おいしい煮玉子	
46	00:00:00	デンキヒツジ	おいしい煮玉子	
47	00:00:00	らうらう	まさか二度寝	
48	00:00:00	negi	おいしい煮玉子	
49	00:00:00	ヘンリーダーガー	姉ちゃん起きてー	
50	00:00:00	岸辺一徳	祝！引退回避！	￥200
51	00:00:08	あまいさい	姉ちゃん待機	
52	00:00:11	竹輪	二度寝の可能性出てきたな…	
53	00:00:19	べるべる	おいしい煮玉子	
54	00:00:19	あい	おいしい煮玉子	
55	00:00:22	T.のかね	おいしい煮玉子	
56	00:00:23	せせらぎ	通知いっぱいきた	
57	00:00:23	のねずみ	おいしい煮玉子	
58	00:00:24	らうらう	​おいしい煮玉子	
59	00:00:24	岸辺一徳	おいしい煮玉子	
60	00:00:24	竹輪	おいしい煮玉子	
61	00:00:24	seafood	おいしい煮玉子	
62	00:00:25	ヘンリーダーガー	3つ来た	
63	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
64	00:00:26	ygk ichi	おいしい煮玉子	
65	00:00:26	eve	おいしい煮玉子	
66	00:00:27	いぶきんぐ	おいしい煮玉子 おはよう姉ちゃん	
67	00:00:27	タケノコ男	おいしい煮玉子	
68	00:00:29	リフェ	おいしい煮玉子	
69	00:00:36	ジャック・オー	おいしい煮玉子	
70	00:00:37	ジョンソン	おいしい煮玉子	
71	00:00:39	aarar scsrt	下からでてきた！	
72	00:00:42	あまいさい	おいしい煮玉子	
73	00:00:44	らうらう	もぞもぞだ	
74	00:00:46	なんたら	おいしい煮玉子	
75	00:00:47	ジョナサン・グレーン	ブラック版だ！	
76	00:00:48	あい	全枠始まった	
77	00:00:48	_ Die	おいしい煮玉子	
78	00:00:49	竹輪	がさごそかわいい	
79	00:00:49	天然ステルス	おいしい煮玉子	
80	00:00:53	ジュンペイ	枠3つでダメだった	
81	00:00:57	タケノコ男	ごそごそかわいい	
82	00:00:59	うぇいのる	こっちか…	
83	00:01:03	にけい	おいしい煮玉子	
84	00:01:04	ナウ	大丈夫か姉ちゃん	
85	00:01:07	なんたら	つうちがすごいことに	
86	00:01:09	こみこ	他の予約枠も動いてる？	
87	00:01:11	ねこくーる	ライブ通知全部来た	
88	00:01:16	八木谷	めっちゃ枠あって草	
89	00:01:21	リフェ	ほんとうだ	
90	00:01:23	竹輪	全部始まってるね	
91	00:01:25	あい	予約枠全部開始したよ	
92	00:01:27	近藤大輔	明日のと明後日のも来たｗ	
93	00:01:28	らうらう	꧁꧂クゥの部屋꧁꧂ がライブ配信中: ♥クリスマス記念♥ 映画「アンチクライスト」同時実況【ルゥ（クゥの姉）】	
94	00:01:28	かーるポン	おいしい煮玉子	
95	00:01:30	_ Die	前編後編同時実況全部始まった	
96	00:01:32	ジャック・オー	通知いっぱいきた	
97	00:01:33	タケノコ男	ルゥ姉ちゃんのも始まってる	
98	00:01:33	eve	ほんとだ草	
99	00:01:34	ヘンリーダーガー	３つ配信中で草	
100	00:00:00	タケノコ男	14時開始に変更らしい	
101	00:00:00	近藤亮	1時間延期！	
102	00:00:00	ジョナサン・グレーン	14時まで解散！	
103	00:00:00	竹輪	了解です〜	
104	00:00:00	八木谷	しれっと14時で笑う	
105	00:00:00	らうらう	ドジっ子かよ・・・・・	
106	00:00:00	eve	よくねたのはえらい	
107	00:00:00	なんたら	かわいい	
108	00:00:00	カギカギ	かわいい	
109	00:00:00	T.のかね	まあ今起きたんじゃ無理だわな・・・	
110	00:00:00	岸辺一徳	ちゃんとリスケできるのえらい	
111	00:00:00	助六	すいみんは大事、えらい	
