行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	e	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	らうらう	e	
3	00:00:00	ぴねかっと	おいしい煮玉子	
4	00:00:00	カーマイン	e!!!!	
5	00:00:00	T.のかね	おいしい煮玉子	
6	00:00:00	T.のかね	おいしいe	
7	00:00:00	ああ	e:おいしい煮玉子	
8	00:00:00	らうらう	おいしいe	
9	00:00:00	ジョナサン・グレーン	e!!!!!	
10	00:00:00	カーマイン	eよね…	
11	00:00:00	T.のかね	e…	
12	00:00:00	ジョナサン・グレーン	e…	
13	00:00:00	えび	e	
14	00:00:00	eve	e	
15	00:00:00	スモーク	おいたま！	
16	00:00:00	りあすて	e	
17	00:00:00	あい	おいしい煮玉子	
18	00:00:00	タケノコ男	e	
19	00:00:00	biki koto	e?	
20	00:00:00	はまちハウマッチ	e	
21	00:00:00	リフェ	おいしい煮玉子	
22	00:00:00	motiyomogi	おいしい煮玉子	
23	00:00:00	めるカバ	元気のe	
24	00:00:00	カーマイン	始まりのe	
25	00:00:00	らうらう	おいしい煮egg	
26	00:00:12	あい	おいしい煮玉子	
27	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
28	00:00:16	まりも	おいしい煮玉子	
29	00:00:16	御早和杯	おいしい煮玉子	
30	00:00:17	えび	おいたま～	
31	00:00:18	ヌルヌペペ	おいしい煮玉子	
32	00:00:19	motiyomogi	おいしい煮玉子	
33	00:00:21	カーマイン	おいしい煮玉子	
34	00:00:22	猫の散歩道	美味しい煮卵ヨウ・ガーディアン	
35	00:00:23	ジャック・オー	おいしい煮玉子	
36	00:00:25	タケノコ男	おいしい煮玉子	
37	00:00:26	はまちハウマッチ	おいしい煮玉子	
38	00:00:27	aarar scsrt	おいしいntmg	
39	00:00:28	やみくもちゃんねる	おいしい煮玉子～	
40	00:00:29	リフェ	おいしい煮玉子	
41	00:00:29	億名	≧ω≦	
42	00:00:33	ジャック・オー	位置調整姉ちゃんかわいい	
43	00:00:33	FFDD	おいしい煮玉子	
44	00:00:34	eve	おいしい煮玉子	
45	00:00:35	らうらう	​おいしい煮玉子	
46	00:00:36	ねこくーる	おいしい煮玉子	
47	00:00:36	めるカバ	おいしい煮玉子	
48	00:00:40	はまちハウマッチ	X	
49	00:00:43	biki koto	X	
50	00:00:44	T.のかね	おいしい煮玉子	
51	00:00:46	カーマイン	X	
52	00:00:47	結城晶	​おいしい煮玉子	
53	00:00:47	ぴねかっと	X	
54	00:00:52	カジキ三郎	おいしい煮玉子	
55	00:00:53	ジョナサン・グレーン	X	
56	00:00:57	rM233g	おいしい煮玉子	
57	00:01:03	さんぽーる祐三	おいしい煮玉子	
58	00:01:10	究極ド根性ダイコン	おいしい煮玉子	
59	00:01:15	みつはちみつ	おいしい煮玉子	
