行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	竹輪	おいしい煮玉子	
3	00:00:00	小さい胡麻塩	おいしい煮玉子	
4	00:00:00	えび	おいしい煮玉子	
5	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
6	00:00:10	JUNY	おいしい煮玉子	
7	00:00:15	motiyomogi	おいしい煮玉子	
8	00:00:16	桜田紅	おいしい煮玉子	
9	00:00:17	ほるもん	おいしい煮玉子	
10	00:00:18	スモーク	おいしい煮玉子	
11	00:00:19	らうらう	おいしい煮玉子	
12	00:00:25	タケノコ男	おいしい煮玉子	
13	00:00:29	いぶきんぐ	おいしい煮玉子	
14	00:00:31	Eトマト	おいしい煮玉子！	
15	00:00:33	らうらう	かわいい	
16	00:00:36	ナウ	おいしい煮玉子	
17	00:00:36	リフェ	おいしい煮玉子	
18	00:00:38	竹輪	かわいい	
19	00:00:38	パンセポンセ	おいしい煮玉子	
20	00:00:40	さらら。	おいしい煮玉子	
21	00:00:45	小さい胡麻塩	かわいい	
22	00:00:47	ヘンリーダーガー	おいしい煮玉子	
23	00:01:00	さらら。	釣りはいいぞ	
24	00:01:02	ナウ	メトロンアユとは	
25	00:01:05	Eトマト	メトロンアユを釣って納品するイベントだね！	
26	00:01:35	らうらう	えらい	
27	00:01:42	ナウ	ゲームの音でかい？	
28	00:01:54	Eトマト	パーティそれでいいの？	
29	00:02:15	motiyomogi	なるほど	
30	00:02:19	Eトマト	なるほど	
31	00:03:07	さらら。	フレンドを殴れるバトル	
32	00:03:09	Eトマト	おおー	
33	00:03:33	Eトマト	あー、蜃気楼きた	
34	00:03:35	Fine TK	でかい	
35	00:03:46	JUNY	そんな…	
36	00:03:46	小さい胡麻塩	キレてる	
37	00:03:55	リフェ	草	
38	00:04:47	小さい胡麻塩	ボカスカチャッチャ	
39	00:04:50	motiyomogi	ボカスカチャッチャ	
