行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	꧁꧂<おいしい煮玉子	
1	00:00:00	ろりころね	おにたま！	
2	00:00:00	せせらぎ	꧁꧂<ｶﾞﾝﾊﾞﾙｿﾞｰ	
3	00:00:00	ふじ	おい煮玉	
4	00:00:00	ほるもん	おい子	
5	00:00:00	ブロア	おいしい煮玉子	
6	00:00:00	岸辺一徳	おいしい煮玉子	
7	00:00:00	拓ちゃ	あれ？また配信するんですね	
8	00:00:00	ろりころね	地味に概要欄がX	
9	00:00:00	nokonokoasyu	再開煮玉子	
10	00:00:00	さんぽーる祐三	おいしい煮玉子	
11	00:00:00	らうらう	　<スマブラを1作ずつエンジョイしていきます！1人でだけど！なぜなら相手が居ないから！	
12	00:00:00	なんたら	delicious nitamago	
13	00:00:00	_ Die	おいしい煮玉子	
14	00:00:00	儀式魔人ドローン	喰いながら見たい、速く始まらんかな～	
15	00:00:00	さんぽーる祐三	腹減ったなぁ	
16	00:00:00	ろりころね	お、変わった	
17	00:00:00	秋箱	勝った！DX完！	￥200
18	00:00:04	mori mori	思ったより遅くて草	
19	00:00:07	さんぽーる祐三	きたー	
20	00:00:08	あい	おいしい煮玉子	
21	00:00:20	Garden	おいしい煮玉子	
22	00:00:21	せせらぎ	こんにちは？こんばんわ？	
23	00:00:21	行方不明	おいたま	
24	00:00:23	岸辺一徳	おいしい煮玉子	
25	00:00:23	Eトマト	おいしい煮玉子	
26	00:00:24	からばこ	おかたま	
27	00:00:26	S N	おいしい煮玉子	
28	00:00:27	Redmix	おいしい煮玉子	
29	00:00:28	なんたら	おいしい煮玉子	
30	00:00:28	八木谷	おいしい煮玉子	
31	00:00:28	のどあめ	おいしい煮玉子今日二個目〜	
32	00:00:29	真新八	おかえり煮玉子 ^~	
33	00:00:30	Aさん	おいしい煮玉子	
34	00:00:36	biggs	おいしい煮玉子	
35	00:00:41	mori mori	こん＾＾	
36	00:00:42	ジョナサン・グレーン	おいしい煮玉子	
37	00:00:44	ろりころね	おかえりにたまご	
38	00:00:45	うぇいのる	おいしい煮玉子～	
39	00:00:47	ひょうどうひっきー	こんにちわ	
40	00:01:03	御早和杯	おいしい煮玉子	
41	00:01:03	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
42	00:01:07	のどあめ	お休みして一番集中できてる今36やるのもいいんじゃない？	
