行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	おいしい煮玉子	
1	00:00:00	竹輪	おいしい煮玉子	
2	00:00:00	カギアカギ	おいしい煮玉子	
3	00:00:00	らうらう	おいしい煮玉子	
4	00:00:00	T.のかね	おいしい煮玉子	
5	00:00:00	JUNY	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:23	motiyomogi	おいしい煮玉子	
8	00:00:24	らうらう	おいしい煮玉子	
9	00:00:28	カギアカギ	おいしい煮玉子	
10	00:00:30	リフェ	おいしい煮玉子	
11	00:00:35	mori mori	DISC2って書いてある	
12	00:00:38	ナウ	おいしい煮玉子	
13	00:00:38	むらさきあんこ	おいしい煮玉子	
14	00:00:40	竹輪	おいたまー	
15	00:00:43	せせらぎ	おいたま～	
16	00:00:48	タケノコ男	おいしい煮玉子	
17	00:00:55	パンセポンセ	おいしい煮玉子	
18	00:00:57	ああ	おいしい煮玉子	
19	00:01:01	JUNY	いやぁ前回は衝撃の展開でしたね	
20	00:01:14	motiyomogi	さみしい	
21	00:01:18	カギアカギ	カラスくんどうなっちゃうの...	
22	00:01:23	mori mori	たいへんだ	
23	00:01:27	ナウ	カラスくん・・・	
24	00:01:32	らうらう	ラスボスと化した元主人公	
25	00:01:37	東京コノハムシ	おいしい煮玉子	
26	00:01:45	八木谷	おいしい煮玉子	
27	00:01:45	近藤大輔	だいぶ終盤なん？	
28	00:01:48	じょーげん	おいしい煮玉子	
29	00:01:56	スモーク	デッキ組みなおすとこだっけ	
30	00:02:09	ああ	カラスくんいい顔してた	
31	00:02:10	JUNY	やっぱりCV鳥海は信用できねぇな！	
32	00:02:10	竹輪	衝撃的な展開	
33	00:02:22	rM233g	こんばんは	
34	00:02:42	mori mori	パーティ固定だから他のメンバーを覚えていない	
35	00:03:15	ナウ	ミズチ様を助けなきゃ	
36	00:03:29	りあすて	おいしい煮玉子	
37	00:03:59	鷹丸	おいしい煮玉子	
38	00:06:07	mori mori	下手にダンジョン入ったら詰むんじゃ？	
39	00:06:48	リフェ	今一人だから戦闘入ったら辛そう…	
40	00:06:54	ナウ	そうかもね	
41	00:07:39	らうらう	だいじょうぶ	
42	00:07:39	竹輪	良い感じ	
43	00:07:40	リフェ	だいじょうぶー	
44	00:08:16	りあすて	草	
45	00:08:20	らうらう	草	
46	00:08:29	ナウ	そんな感じかあ	
47	00:08:31	リフェ	幻草	
48	00:08:49	motiyomogi	草	
49	00:08:50	スモーク	草	
50	00:09:01	らうらう	かわいい	
51	00:09:02	リフェ	草	
52	00:09:09	ナウ	でも姉ちゃんあんまり人に話かけないし・・・	
53	00:09:11	東京コノハムシ	分かりやすい	
54	00:10:04	リフェ	アバウトすぎる…	
55	00:10:14	竹輪	ふわふわとしたヒントだ…	
56	00:10:53	東京コノハムシ	それヒントだったんだ…みたいな	
57	00:00:00	スモーク	おいしい煮玉子	
58	00:00:00	竹輪	おいしい煮玉子	
59	00:00:00	カギアカギ	おいしい煮玉子	
