行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ほーすう	おいしい煮玉子	
1	00:00:00	メレンゲ	おいたまー	
2	00:00:00	らうらう	挨拶です	
3	00:00:00	デスクライブ_ゆっくり実況者	おいしい煮玉子	
4	00:00:00	タコスドン	おいしい煮玉子	
5	00:00:00	ネズミ2/2/6	なぜか定着してしまったここのあいさつ→おいしい煮玉子	
6	00:00:00	ひょうどうひっきー	ルリちゃん頑張って！	
7	00:00:00	こみこ	伝説上の挨拶さ	
8	00:00:00	ねこ薬師	おいしい煮玉子（郷に入れば郷に従え）	
9	00:00:00	zaff	おいしい煮玉子	
10	00:00:00	あい	おいしい煮玉子	
11	00:00:00	あまいさい	おいしい煮玉子	
12	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたま	
13	00:00:00	sangel	美味しい煮玉子	
14	00:00:00	せせらぎ	わからない...私は感覚で卵を煮ている	
15	00:00:00	翠[すい]	なるほどおいしい煮玉子	
16	00:00:00	monyamon	おいしい煮玉子	
17	00:00:00	桜田紅	おいしい煮玉子	
18	00:00:00	ほーすう	おいたま～	
19	00:00:00	いちごぱすた	おいしい煮玉子	
20	00:00:00	コハク	おいしい煮玉子	
21	00:00:00	きゃお	おいしい煮玉子	
22	00:00:00	【ゆっくり実況】ツリネコ	( ﾟÅﾟ)ﾎｩ おいしい煮玉子	
23	00:00:00	PQAりぅ	おいしい煮玉子	
24	00:00:00	ゆうゆう	おいしい煮玉子	
25	00:00:00	うぇいのる	初見さんバイバイな挨拶過ぎる…	
26	00:00:00	ポルポル	おいしい煮玉子	
27	00:00:00	カマキリ	きたら煮卵でもりあがってるw	
28	00:00:00	猫の散歩道	煮卵の美味しみ	
29	00:00:00	うきた秀家	おいしい煮卵	
30	00:00:00	たちかわ	おいしい煮玉子	
31	00:00:00	キーブイ	こんばんー	
32	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
33	00:00:00	ひょうどうひっきー	ネタについていけない…	
34	00:00:00	周恩来	初見さんおいしい煮玉子～	
35	00:00:00	yamato4346	こんばんわー	
36	00:00:00	いちごぱすた	おいしい煮玉子ォ！！	
37	00:00:00	K V	美味しい煮玉子はクゥちゃんの主食である	
38	00:00:00	通行人A	おいしい煮玉子	
39	00:00:00	翠[すい]	玉子と卵の違いってなんだっけ･･･？	
40	00:00:00	ねこ薬師	ルールを守って楽しくデュエル！	
41	00:00:00	あぶぶる	こんばん煮玉子（合ってます？これ	
42	00:00:00	クロムア	おいしい煮玉子	
43	00:00:00	スモークレイン	おいしい煮卵子	
44	00:00:00	キーブイ	ついていけないとぅー	
45	00:00:00	K V	ルリちゃん！？	
46	00:00:00	あまいさい	ルリちゃん！？	
47	00:00:00	yamato4346	初見です、おいしい煮卵	
48	00:00:00	【ゆっくり実況】ツリネコ	ルリちゃんｗ	
49	00:00:00	Redmix	おいしい煮玉子	
50	00:00:18	ジョナサン・グレーン	おいしい煮玉子	
51	00:00:19	カマキリ	ルリちゃん頑張れ	
52	00:00:19	うきた秀家	おいしい煮卵って？	
53	00:00:20	りこった	おいしい煮玉子	
54	00:00:21	戦闘員184号	デュエル開始の宣言をしろ！	
55	00:00:25	ポルポル	何だい今日は… さっきからやけに変な挨拶を見かけるが…	
56	00:00:27	しろいぬ	ルリちゃんがんばー！	
57	00:00:27	ジャック・オー	おいしい煮玉子	
58	00:00:27	Ryo Kamiya	お	
59	00:00:28	ネズミ2/2/6	草	
60	00:00:28	mori mori	おっ	
61	00:00:28	周恩来	おいしい煮玉子～	
62	00:00:29	さらしな	おいしい煮玉子	
63	00:00:30	ゆうゆう	ああ！	
64	00:00:30	ふーばー	はじまった！	
65	00:00:30	yamato4346	デュエル開始ぃぃぃぃイイ	
66	00:00:31	タケノコ男	おいしい煮玉子	
67	00:00:31	空気な人えあえあ	始まった	
68	00:00:33	kaidays	煮玉子とはどういう効果だ？いつ発動する？	
69	00:00:33	はおたど	一般人はどいてた方がいいぜ！	
70	00:00:33	ポンコツジョン	おいしい煮玉子	
71	00:00:34	いちごぱすた	ルリ！？まさか自力で書き込みを！？	
72	00:00:35	クロムア	ああ！	
73	00:00:35	【23万】えるくろちゃん	わーい！	
74	00:00:35	タコスドン	はじまた！	
75	00:00:35	モノクローム	こんばんわに	
76	00:00:36	ジュンペイ	おいしい煮玉子〜	
77	00:00:36	道端ガム	デュエル開始ィィイイイイ！！	
78	00:00:36	【ゆっくり実況】ツリネコ	磯野！デュエル開始の宣言をしろ！	
79	00:00:37	shudaB.N.	美味しい煮卵	
80	00:00:38	sei pa-	開幕おいしい煮玉子には草	
81	00:00:38	バリ島のサボテン	おいしい煮玉子	
82	00:00:38	岸辺一徳	おいしい煮玉子	
83	00:00:39	戦闘員184号	デュエル開始いいいいいいいいいいいいいい	
84	00:00:40	ねこ薬師	るりちゃぁっぁx！がんばれー！	
85	00:00:40	さえのき	おいしい煮玉子～	
86	00:00:40	mori mori	いえーい	
87	00:00:41	パフェクマ	こんばんはー	
88	00:00:42	ボヘミアン浪士	こんばんわ	
89	00:00:42	shudaB.N.	はじまた！	
90	00:00:42	呂宋鋼四郎	おじゃまします！	
91	00:00:44	究極ド根性ダイコン	こんばんわ姉ちゃん	
92	00:00:44	畑秋	おいしい煮玉子	
93	00:00:45	ni nai	おいしい煮玉子	
94	00:00:46	こみこ	デュエル開始！	
95	00:00:46	Ryo Kamiya	みんながんばえー	
96	00:00:46	m.ジミー	こんばんは！	
97	00:00:48	まつ	おいしい煮玉子～	
98	00:00:48	うぇいのる	始まったああああああ！！	
99	00:00:48	らうらう	イエエエエエエエエエエエエエエエエエ	
100	00:00:00	ほーすう	おいしい煮玉子	
101	00:00:00	メレンゲ	おいたまー	
102	00:00:00	らうらう	挨拶です	
103	00:00:00	デスクライブ_ゆっくり実況者	おいしい煮玉子	
104	00:00:00	タコスドン	おいしい煮玉子	
105	00:00:00	ネズミ2/2/6	なぜか定着してしまったここのあいさつ→おいしい煮玉子	
106	00:00:00	ひょうどうひっきー	ルリちゃん頑張って！	
107	00:00:00	こみこ	伝説上の挨拶さ	
108	00:00:00	ねこ薬師	おいしい煮玉子（郷に入れば郷に従え）	
109	00:00:00	zaff	おいしい煮玉子	
110	00:00:00	あい	おいしい煮玉子	
111	00:00:00	あまいさい	おいしい煮玉子	
112	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたま	
113	00:00:00	sangel	美味しい煮玉子	
114	00:00:00	せせらぎ	わからない...私は感覚で卵を煮ている	
115	00:00:00	翠[すい]	なるほどおいしい煮玉子	
116	00:00:00	monyamon	おいしい煮玉子	
117	00:00:00	桜田紅	おいしい煮玉子	
118	00:00:00	ほーすう	おいたま～	
119	00:00:00	いちごぱすた	おいしい煮玉子	
120	00:00:00	コハク	おいしい煮玉子	
121	00:00:00	きゃお	おいしい煮玉子	
122	00:00:00	【ゆっくり実況】ツリネコ	( ﾟÅﾟ)ﾎｩ おいしい煮玉子	
123	00:00:00	PQAりぅ	おいしい煮玉子	
124	00:00:00	ゆうゆう	おいしい煮玉子	
125	00:00:00	うぇいのる	初見さんバイバイな挨拶過ぎる…	
126	00:00:00	ポルポル	おいしい煮玉子	
127	00:00:00	カマキリ	きたら煮卵でもりあがってるw	
128	00:00:00	猫の散歩道	煮卵の美味しみ	
129	00:00:00	うきた秀家	おいしい煮卵	
130	00:00:00	たちかわ	おいしい煮玉子	
131	00:00:00	キーブイ	こんばんー	
132	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
133	00:00:00	ひょうどうひっきー	ネタについていけない…	
134	00:00:00	周恩来	初見さんおいしい煮玉子～	
135	00:00:00	yamato4346	こんばんわー	
136	00:00:00	いちごぱすた	おいしい煮玉子ォ！！	
137	00:00:00	K V	美味しい煮玉子はクゥちゃんの主食である	
138	00:00:00	通行人A	おいしい煮玉子	
139	00:00:00	翠[すい]	玉子と卵の違いってなんだっけ･･･？	
140	00:00:00	ねこ薬師	ルールを守って楽しくデュエル！	
141	00:00:00	あぶぶる	こんばん煮玉子（合ってます？これ	
142	00:00:00	クロムア	おいしい煮玉子	
143	00:00:00	スモークレイン	おいしい煮卵子	
144	00:00:00	キーブイ	ついていけないとぅー	
145	00:00:00	K V	ルリちゃん！？	
146	00:00:00	あまいさい	ルリちゃん！？	
147	00:00:00	yamato4346	初見です、おいしい煮卵	
148	00:00:00	【ゆっくり実況】ツリネコ	ルリちゃんｗ	
149	00:00:00	Redmix	おいしい煮玉子	
150	00:00:18	ジョナサン・グレーン	おいしい煮玉子	
151	00:00:19	カマキリ	ルリちゃん頑張れ	
152	00:00:19	うきた秀家	おいしい煮卵って？	
153	00:00:20	りこった	おいしい煮玉子	
154	00:00:21	戦闘員184号	デュエル開始の宣言をしろ！	
155	00:00:25	ポルポル	何だい今日は… さっきからやけに変な挨拶を見かけるが…	
156	00:00:27	しろいぬ	ルリちゃんがんばー！	
157	00:00:27	ジャック・オー	おいしい煮玉子	
