行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	俺はもうヤバいと思う	
1	00:00:00	Shuzo	何も問題はないようじゃがのォ～	
2	00:00:00	究極ド根性ダイコン	やるしかGO！	
3	00:00:00	カーマイン	（始まランチャ）	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
7	00:00:00	カギカギ	おいしい煮玉子	
8	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
9	00:00:00	防人	おいしい煮玉子	
10	00:00:00	むむめめ	おいしい煮玉子	
11	00:00:00	リフェ	おいしい煮玉子	
12	00:00:00	腰痛		￥200
13	00:00:19	にけい	おいしい煮玉子	
14	00:00:23	パンセポンセ	おいしい煮玉子	
15	00:00:28	らうらう	​おいしい煮玉子	
16	00:00:28	カーマイン	おいしい煮玉子	
17	00:00:32	究極ド根性ダイコン	ハウってる？	
18	00:00:33	seafood	おいしい煮玉子	
19	00:00:34	らうらう	？	
20	00:00:38	カギカギ	かわいい	
21	00:00:40	にけい	ハウハウ	
22	00:00:52	タケノコ男	おいしい煮玉子	
23	00:01:10	スモーク	草	
24	00:01:14	カーマイン	いいのよ	
25	00:01:14	seafood	草	
26	00:01:18	リフェ	マンインザミラー強かったもんね	
27	00:01:20	パンセポンセ	草	
28	00:01:20	らうらう	こんにゃろ←かわいい	
29	00:01:21	ホワイトラン衛兵	かしこい	
30	00:01:25	究極ド根性ダイコン	かしこい	
31	00:01:25	タケノコ男	かわいい	
32	00:01:28	ジョナサン・グレーン	草	
33	00:01:33	にけい	知性を感じる	
34	00:01:35	らうらう	殴り縛りが悪いんじゃ・・・・	
35	00:01:46	ジョナサン・グレーン	かしこい	
36	00:02:00	カーマイン	ザグレイトフルﾄｺﾄｺﾄﾝ！！	
37	00:02:16	ナウ	おいしい煮玉子	
38	00:02:19	いぶきんぐ	おいしい煮玉子	
39	00:02:33	さらら。	おいしいグレイトフル煮玉子	
40	00:02:49	小さい胡麻塩	おいしい煮玉子	
41	00:03:03	究極ド根性ダイコン	黄金の風RTA	
42	00:03:08	ナウ	この鍵どういう原理なの	
43	00:03:35	カーマイン	凄味があるからね	
44	00:03:43	パンセポンセ	しかも鍵なくてもスタンド発動するし	
45	00:03:54	カーマイン	かわいい	
46	00:03:57	ヘンリーダーガー	おいしい煮玉子	
47	00:04:05	にけい	できてんのか？って思った	
48	00:04:10	レザクリエ	ねっとりだったね	
49	00:04:22	らうらう	はやい	
50	00:04:24	究極ド根性ダイコン	超速理解	
51	00:04:49	パンセポンセ	スクアーロ	
52	00:05:00	rM233g	こんばんは	
53	00:05:18	八木谷	おいしい煮玉子	
