行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	スモーク	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	カーマイン	おいしい煮玉子	
4	00:00:00	T.のかね	おいしい煮玉子	
5	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
6	00:00:00	こみこ	おいしい煮玉子	
7	00:00:00	ジャック・オー	おいしい煮玉子	
8	00:00:00	mk 95	おいしい煮玉子	
9	00:00:00	りあすて	おいしい煮玉子	
10	00:00:00	Ami Saika	おいしい煮玉子	
11	00:00:00	うぇいのる	おいしい煮玉子	
12	00:00:00	じょーげん	おいしい煮玉子	
13	00:00:11	aarar scsrt	おいしい煮玉子	
14	00:00:16	らうらう	かわいい	
15	00:00:21	motiyomogi	おいしい煮玉子	
16	00:00:25	らうらう	おいしい煮玉子	
17	00:00:26	じょーげん	おいしい煮玉子	
18	00:00:26	ナウ	おいしい煮玉子	
19	00:00:29	mori mori	こんばんは	
20	00:00:29	ホワイトラン衛兵	おいしい煮玉子	
21	00:00:30	リフェ	おいしい煮玉子	
22	00:00:34	ヘンリーダーガー	おいしい煮玉子	
23	00:00:37	じょーげん	草	
24	00:00:41	JUNY	おいしい煮玉子	
25	00:00:42	らうらう	かわいい	
26	00:00:43	ホワイトラン衛兵	草	
27	00:00:43	リフェ	草	
28	00:00:44	にけい	おいしい煮玉子	
29	00:00:47	ナウ	存じててえらい	
30	00:00:49	さらら。	生放送初見	
31	00:00:51	いぶきんぐ	おいしい煮玉子	
32	00:00:51	ジャック・オー	おいしい煮玉子	
33	00:00:51	ジョナサン・グレーン	おいしい煮玉子	
34	00:00:54	スモーク	草	
35	00:00:55	にけい	そういうアレね	
36	00:01:00	mori mori	ミッドガルドに進入中、先々週くらいに見た	
37	00:01:01	aarar scsrt	ありますポン	
38	00:01:02	パンセポンセ	おいしい煮玉子	
39	00:01:02	ジョナサン・グレーン	背景の圧がすごい	
40	00:01:07	桜田紅	おいしい煮玉子	
41	00:01:08	めるカバ	おいしい煮玉子	
42	00:01:10	スモーク	入ってるよ	
43	00:01:11	sio3go	おいしい煮玉子	
44	00:01:12	リフェ	音はないね	
45	00:01:13	JUNY	姉ちゃん案件初回はかしこまってるよね	
46	00:01:15	こみこ	聞こえる煮玉子	
47	00:01:16	にけい	ゲーム音ない	
48	00:01:18	らうらう	ゲームの音はない	
49	00:01:18	カーマイン	おいしい煮玉子	
50	00:01:18	ホワイトラン衛兵	ゲーム音は聞こえない	
51	00:01:20	ジョナサン・グレーン	煮玉子だポン	
52	00:01:21	くーねる	おいしい煮玉子	
53	00:01:23	motiyomogi	ゲームの音きた	
54	00:01:25	リフェ	今聞こえたー	
55	00:01:25	じょーげん	入った	
56	00:01:26	いぶきんぐ	ゲームの音今入った	
57	00:01:28	スモーク	ゲーム音のことか	
58	00:01:29	T.のかね	ゲーム音きた	
59	00:01:30	mori mori	ゴキゲンなメロディだ	
60	00:01:32	タケノコ男	おいしい煮玉子	
61	00:01:34	かみゆか	きたきた	
62	00:01:38	ジョンソン	おいしい煮玉子	
63	00:00:00	らうらう	おいしい煮玉子	
64	00:00:00	スモーク	おいしい煮玉子	
65	00:00:00	リフェ	おいしい煮玉子	
66	00:00:00	カーマイン	おいしい煮玉子	
67	00:00:00	T.のかね	おいしい煮玉子	
68	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
69	00:00:00	こみこ	おいしい煮玉子	
70	00:00:00	ジャック・オー	おいしい煮玉子	
71	00:00:00	mk 95	おいしい煮玉子	
72	00:00:00	りあすて	おいしい煮玉子	
73	00:00:00	Ami Saika	おいしい煮玉子	
74	00:00:00	うぇいのる	おいしい煮玉子	
75	00:00:00	じょーげん	おいしい煮玉子	
76	00:00:11	aarar scsrt	おいしい煮玉子	
77	00:00:16	らうらう	かわいい	
78	00:00:21	motiyomogi	おいしい煮玉子	
79	00:00:25	らうらう	おいしい煮玉子	
80	00:00:26	じょーげん	おいしい煮玉子	
81	00:00:26	ナウ	おいしい煮玉子	
82	00:00:29	mori mori	こんばんは	
83	00:00:29	ホワイトラン衛兵	おいしい煮玉子	
84	00:00:30	リフェ	おいしい煮玉子	
85	00:00:34	ヘンリーダーガー	おいしい煮玉子	
86	00:00:37	じょーげん	草	
87	00:00:41	JUNY	おいしい煮玉子	
88	00:00:42	らうらう	かわいい	
89	00:00:43	ホワイトラン衛兵	草	
90	00:00:43	リフェ	草	
91	00:00:44	にけい	おいしい煮玉子	
92	00:00:47	ナウ	存じててえらい	
93	00:00:49	さらら。	生放送初見	
94	00:00:51	いぶきんぐ	おいしい煮玉子	
95	00:00:51	ジャック・オー	おいしい煮玉子	
96	00:00:51	ジョナサン・グレーン	おいしい煮玉子	
97	00:00:54	スモーク	草	
98	00:00:55	にけい	そういうアレね	
99	00:01:00	mori mori	ミッドガルドに進入中、先々週くらいに見た	
100	00:01:01	aarar scsrt	ありますポン	
101	00:01:02	パンセポンセ	おいしい煮玉子	
102	00:01:02	ジョナサン・グレーン	背景の圧がすごい	
103	00:01:07	桜田紅	おいしい煮玉子	
104	00:01:08	めるカバ	おいしい煮玉子	
105	00:01:10	スモーク	入ってるよ	
106	00:01:11	sio3go	おいしい煮玉子	
107	00:01:12	リフェ	音はないね	
108	00:01:13	JUNY	姉ちゃん案件初回はかしこまってるよね	
109	00:01:15	こみこ	聞こえる煮玉子	
110	00:01:16	にけい	ゲーム音ない	
111	00:01:18	らうらう	ゲームの音はない	
112	00:01:18	カーマイン	おいしい煮玉子	
113	00:01:18	ホワイトラン衛兵	ゲーム音は聞こえない	
114	00:01:20	ジョナサン・グレーン	煮玉子だポン	
115	00:01:21	くーねる	おいしい煮玉子	
116	00:01:23	motiyomogi	ゲームの音きた	
117	00:01:25	リフェ	今聞こえたー	
118	00:01:25	じょーげん	入った	
119	00:01:26	いぶきんぐ	ゲームの音今入った	
120	00:01:28	スモーク	ゲーム音のことか	
121	00:01:29	T.のかね	ゲーム音きた	
122	00:01:30	mori mori	ゴキゲンなメロディだ	
123	00:01:32	タケノコ男	おいしい煮玉子	
124	00:01:34	かみゆか	きたきた	
125	00:01:38	ジョンソン	おいしい煮玉子	
126	00:01:43	ねこくーる	聞こえた	
127	00:01:45	じょーげん	ゴキゲンだぜぇ	
128	00:01:45	八木谷	おいしい煮玉子	
129	00:01:47	桜田紅	おしゃれBGM	
130	00:01:47	ヘンリーダーガー	おしゃれBGM	
131	00:01:48	りあすて	姉ちゃん右腕だいじょぶ？	
132	00:01:53	パンセポンセ	オシャレなBGM	
133	00:01:56	ナウ	ごきげんなメロディ	
134	00:02:00	Eトマト	美味しい煮玉子、普通に面白いですよこのゲーム	
135	00:02:03	ジョナサン・グレーン	ゴキゲンなBGM	
136	00:02:07	さらら。	オシャンティー	
137	00:02:09	うぇいのる	間接柔らかい	
138	00:02:09	aarar scsrt	やわらか姉ちゃん	
139	00:02:10	りあすて	ミッドガル・・・これがFF7ですか？	
140	00:02:11	カーマイン	ゴキゲンなBGMだ	
141	00:02:21	いぶきんぐ	やわらか姉ちゃん	
142	00:02:28	mori mori	青そう	
143	00:02:33	motiyomogi	かわいい	
144	00:02:37	JUNY	いただいた参考画像	
145	00:02:38	タケノコ男	えち	
146	00:02:40	リフェ	おー	
147	00:02:46	こみこ	大事	
148	00:02:49	ジョンソン	なにはともあれ	
149	00:02:49	にけい	なるほど美麗	
150	00:02:54	さらら。	赤ずきんっぽいの男の娘やぞ	
151	00:03:04	JUNY	アニメシーンから	
152	00:03:04	りあすて	左のユニークな帽子かぶった子がかわいいと思う	
153	00:03:07	こみこ	止まるんじゃねぇぞ…	
154	00:03:07	ホワイトラン衛兵	行き倒れてる	
155	00:03:13	めるカバ	止まるんじゃ…	
156	00:03:15	うぇいのる	すごい	
157	00:03:17	ニャンコ先生	止まるじゃねえぞ？	
158	00:03:18	mori mori	アニメの入るゲーム多いなあ	
159	00:03:23	mk 95	キャラ絵も動くんだ	
160	00:03:24	ナウ	冬だからかな	
161	00:03:27	Ami Saika	雪山だからでは	
162	00:03:30	カーマイン	live2d？	
163	00:03:33	T.のかね	クェーッ！	
164	00:03:35	JUNY	キョロちゃん	
165	00:03:36	パンセポンセ	草	
166	00:03:39	D W	クェっ！クェっ！クェーっ	
167	00:03:39	りあすて	サメかな？	
168	00:03:49	ニャンコ先生	空飛ぶ鮫？	
169	00:03:51	mori mori	これが導入なの草	
170	00:04:00	ジョンソン	バスケやん	
