行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	​おいしい煮玉子	
1	00:00:00	じょーげん	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	リフェ	おいしい煮玉子	
5	00:00:17	motiyomogi	おいしい煮玉子	
6	00:00:20	mori mori	かわいい	
7	00:00:24	クロムア	おいしい煮玉子	
8	00:00:28	eve	おいしい煮玉子	
9	00:00:39	JUNY	おいしい煮玉子	
10	00:00:46	なんたら	おいしい煮玉子	
11	00:00:47	らうらう	おいしい煮玉子	
12	00:00:58	カギカギ	おいしい煮玉子	
13	00:01:02	いぶきんぐ	おいしい煮玉子	
14	00:01:15	ああ	おいしい煮玉子	
15	00:01:21	mori mori	折れちゃったから修理してまた倒しに行くんだっけ？	
16	00:01:31	ねこくーる	おいしい煮玉子	
17	00:01:45	ジャック・オー	おいしい煮玉子	
18	00:01:47	究極ド根性ダイコン	おいしい煮玉子	
19	00:01:48	ヌルヌペペ	おいしい煮玉子	
20	00:01:49	ナウ	おいしい煮玉子	
21	00:01:54	カーマイン	おいしい煮玉子	
22	00:01:58	リフェ	修理したらラスボスなのかなぁ？	
23	00:01:59	スモーク	ミズチ様はもう仮面被っちゃったんだっけ	
24	00:02:53	りあすて	おいしい煮玉子	
25	00:02:59	スモーク	カラスくんが殊勝だ…	
26	00:03:14	カーマイン	やさしい	
27	00:03:18	T.のかね	おいしい煮玉子	
28	00:03:19	らうらう	みんなやさしい	
29	00:03:48	JUNY	救うんだ	
30	00:03:53	カーマイン	救い出すんだ	
31	00:03:53	mori mori	まるで正ヒロインみたいなこと言われとる	
32	00:04:03	ナウ	結構前から立ち上がってなかったか	
33	00:04:33	なんたら	確かに動機が謎	
34	00:04:41	りあすて	前回はミズチさまの村が焼かれて剣が折れたんだっけ	
35	00:05:12	りあすて	ﾈｺﾁｬﾝ！！！	
36	00:05:50	竹輪	そうだそうだ	
37	00:05:50	スモーク	マルペロ弱かったしね	
38	00:06:02	りあすて	誰？	
39	00:06:04	mori mori	つよそう	
40	00:06:04	JUNY	変な音！	
41	00:06:12	ああ	ちびっこSE	
42	00:06:22	カーマイン	プニュプニュ	
43	00:06:23	リフェ	あー、捕まってた時に助けてくれた人達か	
44	00:06:48	カギカギ	かわいい	
45	00:07:11	スモーク	草	
46	00:07:11	カーマイン	楽観的すぎる	
47	00:07:28	なんたら	一休さんか	
48	00:07:44	リフェ	おー	
49	00:07:44	ナウ	ラリクシ	
50	00:07:52	mori mori	長い伏線だ	
51	00:08:48	らうらう	よくあるやつだ	
52	00:09:05	竹輪	あるあるだ	
53	00:09:13	らうらう	あるある	
54	00:09:13	スモーク	あるある	
55	00:00:00	らうらう	​おいしい煮玉子	
56	00:00:00	じょーげん	おいしい煮玉子	
57	00:00:00	カギカギ	おいしい煮玉子	
58	00:00:00	スモーク	おいしい煮玉子	
59	00:00:00	リフェ	おいしい煮玉子	
60	00:00:17	motiyomogi	おいしい煮玉子	
