行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	味付けタマゴ	おつかれ煮玉子	
1	00:00:00	くーねる	おつたま	
2	00:00:15	弐号。あくじき	おいしい煮玉子	
3	00:00:19	かたもく	おいしいヤドン	
4	00:00:20	_ Die	おいしい煮玉子	
5	00:00:23	なんたら	おいしい煮玉子	
6	00:00:24	内海柚	おいしい煮玉子	
7	00:00:27	Shota Hamada	おいしい煮玉子	
8	00:00:29	ほるもん	おいしい煮玉子	
9	00:00:29	ふーばー	おいしい煮玉子	
10	00:00:31	タケノコ男	おいしい煮玉子	
11	00:00:32	のねずみ	おいしい煮玉子	
12	00:00:32	スモーク	おいしい煮玉子	
13	00:00:39	毛玉	おいしい煮玉子	
14	00:00:41	味付けタマゴ	おいしい煮玉子	
15	00:00:45	天然ステルス	おいしい煮玉子	
16	00:00:51	くーねる	おいしい煮玉子	
17	00:01:00	かたもく	ちょうど起きた瞬間殿堂入りしてて笑った	
18	00:01:17	Fuzuki K	美味しい煮玉子	
19	00:01:38	はおたど	おいしい煮玉子	
20	00:01:53	Fuzuki K	世界の真実を覗いてしまったＪＣ	
21	00:01:56	かたもく	マスタートレーナー何人かいるんや・・・	
22	00:02:10	mash.SRT_くんゴーグル	インフルエンザになりましたきついです	
23	00:02:15	ふたばred	おいしい煮玉子	
24	00:02:23	弐号。あくじき	ポケモンマスターは存在したんだな…	
25	00:02:34	ナツメ大尉	おいしい煮玉子	
26	00:02:40	毛玉	トランセルマスターもいる可能性？	
27	00:02:46	かたもく	しかし奴はマスタートレーナーの中でも最弱・・・	
28	00:02:58	なんたら	足がない	
29	00:03:10	Redmix	おいしい煮玉子	
30	00:03:31	Fuzuki K	トランセルマスターの名前はたねいちだったりしない？	
31	00:03:40	佐藤太郎	同じポケモン縛りがあるのかな	
32	00:03:42	掛蕎麦	おいしい煮玉子	
33	00:03:44	ほるもん	すごい	
34	00:03:46	天然ステルス	イクエ	
35	00:03:54	伏葦たぐい	いくえ	
36	00:03:55	K. u	おいたま 吹き出し出てるのがマスターなのかな	
37	00:03:57	かたもく	ふぁ？！	
38	00:03:58	スモーク	つよい	
39	00:03:58	ふーばー	ピカチュウが勝つわ	
40	00:04:00	天然ステルス	無理だわ	
41	00:04:01	_ Die	つっよ	
42	00:04:03	なんたら	しっぽにこだわりが	
43	00:04:04	Fuzuki K	中の人じゃん	
44	00:04:05	明日カン八郎	あらら	
45	00:04:05	はおたど	つっよ	
46	00:04:06	ゴギガガガギゴ	つよい	
47	00:04:06	タケノコ男	つよい	
48	00:04:07	ふたばred	うわぁ	
49	00:04:11	伏葦たぐい	さすがいくえ	
50	00:04:18	弐号。あくじき	いくえかあ	
51	00:04:21	にけい	あっむりだ	
52	00:00:00	味付けタマゴ	おつかれ煮玉子	
53	00:00:00	くーねる	おつたま	
54	00:00:15	弐号。あくじき	おいしい煮玉子	
55	00:00:19	かたもく	おいしいヤドン	
56	00:00:20	_ Die	おいしい煮玉子	
57	00:00:23	なんたら	おいしい煮玉子	
58	00:00:24	内海柚	おいしい煮玉子	
59	00:00:27	Shota Hamada	おいしい煮玉子	
60	00:00:29	ほるもん	おいしい煮玉子	
61	00:00:29	ふーばー	おいしい煮玉子	
62	00:00:31	タケノコ男	おいしい煮玉子	
63	00:00:32	のねずみ	おいしい煮玉子	
64	00:00:32	スモーク	おいしい煮玉子	
65	00:00:39	毛玉	おいしい煮玉子	
66	00:00:41	味付けタマゴ	おいしい煮玉子	
67	00:00:45	天然ステルス	おいしい煮玉子	
68	00:00:51	くーねる	おいしい煮玉子	
69	00:01:00	かたもく	ちょうど起きた瞬間殿堂入りしてて笑った	
70	00:01:17	Fuzuki K	美味しい煮玉子	
71	00:01:38	はおたど	おいしい煮玉子	
72	00:01:53	Fuzuki K	世界の真実を覗いてしまったＪＣ	
73	00:01:56	かたもく	マスタートレーナー何人かいるんや・・・	
74	00:02:10	mash.SRT_くんゴーグル	インフルエンザになりましたきついです	
75	00:02:15	ふたばred	おいしい煮玉子	
76	00:02:23	弐号。あくじき	ポケモンマスターは存在したんだな…	
77	00:02:34	ナツメ大尉	おいしい煮玉子	
78	00:02:40	毛玉	トランセルマスターもいる可能性？	
