行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:12	motiyomogi	おいしい煮玉子	
2	00:00:18	せせらぎ	こんばんわ～	
3	00:00:20	刀根雅武	おいしい煮玉子	
4	00:00:21	クロム	おいしい煮玉子	
5	00:00:22	ジャック・オー	おいしい煮玉子	
6	00:00:23	えび	おいしい煮玉子	
7	00:00:24	ジョナサン・グレーン	おいしい煮玉子	
8	00:00:26	らうらう	おいしい煮玉子	
9	00:00:28	なんたら	おいしい煮玉子	
10	00:00:37	スモーク	おいしい煮玉子	
11	00:00:38	FFDD	おいしい煮玉子	
12	00:00:38	こみこ	おいしい煮玉子	
13	00:00:44	らうらう	みえない	
14	00:00:49	畑秋	​おいしい煮玉子 ٩(ˊᗜˋ*)و	
15	00:00:52	りあすて	おいしい煮玉子	
16	00:00:53	竹輪	おいしい煮玉子	
17	00:01:03	HILO	おいしい煮玉子	
18	00:01:07	リフェ	おいしい煮玉子	
19	00:01:07	T.のかね	おいしい煮玉子	
20	00:01:23	せせらぎ	無料で！？	
21	00:01:27	らうらう	任天堂様ありがとう	
22	00:01:28	HILO	マスクはメガネ曇るんだよなぁ	
23	00:01:31	こみこ	すごい！	
24	00:01:34	いぶきんぐ	おいしい煮玉子	
25	00:01:45	りあすて	ポリウレタンのやつだよね 息苦しくないしかなり良い	
26	00:01:46	ぷりん	おいしい煮玉子。	
27	00:01:51	リフェ	すごい	
28	00:01:51	motiyomogi	ふとっぱら	
29	00:01:53	刀根雅武	ありがとう任天堂	
30	00:01:57	HILO	太っ腹	
31	00:02:01	なんたら	戦略がすごい	
32	00:02:18	ZW犬死無能盾-肉無鶏	おいしい煮玉子 無線だとあんまり繋がらないや姉ちゃん	
33	00:02:25	いぶきんぐ	任天堂なんかアマプラとの連携とかもするんだっけ？	
34	00:02:26	りあすて	フルの遊び方を提示してくれるの流石	
35	00:02:33	リフェ	おー、完全に初めてなんだ	
36	00:02:38	abeshi	おいしい煮玉子 イカだー	
37	00:02:39	小さい胡麻塩	おいしい煮玉子	
38	00:02:54	HILO	酔いがきついと聞くから気をつけて	
39	00:02:58	八木谷	おいしい煮玉子	
40	00:03:09	りあすて	姉ちゃんの”線”	
41	00:03:11	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子ー	
42	00:03:12	らうらう	うおお	
43	00:03:17	ヘンリーダーガー	おいしい煮玉子これタダなんだ	
44	00:03:18	motiyomogi	草	
45	00:03:20	えび	草	
46	00:03:22	らうらう	ええ・・・	
47	00:03:23	いぶきんぐ	草	
48	00:03:24	リフェ	草	
49	00:03:25	HILO	姉ちゃんにしては短い配信	
50	00:03:27	なんたら	ええ…	
51	00:00:00	らうらう	おいしい煮玉子	
52	00:00:12	motiyomogi	おいしい煮玉子	
53	00:00:18	せせらぎ	こんばんわ～	
54	00:00:20	刀根雅武	おいしい煮玉子	
55	00:00:21	クロム	おいしい煮玉子	
56	00:00:22	ジャック・オー	おいしい煮玉子	
57	00:00:23	えび	おいしい煮玉子	
58	00:00:24	ジョナサン・グレーン	おいしい煮玉子	
59	00:00:26	らうらう	おいしい煮玉子	
60	00:00:28	なんたら	おいしい煮玉子	
61	00:00:37	スモーク	おいしい煮玉子	
62	00:00:38	FFDD	おいしい煮玉子	
63	00:00:38	こみこ	おいしい煮玉子	
64	00:00:44	らうらう	みえない	
65	00:00:49	畑秋	​おいしい煮玉子 ٩(ˊᗜˋ*)و	
66	00:00:52	りあすて	おいしい煮玉子	
67	00:00:53	竹輪	おいしい煮玉子	
68	00:01:03	HILO	おいしい煮玉子	
69	00:01:07	リフェ	おいしい煮玉子	
70	00:01:07	T.のかね	おいしい煮玉子	
71	00:01:23	せせらぎ	無料で！？	
72	00:01:27	らうらう	任天堂様ありがとう	
73	00:01:28	HILO	マスクはメガネ曇るんだよなぁ	
74	00:01:31	こみこ	すごい！	
75	00:01:34	いぶきんぐ	おいしい煮玉子	
76	00:01:45	りあすて	ポリウレタンのやつだよね 息苦しくないしかなり良い	
77	00:01:46	ぷりん	おいしい煮玉子。	
78	00:01:51	リフェ	すごい	
79	00:01:51	motiyomogi	ふとっぱら	
80	00:01:53	刀根雅武	ありがとう任天堂	
81	00:01:57	HILO	太っ腹	
82	00:02:01	なんたら	戦略がすごい	
83	00:02:18	ZW犬死無能盾-肉無鶏	おいしい煮玉子 無線だとあんまり繋がらないや姉ちゃん	
84	00:02:25	いぶきんぐ	任天堂なんかアマプラとの連携とかもするんだっけ？	
85	00:02:26	りあすて	フルの遊び方を提示してくれるの流石	
86	00:02:33	リフェ	おー、完全に初めてなんだ	
87	00:02:38	abeshi	おいしい煮玉子 イカだー	
88	00:02:39	小さい胡麻塩	おいしい煮玉子	
89	00:02:54	HILO	酔いがきついと聞くから気をつけて	
90	00:02:58	八木谷	おいしい煮玉子	
91	00:03:09	りあすて	姉ちゃんの”線”	
92	00:03:11	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子ー	
93	00:03:12	らうらう	うおお	
94	00:03:17	ヘンリーダーガー	おいしい煮玉子これタダなんだ	
95	00:03:18	motiyomogi	草	
96	00:03:20	えび	草	
97	00:03:22	らうらう	ええ・・・	
98	00:03:23	いぶきんぐ	草	
99	00:03:24	リフェ	草	
100	00:03:25	HILO	姉ちゃんにしては短い配信	
101	00:03:27	なんたら	ええ…	
102	00:03:29	せせらぎ	かわいい	
103	00:03:30	motiyomogi	かわいい	
104	00:03:31	ラルエメ	おいしい煮玉子	
105	00:03:31	T.のかね	かわいい	
106	00:03:34	こみこ	かわいい	
107	00:03:36	リフェ	かわいい	
108	00:03:36	近藤大輔	ストーリーも触るの？	
109	00:03:36	八木谷	かわいい	
110	00:03:37	HILO	かわいい	
111	00:03:37	えび	かわいい	
112	00:03:39	Illumy noika	アマプラのおまけで付いてくるツイッチプライムやると3か月オンライン無料らしい	
113	00:03:42	abeshi	姉ちゃんが上向いてどうすんの	
114	00:03:43	なんたら	かわいい	
115	00:03:48	りあすて	かわいい	
116	00:03:49	うぇいのる	おいしい煮玉子	
117	00:03:53	らうらう	かわいい	
118	00:03:55	ZW犬死無能盾-肉無鶏	アイカツグッズ買わないといけないからね	
119	00:03:58	HILO	おてて	
120	00:03:59	motiyomogi	かわいい	
121	00:04:02	T.のかね	かわいい	
122	00:04:03	らうらう	かわいい！！	
123	00:04:04	こみこ	かわいすぎる	
124	00:04:05	ヘンリーダーガー	かわいい	
125	00:04:05	刀根雅武	草	
126	00:04:06	せせらぎ	たのしそう	
127	00:04:06	いぶきんぐ	かわいい	
128	00:04:06	マイフェイバリットトリビアン	かわいい	
129	00:04:07	ZW犬死無能盾-肉無鶏	かわいい	
130	00:04:08	えび	かわいい	
131	00:04:10	HILO	かわいい	
132	00:04:11	らうらう	神ゲーかよ！！	
133	00:04:15	りあすて	草	
134	00:04:17	motiyomogi	草	
135	00:04:17	ラルエメ	かわいい	
136	00:04:18	せせらぎ	草	
137	00:04:21	ZW犬死無能盾-肉無鶏	Yボタンだよ姉ちゃん	
138	00:04:22	えび	右スティックで動かそう	
139	00:04:22	HILO	草	
140	00:04:24	畑秋	(≧∇≦)	
141	00:04:25	いぶきんぐ	カメラリセットしちゃった？	
142	00:04:31	abeshi	Yボタンで視点リセット	
143	00:04:51	らうらう	偏差射撃だ	
144	00:04:55	なんたら		￥100
