行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	スモーク	おいしい煮玉子	
3	00:00:00	いぶきんぐ	おいしい煮玉子	
4	00:00:00	うぇいのる	おいしい煮玉子	
5	00:00:00	JUNY	おいしい煮玉子	
6	00:00:00	らうらう	大姉ちゃんどこ	
7	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:00	ねこくーる	おいしい煮玉子	
9	00:00:15	タケノコ男	おいしい煮玉子	
10	00:00:16	seafood	おいしい煮玉子	
11	00:00:17	motiyomogi	おいしい煮玉子	
12	00:00:18	カーマイン	おいしい煮玉子	
13	00:00:20	らうらう	おいしい煮玉子	
14	00:00:21	リフェ	おいしい煮玉子	
15	00:00:22	いぶきんぐ	おいしい煮玉子	
16	00:00:23	T.のかね	おいしい煮玉子	
17	00:00:23	ナウ	おいしい煮玉子	
18	00:00:25	ホワイトラン衛兵	おいしい煮玉子	
19	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
20	00:00:32	ジャック・オー	おいしい煮玉子	
21	00:00:39	らうらう	ｳﾜｰ	
22	00:00:39	K IS	おいしい煮玉子	
23	00:00:46	ホワイトラン衛兵	かわいい	
24	00:00:46	カーマイン	おみず？	
25	00:00:46	JUNY	おいしい煮玉子	
26	00:00:55	タケノコ男	かわいい	
27	00:01:06	カーマイン	かわいい	
28	00:01:18	カーマイン	おいしいコーヒー	
29	00:01:23	いぶきんぐ	かわいい	
30	00:01:33	JUNY	ふわふわ解説	
31	00:01:44	ねこくーる	めでたしめでたし	
32	00:01:53	タケノコ男	かわいい	
33	00:01:54	motiyomogi	かわいい	
34	00:01:55	カーマイン	おくち	
35	00:01:59	seafood	かわいい	
36	00:02:06	いぶきんぐ	フラグは着実に立ってる感じなのが怖い	
37	00:02:12	らうらう	難易度がたかい	
38	00:02:31	にけい	まあ燃えるだろうね	
