行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キタカシ	おいたま～おはたま～おいおに～	
1	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	ほるもん	おいしい煮玉子	
4	00:00:00	弐号。あくじき	おいしい煮玉子	
5	00:00:00	aarar scsrt	おいしい煮玉子	
6	00:00:00	ヘンリーダーガー	おいしい煮玉子	
7	00:00:00	_ Tamaya	おいしいおにぎり	
8	00:00:00	スモーク	おいたま！	
9	00:00:00	eve 8848	おいしい煮玉子	
10	00:00:00	カギアカギ	おいしい煮玉子	
11	00:00:00	キタカシ	おねえちゃんまだかな・・・	
12	00:00:00	天然ステルス	おいしい煮玉子	
13	00:00:15	キタカシ	おいたま～	
14	00:00:17	岸辺一徳	おいしい煮玉子	
15	00:00:18	ねこくーる	おいしい煮玉子	
16	00:00:20	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
17	00:00:21	さんぽーる	おいしい煮玉子	
18	00:00:22	motiyomogi	おいしい煮玉子	
19	00:00:23	カギアカギ	おいたま！	
20	00:00:24	Eトマト	おいしい煮玉子	
21	00:00:29	ジョナサン・グレーン	おいしい煮玉子〜	
22	00:00:32	ロンドベルジェニ	おいしい煮玉子	
23	00:00:39	MrTama02	おいしい煮玉子	
24	00:00:39	もずつき	おいしい煮玉子	
25	00:00:39	mori mori	おいしい	
26	00:00:40	ほるもん	おいしい煮玉子	
27	00:00:41	ナウ	おいしい煮玉子	
28	00:00:49	ゴライアン	美味しい煮卵	
29	00:00:49	キタカシ	ﾁｷﾁｷﾊﾞﾝﾊﾞﾝうまい！	
30	00:00:51	らうらう	おいしい煮玉子	
31	00:01:01	ゴギガガガギゴ	おいしい煮玉子	
32	00:01:01	Eトマト	スーパーヒーロータイムの後のスーパー姉ちゃんタイム	
33	00:01:02	味付けタマゴ	おいしい煮玉子	
34	00:01:06	周恩来	おいしい煮玉子	
35	00:01:07	岸辺一徳	姉ちゃんがうんこの使い方上手くなってる！とおもったらデモだった	
36	00:01:13	ジョナサン・グレーン	SNT	
37	00:01:15	天然ステルス	おいしい煮玉子	
38	00:01:18	キタカシ	チャイ飲んでるの？	
39	00:01:18	周恩来	ごくごく	
40	00:01:21	さんぽーる	メトロイド特有のOPでテクニックを披露する場面だ	
41	00:01:21	柔らな床	おいしい煮玉子	
42	00:01:22	らうらう	かわいい！	
43	00:01:22	むらさきあんこ	おいしい煮玉子	
44	00:01:27	ホワイトラン衛兵	かわいい	
45	00:01:29	ジョナサン・グレーン	かわいい	
46	00:01:31	ゴライアン	ニチアサ終わったと同時にメトロイド	
47	00:01:33	BDUパイソン	おはようございます～	
48	00:01:37	aarar scsrt	今回のスズキ爆発も面白かった	
49	00:01:38	eve 8848	かわいい	
50	00:01:39	mori mori	サムスは丸まってころころ転がる自分に疑問を持ったりしないのだろうか	
51	00:01:42	らうらう	女子力高くないの？	
52	00:01:45	周恩来	かわいい	
53	00:01:47	岸辺一徳	おいしいソイラテ	
54	00:01:55	eve 8848	よかった	
55	00:01:57	プラスワン	姉ちゃん大人！	
56	00:02:01	かたもく	おいしいばくはつ	
57	00:02:03	ヘンリーダーガー	初期カラー姉ちゃんが懐かしかった	
58	00:02:07	らうらう	背伸びしてるJCかな	
59	00:02:09	周恩来	JCでブラックコーヒー飲んだら背が伸びなくなっちゃうよ	
60	00:02:11	ゴライアン	影響されて私も煮卵作ってみました	
61	00:02:13	味付けタマゴ	チャイは女子力なのか	
62	00:02:21	ジョナサン・グレーン	今時のJCらしくタピオカとか飲んでるんでしょ！	
63	00:00:00	キタカシ	おいたま～おはたま～おいおに～	
64	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
65	00:00:00	らうらう	おいしい煮玉子	
66	00:00:00	ほるもん	おいしい煮玉子	
67	00:00:00	弐号。あくじき	おいしい煮玉子	
68	00:00:00	aarar scsrt	おいしい煮玉子	
69	00:00:00	ヘンリーダーガー	おいしい煮玉子	
70	00:00:00	_ Tamaya	おいしいおにぎり	
71	00:00:00	スモーク	おいたま！	
72	00:00:00	eve 8848	おいしい煮玉子	
73	00:00:00	カギアカギ	おいしい煮玉子	
74	00:00:00	キタカシ	おねえちゃんまだかな・・・	
75	00:00:00	天然ステルス	おいしい煮玉子	
76	00:00:15	キタカシ	おいたま～	
77	00:00:17	岸辺一徳	おいしい煮玉子	
78	00:00:18	ねこくーる	おいしい煮玉子	
79	00:00:20	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
80	00:00:21	さんぽーる	おいしい煮玉子	
81	00:00:22	motiyomogi	おいしい煮玉子	
82	00:00:23	カギアカギ	おいたま！	
83	00:00:24	Eトマト	おいしい煮玉子	
84	00:00:29	ジョナサン・グレーン	おいしい煮玉子〜	
85	00:00:32	ロンドベルジェニ	おいしい煮玉子	
86	00:00:39	MrTama02	おいしい煮玉子	
87	00:00:39	もずつき	おいしい煮玉子	
88	00:00:39	mori mori	おいしい	
