行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	カーマイン	よみがえる煮玉子	
1	00:00:00	ジョナサン・グレーン	姉ちゃん分が不足してきた…	
2	00:00:00	Shuzo	あの煮卵がさらにおいしくなって帰ってきた	
3	00:00:00	張島サボ太	おかえりと言える時がくる	
4	00:00:00	なんたら	20周年…JC…思い出…	
5	00:00:00	カギアカギ	おいしい煮玉子	
6	00:00:00	えび	おいしい煮玉子	
7	00:00:00	張島サボ太	おいしい煮玉子	
8	00:00:00	らうらう	​おいしい煮玉子	
9	00:00:00	ラルエメ	おいしい煮玉子	
10	00:00:00	竹輪	おいしい煮玉子	
11	00:00:00	じょーげん	おいしい煮玉子	
12	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
13	00:00:00	カーマイン	おいしい煮玉子	
14	00:00:00	mori mori	ちゃんと説明欄に説明書いてあってえらい	
15	00:00:00	九代目中山稲五朗	おいしい煮玉子	
16	00:00:00	いぶきんぐ	おいしい煮玉子	
17	00:00:00	mk 95	おいしい煮玉子	
18	00:00:00	なんたら	おいしい煮玉子	
19	00:00:00	桜田紅	おいしい煮玉子	
20	00:00:00	せせらぎ	おいたま～	
21	00:00:00	ミワタリ	おいしい煮玉子	
22	00:00:00	こみこ	おいしい煮玉子	
23	00:00:00	ジョナサン・グレーン	ツイーティングえらい	
24	00:00:00	ナウ	おいしい煮玉子	
25	00:00:00	eve	おいしい煮玉子	
26	00:00:00	T.のかね	おいしい煮玉子	
27	00:00:00	ほるもん	おいしい煮玉子	
28	00:00:00	九代目中山稲五朗	20年目の煮玉子	
29	00:00:00	スモーク	おいしい煮玉子	
30	00:00:00	らうらう	卍チャンネル登録お願いします卍 が入っている。高評価	
31	00:00:00	タケノコ男	おいしい煮玉子	
32	00:00:00	K. u	美味しい煮玉子	
33	00:00:00	Ami Saika	おいしい煮玉子	
34	00:00:00	天然ステルス	おいしい煮玉子	
35	00:00:00	_ Die	おいしい煮玉子	
36	00:00:00	Eトマト	おいしい煮玉子	
37	00:00:00	HILO	おいしい煮玉子	
38	00:00:00	HILO	スマブラSPしながらみてる	
39	00:00:00	あまいさい	おいしい煮玉子	
40	00:00:00	ニャンコ先生	おいしい煮玉子	
41	00:00:00	aarar scsrt	おいしい煮玉子！	
42	00:00:00	JUNY	おいしい煮玉子	
43	00:00:00	ふーばー	おいしい煮玉子	
44	00:00:00	近藤亮	おいしい煮玉子	
45	00:00:00	東京コノハムシ	おいしい煮玉子	
46	00:00:10	motiyomogi	おいしい煮玉子	
47	00:00:11	seafood	おいしい煮玉子	
48	00:00:14	Eトマト	おいしい煮玉子	
49	00:00:15	ヌルヌペペ	おいしい煮玉子	
50	00:00:15	張島サボ太	おいしい煮玉子	
51	00:00:16	八木谷	おいしい煮玉子	
52	00:00:17	カギアカギ	おいしい煮玉子	
53	00:00:18	ミワタリ	おいしい煮玉子	
54	00:00:18	タケノコ男	おいしい煮玉子	
55	00:00:19	なんたら	おいしい煮玉子	
56	00:00:19	クロム	おいしい煮玉子	
57	00:00:20	らうらう	​おいしい煮玉子	
58	00:00:20	いぶきんぐ	おいしい煮玉子	
59	00:00:20	ジョナサン・グレーン	おいしい煮玉子	
60	00:00:21	Clacklin/クラックリン	おいしい煮玉子	
61	00:00:21	HILO	おいしい煮玉子	
62	00:00:23	桜田紅	ごそごそ	
63	00:00:23	ほるもん	おいしい煮玉子	
64	00:00:25	mk 95	おいしい煮玉子	
65	00:00:25	岸辺一徳	おいしい煮玉子	
66	00:00:26	えび	おいしい煮玉子	
67	00:00:26	天然ステルス	おいしい煮玉子	
68	00:00:27	フレイムリンクス	おいしい煮玉子	
69	00:00:27	T.のかね	おいしい煮玉子	
70	00:00:28	タチバナ556	おいしい煮玉子	
71	00:00:29	C.ジョンソン	おいしい煮玉子	
72	00:00:29	近藤亮	おいしい煮玉子	
73	00:00:29	eve	おいしい煮玉子	
74	00:00:30	じょーげん	おいしい煮玉子	
75	00:00:30	Eトマト	おお、額縁が進化してる	
76	00:00:31	ジュンペイ	おいしいちくわ	
77	00:00:32	むらさきあんこ	おいしい煮玉子	
78	00:00:34	まておりっち	おいしい煮玉子	
79	00:00:34	ねこくーる	おいしい煮玉子	
80	00:00:35	こみこ	おいしい煮玉子	
81	00:00:37	竹輪	おいしい煮玉子	
82	00:00:39	Shuzo	​おいしい煮玉子	
83	00:00:41	九代目中山稲五朗	おいしい煮玉子	
84	00:00:41	_ Die	おいしい煮玉子	
85	00:00:41	らうらう	かわいい	
86	00:00:42	mori mori	すごいひさしぶり	
87	00:00:42	むむめめ	おいしい煮玉子	
88	00:00:47	らうらう	もはやかわいい	
89	00:00:47	ラルエメ	おいしい煮玉子	
90	00:00:48	ジョナサン・グレーン	かわいい	
91	00:00:51	ナウ	おかえり姉ちゃん	
92	00:00:51	ミワタリ	懐かしい	
93	00:00:55	あのあれ	デリシャス煮玉子	
94	00:00:56	HILO	声調子わるい？	
95	00:00:56	竹輪	かわいい	
96	00:00:00	カーマイン	よみがえる煮玉子	
97	00:00:00	ジョナサン・グレーン	姉ちゃん分が不足してきた…	
98	00:00:00	Shuzo	あの煮卵がさらにおいしくなって帰ってきた	
99	00:00:00	張島サボ太	おかえりと言える時がくる	
100	00:00:00	なんたら	20周年…JC…思い出…	
101	00:00:00	カギアカギ	おいしい煮玉子	
102	00:00:00	えび	おいしい煮玉子	
103	00:00:00	張島サボ太	おいしい煮玉子	
104	00:00:00	らうらう	​おいしい煮玉子	
105	00:00:00	ラルエメ	おいしい煮玉子	
106	00:00:00	竹輪	おいしい煮玉子	
107	00:00:00	じょーげん	おいしい煮玉子	
108	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
109	00:00:00	カーマイン	おいしい煮玉子	
110	00:00:00	mori mori	ちゃんと説明欄に説明書いてあってえらい	
111	00:00:00	九代目中山稲五朗	おいしい煮玉子	
112	00:00:00	いぶきんぐ	おいしい煮玉子	
113	00:00:00	mk 95	おいしい煮玉子	
114	00:00:00	なんたら	おいしい煮玉子	
115	00:00:00	桜田紅	おいしい煮玉子	
116	00:00:00	せせらぎ	おいたま～	
117	00:00:00	ミワタリ	おいしい煮玉子	
118	00:00:00	こみこ	おいしい煮玉子	
119	00:00:00	ジョナサン・グレーン	ツイーティングえらい	
120	00:00:00	ナウ	おいしい煮玉子	
121	00:00:00	eve	おいしい煮玉子	
122	00:00:00	T.のかね	おいしい煮玉子	
123	00:00:00	ほるもん	おいしい煮玉子	
124	00:00:00	九代目中山稲五朗	20年目の煮玉子	
125	00:00:00	スモーク	おいしい煮玉子	
126	00:00:00	らうらう	卍チャンネル登録お願いします卍 が入っている。高評価	
