行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	霜月翔生希	お疲れ様煮玉子	
1	00:00:00	山梨悟	樹木希林亡くなったってね	
2	00:00:00	岸辺一徳	おいしい煮玉子	
3	00:00:00	カーマイン	ポエムコアは無敵だ	￥240
4	00:00:00	hibisティオレー	おめ卍！	￥500
5	00:00:12	あい	おいしい煮玉子	
6	00:00:17	Redmix	おいしい煮玉子	
7	00:00:17	なんたら	おいしい煮玉子	
8	00:00:18	スモーク	おいたま	
9	00:00:20	うぇいのる	おいしい煮玉子	
10	00:00:22	らうらう	　＜おいしい煮玉子＞:クゥフランゾーパークゥフランゾーパー2:	
11	00:00:23	なる	おいしい煮玉子	
12	00:00:25	むらさきあんこ	2枠目煮玉子	
13	00:00:26	ジャック・オー	おいしい煮玉子	
14	00:00:29	ヌルヌペペ	おいしい煮玉子	
15	00:00:30	カギカギ	おいしい煮玉子	
16	00:00:30	まつ	PK煮玉子	
17	00:00:30	ああ	おいしい煮玉子	
18	00:00:31	らうらう	ゆらゆらかわいい	
19	00:00:32	あざーら	おいしい煮玉子～	
20	00:00:32	しれちゅー	おいしい煮玉子	
21	00:00:33	biggs	おいしい煮玉子	
22	00:00:35	リフェ	おいしい煮玉子	
23	00:00:40	じょーげん	おいしい煮玉子	
24	00:00:42	岸辺一徳	ASMRおいしい煮玉子	
25	00:00:42	ゴギガガガギゴ	おいしい煮玉子	
26	00:00:45	むぎやちゃんねる	おいしい煮玉子	
27	00:00:46	タケノコ男	おいしい煮玉子	
28	00:00:55	ねこくーる	おいしい煮玉子	
29	00:00:58	霜月翔生希	おいしい煮玉子	
30	00:01:06	山梨悟	おいしい煮玉子	
31	00:01:08	デンキヒツジ	おいしい煮玉子	
32	00:01:33	ブロア	おいしい煮玉子	
33	00:01:45	HILO	おいしい煮玉子	
34	00:01:45	助六	おいしい煮玉子	
35	00:01:48	ほるもん	おいしい煮玉子	
36	00:02:25	ジョナサン・グレーン	おいしい煮玉子	
37	00:02:44	HILO	初見です、かわいいですね	
38	00:02:52	べるべる	おいしい煮玉子	
39	00:03:17	天然ステルス	おいしい煮玉子	
40	00:03:18	うぇいのる	昔のゲームだからレベル差はなぁ…	
41	00:03:21	ジョナサン・グレーン	私も初見です。かわいいですね	
