行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ねこくーる	昨日調子悪くならなくてよかった…	
1	00:00:00	生霊X	姉ちゃんが絶対しなそうなポーズ	
2	00:00:00	らうらう	こんな笑顔がみたい	
3	00:00:00	究極ド根性ダイコン	姉ちゃん心が壊れないと笑顔にならないし…	
4	00:00:00	らうらう		￥100
5	00:00:00	岸辺一徳		￥100
6	00:00:14	ブロア	おいしい煮玉子	
7	00:00:19	あい	おいしい煮玉子	
8	00:00:20	ジョナサン・グレーン	おいしい煮玉子	
9	00:00:20	らうらう	おいしい煮玉子	
10	00:00:24	プラスワン	おいしい煮玉子	
11	00:00:25	ドソドソ	おいしい煮玉子	
12	00:00:25	biggs	おいしい煮玉子	
13	00:00:31	ねこくーる	おかえりなさい	
14	00:00:33	近藤亮	おいしい煮玉子	
15	00:00:33	バリ島のサボテン	おいしい煮玉子	
16	00:00:34	_ Die	おいしい煮玉子	
17	00:00:34	量産型雑魚	おかえり煮玉子	
18	00:00:35	灘こよみ	おいしい煮玉子	
19	00:00:35	ゆるふわ院	おいしい煮玉子	
20	00:00:38	毒入りトマト	おかえりー	
21	00:00:40	ろくほう	おいしい煮玉子	
22	00:00:41	スモーク	おかえり	
23	00:00:41	かたもく	おかえり姉ちゃん	
24	00:00:50	K. u	おいしい煮玉子	
25	00:00:53	くれみ	ダチョウの煮玉子	
26	00:00:56	blank	おいしい煮玉子	
27	00:01:00	K.T. ジャックリン	おいしい煮玉子	
28	00:01:16	やみ鍋	おいしい煮玉子	
29	00:01:21	ニシキゴイ	おいしい煮玉子	
30	00:01:30	らうらう	#3ぐらいまでに終わるといいな ←これいける？？？？？	
31	00:01:52	ブロア	かわいい	
32	00:01:53	まきお	このジャンプするやつ嫌い	
33	00:01:55	ジョナサン・グレーン	かわいい	
34	00:01:58	毒入りトマト	＃10まで行く説	
35	00:02:13	かたもく	RTAすれば行けるよ！	
36	00:02:14	ブロア	いなかったかな	
37	00:02:18	毒入りトマト	＼アッー／	
38	00:02:21	まきお	1はいなかったはず	
39	00:02:25	くれみ	当時の年代でこのグラはすごい。CGをなんかして作ったとか	
40	00:02:31	佐藤太郎	1にはいない……はす	
41	00:02:42	天然ステルス	おいしい煮玉子	
42	00:02:52	味付けタマゴ	おいしい煮玉子	
43	00:02:53	アアア	アウターワールド並みに動きがヤバい	
44	00:02:54	ブロア	１のボーナスあんま面白くない	
45	00:02:55	はまちハウマッチ	おいしい煮玉子	
46	00:02:59	パリパリ海苔	1no	
47	00:03:01	らうらう	音楽もすごいし	
48	00:03:01	まきお	レア社はグラフィックがPC基準	
49	00:03:07	バリ島のサボテン	かわいい	
50	00:03:08	ニシキゴイ	草	
51	00:03:09	毒入りトマト	この時代にこれは凄いね	
52	00:03:12	パリパリ海苔	１の時点でクオリティが高すぎる・・・	
53	00:03:14	ブロア	うまい！	
54	00:00:00	ねこくーる	昨日調子悪くならなくてよかった…	
55	00:00:00	生霊X	姉ちゃんが絶対しなそうなポーズ	
56	00:00:00	らうらう	こんな笑顔がみたい	
57	00:00:00	究極ド根性ダイコン	姉ちゃん心が壊れないと笑顔にならないし…	
58	00:00:00	らうらう		￥100
59	00:00:00	岸辺一徳		￥100
60	00:00:14	ブロア	おいしい煮玉子	
61	00:00:19	あい	おいしい煮玉子	
62	00:00:20	ジョナサン・グレーン	おいしい煮玉子	
63	00:00:20	らうらう	おいしい煮玉子	
64	00:00:24	プラスワン	おいしい煮玉子	
65	00:00:25	ドソドソ	おいしい煮玉子	
66	00:00:25	biggs	おいしい煮玉子	
67	00:00:31	ねこくーる	おかえりなさい	
68	00:00:33	近藤亮	おいしい煮玉子	
69	00:00:33	バリ島のサボテン	おいしい煮玉子	
70	00:00:34	_ Die	おいしい煮玉子	
71	00:00:34	量産型雑魚	おかえり煮玉子	
72	00:00:35	灘こよみ	おいしい煮玉子	
73	00:00:35	ゆるふわ院	おいしい煮玉子	
74	00:00:38	毒入りトマト	おかえりー	
75	00:00:40	ろくほう	おいしい煮玉子	
76	00:00:41	スモーク	おかえり	
77	00:00:41	かたもく	おかえり姉ちゃん	
78	00:00:50	K. u	おいしい煮玉子	
79	00:00:53	くれみ	ダチョウの煮玉子	
80	00:00:56	blank	おいしい煮玉子	
81	00:01:00	K.T. ジャックリン	おいしい煮玉子	
82	00:01:16	やみ鍋	おいしい煮玉子	
83	00:01:21	ニシキゴイ	おいしい煮玉子	
84	00:01:30	らうらう	#3ぐらいまでに終わるといいな ←これいける？？？？？	
85	00:01:52	ブロア	かわいい	
86	00:01:53	まきお	このジャンプするやつ嫌い	
87	00:01:55	ジョナサン・グレーン	かわいい	
88	00:01:58	毒入りトマト	＃10まで行く説	
89	00:02:13	かたもく	RTAすれば行けるよ！	
90	00:02:14	ブロア	いなかったかな	
91	00:02:18	毒入りトマト	＼アッー／	
92	00:02:21	まきお	1はいなかったはず	
93	00:02:25	くれみ	当時の年代でこのグラはすごい。CGをなんかして作ったとか	
94	00:02:31	佐藤太郎	1にはいない……はす	
95	00:02:42	天然ステルス	おいしい煮玉子	
96	00:02:52	味付けタマゴ	おいしい煮玉子	
97	00:02:53	アアア	アウターワールド並みに動きがヤバい	
98	00:02:54	ブロア	１のボーナスあんま面白くない	
99	00:02:55	はまちハウマッチ	おいしい煮玉子	
100	00:02:59	パリパリ海苔	1no	
101	00:03:01	らうらう	音楽もすごいし	
102	00:03:01	まきお	レア社はグラフィックがPC基準	
103	00:03:07	バリ島のサボテン	かわいい	
104	00:03:08	ニシキゴイ	草	
105	00:03:09	毒入りトマト	この時代にこれは凄いね	
106	00:03:12	パリパリ海苔	１の時点でクオリティが高すぎる・・・	
107	00:03:14	ブロア	うまい！	
108	00:03:23	まきお	うまい	
109	00:03:25	近藤亮	うまい	
110	00:03:26	あい	うまい	
111	00:03:27	タケノコ男	うまい	
112	00:03:27	T.のかね	さす姉	
113	00:03:28	くれみ	ナイス	
114	00:03:30	岸辺一徳	よしよしかわいい	
115	00:03:30	はまちハウマッチ	うまい	
116	00:03:49	かたもく	レア社でてドンキー以外に何あったっけ、バンジョとカズーイ？	
117	00:03:50	パリパリ海苔	コン	
118	00:03:51	はまちハウマッチ	ぼよよんタイヤくんすき	
119	00:03:55	ジョナサン・グレーン	うまい	
120	00:04:07	パリパリ海苔	あ、おうまてい、コンカーを忘れてるぞ！	
121	00:04:10	アアア	ドンキーやったことないって友達に言うと信じられないって言われる	
122	00:04:12	まきお	ボーナスの扉基本ノーヒントなのが	
123	00:04:17	ブロア	やさしい	
124	00:04:39	はまちハウマッチ	ディディーコングレーシングによくわからないレア社製ゲームのキャラいっぱいいた気がする	
125	00:04:41	パリパリ海苔	草	
126	00:04:41	ブロア	かわいい	
127	00:04:43	mori mori	草	
128	00:04:43	ニシキゴイ	ｗｗ	
129	00:04:44	岸辺一徳	草	
130	00:04:44	らうらう	かわいい！	
131	00:04:46	あい	草	
132	00:04:46	タケノコ男	かわいい	
133	00:04:47	灘こよみ	草	
134	00:04:48	くれみ	1のボーナスは基本的にはいければOK。クリア出来なくてもいい	
135	00:04:49	かたもく	草	
136	00:04:50	カギカギ	かわいい	
137	00:04:51	しれちゅー	初見殺しすぎる	
138	00:04:51	ろくほう	かわいい	
139	00:04:52	ジョナサン・グレーン	かわいい	
140	00:04:55	近藤亮	草	
141	00:04:56	biggs	かわいい	
142	00:04:59	もっけい	かわいい	
143	00:05:01	かっちん.	壁という壁にバレルを投げる作業	
