行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	スモーク	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	竹輪	おいしい煮玉子	
5	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
6	00:00:00	カーマイン	おいしい煮玉子	
7	00:00:17	motiyomogi	おいしい煮玉子	
8	00:00:24	カギカギ	おいしい煮玉子	
9	00:00:24	mori mori	ついに	
10	00:00:25	eve	おいしい煮玉子	
11	00:00:37	motiyomogi	がんばえー	
12	00:00:45	sio3go	おいしい煮玉子	
13	00:00:50	カーマイン	がんばえー	
14	00:00:57	竹輪	がんばえー！	
15	00:01:06	八木谷	おいしい煮玉子	
16	00:01:06	スモーク	きもい	
17	00:01:10	リフェ	きもい…	
18	00:01:24	ナウ	おいしい煮玉子	
19	00:01:25	ジャック・オー	おいしい煮玉子	
20	00:01:27	motiyomogi	ゲーム音きてないかも	
21	00:01:32	リフェ	ゲーム音出てないね	
22	00:01:57	リフェ	なったー	
23	00:02:00	スモーク	おｋ	
24	00:02:09	カーマイン	出た	
25	00:02:12	10あああ	おいしい煮玉子	
26	00:03:38	T.のかね	おいしい煮玉子	
27	00:03:51	mori mori	それ先週も言って	
28	00:05:30	スモーク	猫背なだけだった	
29	00:05:37	らうらう	(;´Д｀)ﾊｧﾊｧ	
30	00:06:06	らうらう	JDにはつうじるか	
31	00:06:35	竹輪	みんな強くなった	
32	00:06:43	いぶきんぐ	おいしい煮玉子	
33	00:07:45	なんたら	こんばんは	
34	00:08:14	eve	つらそう	
35	00:10:58	うぇいのる	おいしい煮玉子	
36	00:12:46	motiyomogi	やったね	
37	00:12:50	ねこくーる	おいしい煮玉子	
38	00:12:51	スモーク	やったぜ	
39	00:12:54	ホワイトラン衛兵	やったね	
40	00:12:56	竹輪	やったね	
41	00:12:58	カーマイン	やったね	
42	00:13:03	なんたら	なんなく	
43	00:13:50	スモーク	え	
44	00:13:55	らうらう	？	
45	00:13:55	motiyomogi	？？？？？	
46	00:14:04	ホワイトラン衛兵	？	
47	00:14:24	ねこくーる	一体何が	
48	00:16:13	月わに	おいしい煮たまご	
49	00:17:12	なんたら	たしかに	
50	00:17:37	竹輪	草	
51	00:17:40	リフェ	はやい	
52	00:17:42	motiyomogi	草	
53	00:17:46	らうらう	いつもの	
54	00:17:47	ホワイトラン衛兵	草	
55	00:18:41	ねこくーる	ラスダン避けれない敵が多いね	
56	00:18:50	motiyomogi	おみず	
57	00:00:00	らうらう	おいしい煮玉子	
58	00:00:00	スモーク	おいしい煮玉子	
59	00:00:00	カギカギ	おいしい煮玉子	
60	00:00:00	リフェ	おいしい煮玉子	
61	00:00:00	竹輪	おいしい煮玉子	
62	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
63	00:00:00	カーマイン	おいしい煮玉子	
64	00:00:17	motiyomogi	おいしい煮玉子	
65	00:00:24	カギカギ	おいしい煮玉子	
66	00:00:24	mori mori	ついに	
67	00:00:25	eve	おいしい煮玉子	
68	00:00:37	motiyomogi	がんばえー	
69	00:00:45	sio3go	おいしい煮玉子	
70	00:00:50	カーマイン	がんばえー	
71	00:00:57	竹輪	がんばえー！	
72	00:01:06	八木谷	おいしい煮玉子	
73	00:01:06	スモーク	きもい	
74	00:01:10	リフェ	きもい…	
75	00:01:24	ナウ	おいしい煮玉子	
76	00:01:25	ジャック・オー	おいしい煮玉子	
77	00:01:27	motiyomogi	ゲーム音きてないかも	
78	00:01:32	リフェ	ゲーム音出てないね	
79	00:01:57	リフェ	なったー	
80	00:02:00	スモーク	おｋ	
81	00:02:09	カーマイン	出た	
82	00:02:12	10あああ	おいしい煮玉子	
83	00:03:38	T.のかね	おいしい煮玉子	
84	00:03:51	mori mori	それ先週も言って	
85	00:05:30	スモーク	猫背なだけだった	
86	00:05:37	らうらう	(;´Д｀)ﾊｧﾊｧ	
87	00:06:06	らうらう	JDにはつうじるか	
88	00:06:35	竹輪	みんな強くなった	
89	00:06:43	いぶきんぐ	おいしい煮玉子	
90	00:07:45	なんたら	こんばんは	
91	00:08:14	eve	つらそう	
92	00:10:58	うぇいのる	おいしい煮玉子	
93	00:12:46	motiyomogi	やったね	
94	00:12:50	ねこくーる	おいしい煮玉子	
95	00:12:51	スモーク	やったぜ	
96	00:12:54	ホワイトラン衛兵	やったね	
97	00:12:56	竹輪	やったね	
98	00:12:58	カーマイン	やったね	
99	00:13:03	なんたら	なんなく	
100	00:13:50	スモーク	え	
101	00:13:55	らうらう	？	
102	00:13:55	motiyomogi	？？？？？	
103	00:14:04	ホワイトラン衛兵	？	
104	00:14:24	ねこくーる	一体何が	
105	00:16:13	月わに	おいしい煮たまご	
106	00:17:12	なんたら	たしかに	
107	00:17:37	竹輪	草	
108	00:17:40	リフェ	はやい	
109	00:17:42	motiyomogi	草	
110	00:17:46	らうらう	いつもの	
111	00:17:47	ホワイトラン衛兵	草	
112	00:18:41	ねこくーる	ラスダン避けれない敵が多いね	
113	00:18:50	motiyomogi	おみず	
114	00:20:51	スモーク	草	
115	00:21:13	motiyomogi	なにこれ	
116	00:22:35	らうらう	かしこい	
117	00:22:37	JUNY	おいしい煮玉子	
118	00:23:00	ねこくーる	赤は複数同時に上がってるね	
119	00:23:33	なんたら	うん？	
120	00:24:06	竹輪	わからん	
121	00:24:09	eve	ややこしい	
122	00:27:46	motiyomogi	かしこい	
123	00:27:55	カーマイン	かしこい	
124	00:27:56	なんたら	賢い	
125	00:27:57	竹輪	かしこい	
126	00:28:25	竹輪	がんばえー！	
127	00:29:13	竹輪	かわいい	
128	00:29:16	スモーク	草	
129	00:29:20	カギカギ	かわいい	
130	00:31:54	ねこくーる	使えないカード入れてるのかな	
131	00:33:50	内海柚	おいしい煮玉子ー	
132	00:35:23	りあすて	おいしい煮玉子 ラスダンどうですか？	
133	00:36:21	なんたら	殴られても回復すればええ	
134	00:37:42	motiyomogi	おみず	
135	00:37:47	JUNY	おみず	
136	00:37:48	竹輪	おみず	
137	00:37:50	カーマイン	おみず	
138	00:38:35	motiyomogi	やったね	
139	00:38:48	竹輪	やったね	
140	00:39:07	内海柚	混乱のときは思い切って手札圧縮したほうがよさげ？	
141	00:40:17	motiyomogi	草	
142	00:40:21	竹輪	草	
143	00:41:04	motiyomogi	すごい	
144	00:41:05	ホワイトラン衛兵	つよい	
145	00:41:10	いぶきんぐ	そくしこわい	
146	00:41:12	ねこくーる	かっこいい	
147	00:43:13	ねこくーる	中ボスより2回攻撃の雑魚が怖い	
148	00:43:57	スモーク	ナイス回避	
149	00:44:58	スモーク	草	
150	00:45:02	mori mori	来週からは2だね	
151	00:45:04	なんたら	うまい	
152	00:45:04	リフェ	草	
153	00:45:08	いぶきんぐ	ナイス回避	
154	00:45:59	スモーク	視点遠いな	
155	00:46:04	リフェ	ちら見せなのか…	
156	00:46:09	なんたら	マップ？	
157	00:46:45	motiyomogi	かわいい	
158	00:46:46	りあすて	かわいい	
159	00:46:46	らうらう	かわいい	
160	00:46:49	スモーク	草	
161	00:46:50	カーマイン	かわいい	
162	00:46:55	内海柚	がんばれー	
163	00:48:14	りあすて	無	
164	00:49:24	りあすて	でも姉ちゃんがボスだったらリュードさんだけ狙いたくならない？	
165	00:50:04	カーマイン	草	
166	00:50:15	なんたら	歪んでる	
167	00:50:43	らうらう	くしょ	
168	00:50:47	りあすて	今の声猫みたいで可愛かった	
169	00:51:21	なんたら		￥100
170	00:52:23	motiyomogi	かわいい	
171	00:52:27	カーマイン	かわいい	
172	00:52:27	竹輪	かわいい	
173	00:54:19	ねこくーる	パターンは同じだね	
174	00:55:16	白銀ユリア	おいしいにまたご	
175	00:56:46	らうらう	つよい	
176	00:56:47	東京コノハムシ	やったね	
177	00:56:47	りあすて	マジですか？	
178	00:56:48	T.のかね	まじか	
179	00:56:50	ねこくーる	え？？	
180	00:56:50	なんたら	何	
181	00:56:51	竹輪	つよい	
182	00:56:51	motiyomogi	つよい	
183	00:56:52	ホワイトラン衛兵	つよい…	
184	00:56:52	カーマイン	つよい	
185	00:56:54	カギカギ	つよい	
186	00:56:55	リフェ	すごい	
187	00:56:55	mk 95	やったね	
188	00:56:57	白銀ユリア	つよい	
189	00:56:57	いぶきんぐ	つよすぎる…	
190	00:56:59	究極ド根性ダイコン	つよい	
191	00:57:08	ナウ	死んだわあいつ	
192	00:57:13	内海柚	つよい	
193	00:57:22	りあすて	オイオイオイ	
