行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	桜田紅	おいしい煮玉子	
1	00:00:00	九代目中山稲五朗	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	T.のかね	​おいしい煮玉子	
4	00:00:00	カギカギ	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	いぶきんぐ	おいしい煮玉子	
7	00:00:00	JUNY	おいしい煮玉子	
8	00:00:00	スモーク	おいしい煮玉子	
9	00:00:00	クロムア	おいしい煮玉子	
10	00:00:00	九代目中山稲五朗	煮玉子対決	
11	00:00:00	しれちゅー	​おいしい煮玉子	
12	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
13	00:00:00	ヌルヌペペ	おいしい煮玉子	
14	00:00:00	カーマイン	ARENA OF BOILED EGG	
15	00:00:00	近藤亮	おいしい煮玉子	
16	00:00:00	こみこ	おいしい煮玉子	
17	00:00:00	seafood	おいしい煮玉子	
18	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
19	00:00:00	ジョナサン・グレーン	伝説って？	
20	00:00:00	クロムア	ああ！	
21	00:00:00	カーマイン	NEURONくんがんばれ代	￥1,200
22	00:00:05	カーマイン	それってハネクリボー？	
23	00:00:11	九代目中山稲五朗	それってハネクリボー？	
24	00:00:12	岸辺一徳	おいしい煮玉子	
25	00:00:13	ああ	おいしい煮た孫	
26	00:00:14	aarar scsrt	おいしい煮玉子	
27	00:00:16	いぶきんぐ	おいしい煮玉子	
28	00:00:21	九代目中山稲五朗	おいしい煮玉子	
29	00:00:23	カーマイン	おいしい煮玉子	
30	00:00:23	motiyomogi	おいしい煮玉子	
31	00:00:24	タケノコ男	おいしい煮玉子	
32	00:00:24	こみこ	ああ！	
33	00:00:25	_ Die	おいしい煮玉子	
34	00:00:27	らうらう	かわいい	
35	00:00:28	カギカギ	かわいい	
36	00:00:29	リフェ	おいしい煮玉子	
37	00:00:31	T.のかね	ああ！	
38	00:00:32	aarar scsrt	かわいい	
39	00:00:33	タケノコ男	かわいい	
40	00:00:36	スモーク	？	
41	00:00:38	にけい	おいしい煮玉子	
42	00:00:40	EEB	おいしい煮玉子	
43	00:00:41	らうらう	​おいしい煮玉子	
44	00:00:42	カーマイン	かわいい	
