行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ゼッケン100	おいしい煮玉子	
1	00:00:00	ジャック・オー	おいしい煮玉子	
2	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
3	00:00:00	らうらう	おいしい煮玉子	
4	00:00:00	_ Die	おいしい煮玉子	
5	00:00:00	ヌルヌペペ	おいしい煮玉子	
6	00:00:00	seafood	おいしい煮玉子	
7	00:00:00	スモーク	おいしい煮玉子	
8	00:00:00	カギカギ	おいしい煮玉子	
9	00:00:00	パンセポンセ	おいしい煮玉子	
10	00:00:00	桜田紅	おいしい煮玉子	
11	00:00:00	リフェ	おいしい煮玉子	
12	00:00:00	さけとば	おいしい煮玉子	
13	00:00:00	九代目中山稲五朗	おいしい煮玉子	
14	00:00:00	八木谷	おいしい煮玉子	
15	00:00:00	うましゃく	おいしい煮玉子	
16	00:00:00	拡散の尖兵	おいしい煮玉子	
17	00:00:00	ふーばー	おいしい煮玉子	
18	00:00:00	sas b	おいしい煮玉子	
19	00:00:00	ゼッケン100	じまんの玉	
20	00:00:00	畑秋	おいしい煮玉子　	
21	00:00:00	九代目中山稲五朗	MYSTERY OF NITAMAGO	
22	00:00:00	天然ステルス	おいしい煮玉子	
23	00:00:09	ナウ	おいしい煮玉子	
24	00:00:12	岸辺一徳	おいしい煮玉子	
25	00:00:13	のねずみ	おいしい煮玉子	
26	00:00:13	うぇいのる	おいしい煮玉子	
27	00:00:14	なんたら	おいしい煮玉子	
28	00:00:15	九代目中山稲五朗	おいしい煮玉子	
29	00:00:16	らうらう	おいしい煮玉子	
30	00:00:17	motiyomogi	おいしい煮玉子	
31	00:00:17	カギカギ	おいしい煮玉子	
32	00:00:17	ジャック・オー	おいしい煮玉子	
33	00:00:18	むらさきあんこ	おいしい煮玉子	
34	00:00:19	ジョナサン・グレーン	またなんか落としてる…	
35	00:00:19	パンセポンセ	おいしい煮玉子	
36	00:00:20	ゼッケン100	おいしい煮玉子	
37	00:00:20	タケノコ男	おいしい煮玉子	
38	00:00:21	にけい	おいしい煮玉子	
39	00:00:22	ナウ	かわいい	
40	00:00:24	くーねる	おいしい煮玉子	
41	00:00:25	ほるもん	おいしい煮玉子	
42	00:00:27	らうらう	落とした？？	
43	00:00:32	biki koto	おいしい煮玉子	
44	00:00:33	ねぎ男	おいしい煮玉子	
45	00:00:33	拡散の尖兵	おいしい煮玉子	
46	00:00:36	Ryo Kamiya	おいしい煮玉子	
47	00:00:36	ゼッケン100	かわいい	
48	00:00:37	ふーばー	かわいい	
49	00:00:37	motiyomogi	おみず？	
50	00:00:38	sio3go	おいしい煮玉子	
51	00:00:40	はおたど	おいしい煮玉子	
52	00:00:41	パンセポンセ	あら？	
53	00:00:41	まりも	おいしい煮玉子	
54	00:00:42	計喜	おいしい煮玉子	
55	00:00:42	タケノコ男	かわいい	
56	00:00:45	ジョナサン・グレーン	おいしい煮玉子	
57	00:00:48	mk 95	おいしい煮玉子	
58	00:00:51	スモーク	草	
59	00:00:51	拡散の尖兵	クソゲーです	
60	00:00:52	_ Die	おいしい煮玉子	
61	00:00:53	ミワタリ	おいしい煮玉子	
62	00:00:55	にけい	「クソゲーです」	
63	00:00:55	ゼッケン100	クソゲーです（無慈悲）	
64	00:00:56	ねぎ男	草	
65	00:00:57	マイフェイバリットトリビアン	おいしい煮玉子	
66	00:00:57	ナウ	クゥソゲーだあ	
67	00:00:58	mori mori	流れるようなクソゲー宣言だ	
68	00:00:58	ふーばー	ストレートに	
69	00:01:00	山の田んぼ	おいしい煮玉子	
70	00:01:05	うぇいのる	野球ゲームだろうなぁ	
71	00:01:07	Nal Otokomos	おいしい煮玉子	
72	00:01:08	K. u	野球ゲームかと思うけど…	
73	00:00:00	ゼッケン100	おいしい煮玉子	
74	00:00:00	ジャック・オー	おいしい煮玉子	
75	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
76	00:00:00	らうらう	おいしい煮玉子	
77	00:00:00	_ Die	おいしい煮玉子	
78	00:00:00	ヌルヌペペ	おいしい煮玉子	
79	00:00:00	seafood	おいしい煮玉子	
80	00:00:00	スモーク	おいしい煮玉子	
81	00:00:00	カギカギ	おいしい煮玉子	
82	00:00:00	パンセポンセ	おいしい煮玉子	
83	00:00:00	桜田紅	おいしい煮玉子	
84	00:00:00	リフェ	おいしい煮玉子	
85	00:00:00	さけとば	おいしい煮玉子	
86	00:00:00	九代目中山稲五朗	おいしい煮玉子	
87	00:00:00	八木谷	おいしい煮玉子	
88	00:00:00	うましゃく	おいしい煮玉子	
89	00:00:00	拡散の尖兵	おいしい煮玉子	
90	00:00:00	ふーばー	おいしい煮玉子	
91	00:00:00	sas b	おいしい煮玉子	
92	00:00:00	ゼッケン100	じまんの玉	
93	00:00:00	畑秋	おいしい煮玉子　	
94	00:00:00	九代目中山稲五朗	MYSTERY OF NITAMAGO	
95	00:00:00	天然ステルス	おいしい煮玉子	
96	00:00:09	ナウ	おいしい煮玉子	
97	00:00:12	岸辺一徳	おいしい煮玉子	
98	00:00:13	のねずみ	おいしい煮玉子	
99	00:00:13	うぇいのる	おいしい煮玉子	
100	00:00:14	なんたら	おいしい煮玉子	
101	00:00:15	九代目中山稲五朗	おいしい煮玉子	
102	00:00:16	らうらう	おいしい煮玉子	
103	00:00:17	motiyomogi	おいしい煮玉子	
104	00:00:17	カギカギ	おいしい煮玉子	
105	00:00:17	ジャック・オー	おいしい煮玉子	
106	00:00:18	むらさきあんこ	おいしい煮玉子	
107	00:00:19	ジョナサン・グレーン	またなんか落としてる…	
108	00:00:19	パンセポンセ	おいしい煮玉子	
109	00:00:20	ゼッケン100	おいしい煮玉子	
110	00:00:20	タケノコ男	おいしい煮玉子	
111	00:00:21	にけい	おいしい煮玉子	
112	00:00:22	ナウ	かわいい	
113	00:00:24	くーねる	おいしい煮玉子	
114	00:00:25	ほるもん	おいしい煮玉子	
115	00:00:27	らうらう	落とした？？	
116	00:00:32	biki koto	おいしい煮玉子	
117	00:00:33	ねぎ男	おいしい煮玉子	
118	00:00:33	拡散の尖兵	おいしい煮玉子	
119	00:00:36	Ryo Kamiya	おいしい煮玉子	
120	00:00:36	ゼッケン100	かわいい	
121	00:00:37	ふーばー	かわいい	
122	00:00:37	motiyomogi	おみず？	
123	00:00:38	sio3go	おいしい煮玉子	
124	00:00:40	はおたど	おいしい煮玉子	
125	00:00:41	パンセポンセ	あら？	
126	00:00:41	まりも	おいしい煮玉子	
127	00:00:42	計喜	おいしい煮玉子	
128	00:00:42	タケノコ男	かわいい	
129	00:00:45	ジョナサン・グレーン	おいしい煮玉子	
130	00:00:48	mk 95	おいしい煮玉子	
131	00:00:51	スモーク	草	
132	00:00:51	拡散の尖兵	クソゲーです	
133	00:00:52	_ Die	おいしい煮玉子	
134	00:00:53	ミワタリ	おいしい煮玉子	
135	00:00:55	にけい	「クソゲーです」	
136	00:00:55	ゼッケン100	クソゲーです（無慈悲）	
137	00:00:56	ねぎ男	草	
138	00:00:57	マイフェイバリットトリビアン	おいしい煮玉子	
139	00:00:57	ナウ	クゥソゲーだあ	
140	00:00:58	mori mori	流れるようなクソゲー宣言だ	
141	00:00:58	ふーばー	ストレートに	
142	00:01:00	山の田んぼ	おいしい煮玉子	
143	00:01:05	うぇいのる	野球ゲームだろうなぁ	
144	00:01:07	Nal Otokomos	おいしい煮玉子	
145	00:01:08	K. u	野球ゲームかと思うけど…	
146	00:01:10	ジョナサン・グレーン	クソゲーです。	
147	00:01:11	歌川	おいしい煮玉子	
148	00:01:12	はおたど	犯人は姉ちゃんの家族を解放しろ	
149	00:01:13	こみこ	おいしい煮玉子	
150	00:01:13	パンセポンセ	ミステリーオブトライアングル	
151	00:01:13	御早和杯	おいしい煮玉子	
152	00:01:13	biki koto	くにおくん？	
153	00:01:13	九代目中山稲五朗	パスワード使うの？	
154	00:01:19	らうらう	？？？？？？	
155	00:01:21	ねこくーる	おいしい煮玉子	
156	00:01:23	mori mori	タッチで野球ゲームじゃないわけ	
157	00:01:24	カギカギ	唐突に始まった	
158	00:01:26	motiyomogi	あやしい	
