行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	フレコSW-7126-9330-1145	
1	00:00:00	Eトマト	送りましたー	
2	00:00:00	Eトマト	強烈なモアイ	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	ジョナサン・グレーン	送りました！	
5	00:00:00	カギアカギ	おいしい煮玉子	
6	00:00:00	カーマイン	クリア時寝ちゃってたからそのおめでとう分含めて	￥3,000
7	00:00:14	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:19	Eトマト	おいしい煮玉子	
9	00:00:19	motiyomogi	おいしい煮玉子	
10	00:00:22	らうらう	おいしいにたまご	
11	00:00:22	ジョナサン・グレーン	おいしい煮玉子	
12	00:00:23	うぇいのる	おいしい煮玉子	
13	00:00:26	sio3go	おいしい煮玉子	
14	00:00:26	デンキヒツジ	おいしい煮玉子	
15	00:00:29	JUNY	おいしい煮玉子	
16	00:00:37	なんたら	おいしい煮玉子	
17	00:00:41	ふぁる	おいしい煮玉子	
18	00:00:41	馬の骨に念仏	おいしい煮玉子	
19	00:00:44	eve	おいしい煮玉子	
20	00:00:45	JUNY	今日は何時までの予定？	
21	00:00:47	いぶきんぐ	おいしい煮玉子	
22	00:00:47	うぇいのる	観戦で楽しもう	
23	00:00:48	こみこ	おいしい煮玉子	
24	00:00:50	空気	おいしい煮玉子	
25	00:00:52	Luce	おいしい煮卵	
26	00:00:55	白雪	おいしい煮玉子	
27	00:01:02	スモーク	おいしい煮子	
28	00:01:04	ミワタリ	おいしい煮玉子	
29	00:01:11	まりも	おいしい煮玉子	
30	00:01:13	のねずみ20日	おいしい煮玉子	
31	00:01:16	ジョナサン・グレーン	そうだったんだ…	
32	00:01:27	x 7up	おいしい煮玉子	
33	00:01:37	りあすて	おいしい煮玉子	
34	00:01:48	ねこくーる	おいしい煮玉子	
35	00:01:52	やなぎかげ	おいしい煮玉子	
36	00:01:55	JUNY	0時までね	
37	00:01:59	ジョナサン・グレーン	終わったら全員抜けるのが一番いいんじゃないかな	
38	00:02:00	うぇいのる	ストック制なの	
39	00:02:31	竹輪	おいたま〜	
40	00:02:50	究極ド根性ダイコン	名曲だー	
41	00:02:57	eve	名曲	
42	00:03:20	スモーク	草	
43	00:03:22	竹輪	え…	
44	00:03:26	八木谷	おいしい煮玉子	
45	00:03:26	ホワイトラン衛兵	草	
46	00:03:33	究極ド根性ダイコン	こわい	
47	00:03:34	ジャック・オー	みるな	
48	00:03:39	ミワタリ	こわい	
49	00:03:41	うぇいのる	草	
50	00:03:42	八木谷	草	
51	00:03:45	Clacklin/クラックリン	ホラーかな	
52	00:03:46	ジョナサン・グレーン	はい	
53	00:03:47	Eトマト	564219	
54	00:03:47	りあすて	こわい	
55	00:03:49	当て字	陰の者	
56	00:00:00	꧁꧂クゥの部屋꧁꧂	フレコSW-7126-9330-1145	
57	00:00:00	Eトマト	送りましたー	
58	00:00:00	Eトマト	強烈なモアイ	
59	00:00:00	岸辺一徳	おいしい煮玉子	
60	00:00:00	ジョナサン・グレーン	送りました！	
61	00:00:00	カギアカギ	おいしい煮玉子	
62	00:00:00	カーマイン	クリア時寝ちゃってたからそのおめでとう分含めて	￥3,000
