行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	毒入りトマト	あ	
1	00:00:00	毒入りトマト	お、YouTube復旧した	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	むむめめ	おいしい煮玉子	
4	00:00:00	カギカギ	おいしい煮玉子	
5	00:00:00	小さい胡麻塩	おいしい煮玉子	
6	00:00:00	mk 95	おいしい煮玉子	
7	00:00:00	T.のかね	おいしい煮玉子	
8	00:00:14	竹輪	おいしい煮玉子	
9	00:00:19	カギカギ	おいしい煮玉子	
10	00:00:22	biggs	おいしい煮玉子	
11	00:00:22	_ Die	おいしい煮玉子	
12	00:00:23	らうらう	​おいしい煮玉子	
13	00:00:25	sio3go	おいしい煮玉子	
14	00:00:34	らうらう	かわいい	
15	00:00:42	竹輪	映画館の背景だ	
16	00:00:44	タケノコ男	おいしい煮玉子	
17	00:00:48	mk 95	写ってるよー	
18	00:00:50	T.のかね	大丈夫	
19	00:00:53	毒入りトマト	大丈夫ですよー	
20	00:00:54	_ Die	大丈夫	
21	00:00:56	らうらう	だいじょうぶ	
22	00:00:57	竹輪	大丈夫よ	
23	00:01:01	タケノコ男	無問題	
24	00:01:08	なんたら	おいしい煮玉子	
25	00:01:12	竹輪	かわいい	
26	00:01:13	ありすみ	おいしい煮卵	
27	00:01:14	マイフェイバリットトリビアン	おいしい煮玉子	
28	00:01:22	T.のかね	音も平気	
29	00:01:39	毒入りトマト	おいしい煮卵	
30	00:01:41	らうらう	？	
31	00:02:02	T.のかね	姉ちゃん側の問題か	
32	00:02:29	リフェ	おいしい煮玉子	
33	00:02:46	竹輪	かわいい	
34	00:02:51	らうらう	かわいい	
35	00:02:55	毒入りトマト	かわいい	
36	00:03:01	カギカギ	かわいい	
37	00:03:04	もっけい	スマホいじりが見える見える	
38	00:03:32	竹輪	はーい	
39	00:03:36	らうらう	おてて	
40	00:03:42	八木谷	かわいい	
41	00:04:22	毒入りトマト	なるほど、そういや広告消す必要あるね	
42	00:04:24	なんたら	「つ」で再生	
43	00:04:35	小さい胡麻塩	かわいい	
44	00:05:03	毒入りトマト	へぇー大分昔だね	
45	00:05:09	竹輪	つらそう	
46	00:05:23	タケノコ男	へー	
47	00:05:33	リフェ	なるほど	
48	00:05:34	毒入りトマト	それなら地雷って事は無さそう	
49	00:05:35	なんたら	そうなんだ	
50	00:05:51	ジョナサン・グレーン	おいしい煮玉子	
51	00:06:02	タケノコ男	かわいい	
52	00:06:06	白花 咲/しらはな通信社	はじまた	
53	00:06:07	らうらう	東宝	
54	00:06:09	竹輪	かわいい	
55	00:06:10	もっけい	雲黒斎も結構ダーク	
56	00:06:16	biggs	かわいい	
57	00:06:22	ジョナサン・グレーン	また	
58	00:00:00	毒入りトマト	あ	
59	00:00:00	毒入りトマト	お、YouTube復旧した	
60	00:00:00	らうらう	おいしい煮玉子	
61	00:00:00	むむめめ	おいしい煮玉子	
62	00:00:00	カギカギ	おいしい煮玉子	
63	00:00:00	小さい胡麻塩	おいしい煮玉子	
64	00:00:00	mk 95	おいしい煮玉子	
65	00:00:00	T.のかね	おいしい煮玉子	
66	00:00:14	竹輪	おいしい煮玉子	
67	00:00:19	カギカギ	おいしい煮玉子	
