行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	じょーげん	おいしい煮玉子	
2	00:00:00	JUNY	おいしい煮玉子	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	桜田紅	おいしい煮玉子	
5	00:00:00	リフェ	おいしい煮玉子	
6	00:00:00	パンセポンセ	おいしい煮玉子	
7	00:00:00	天然ステルス	おいしい煮玉子	
8	00:00:00	ヌルヌペペ	おいしい煮玉子	
9	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
10	00:00:00	スモーク	おいしい煮玉子	
11	00:00:00	seafood	おいしい煮玉子	
12	00:00:00	おさかな	おいしい煮玉子	
13	00:00:00	岸辺一徳	おいしい煮玉子	
14	00:00:00	x 7up	おいしい煮玉子	
15	00:00:00	TomatoCastle	おいしい煮玉子	
16	00:00:00	究極ド根性ダイコン	おいしい煮玉子パイ	
17	00:00:00	biki koto	おいしい煮玉子	
18	00:00:00	Nal Otokomos	おいしい煮玉子	
19	00:00:00	クゥの部屋 Ch	ちょっとトラブルが	
20	00:00:00	aa aa	おいしい煮玉子	
21	00:00:00	motiyomogi	大丈夫？	
22	00:00:00	らうらう	なにごと	
23	00:00:00	パンセポンセ	あら	
24	00:00:00	JUNY	ちょっtoLOVEるが！？	
25	00:00:00	らうらう	rip NEURON	
26	00:00:00	リフェ	unityの調子が悪いのかな…？	
27	00:00:00	究極ド根性ダイコン	いったい何が	
28	00:00:00	mk 95	美味しくないトラブル	
29	00:00:00	aa aa	ニューロン頑張って	
30	00:00:00	岸辺一徳	ニューロンくん……	
31	00:00:00	D W	おめぇの出番だキネクト！	
32	00:00:00	岸辺一徳	Kinect発掘RTA！	
33	00:00:00	なのちゃん	あらら	
34	00:00:00	aa aa	耐久配信で酷使されたにゅーろんくんが	
35	00:00:00	なんたら	準備forever…	
36	00:00:00	ジョナサン・グレーン	ニューロンの逆襲	
37	00:00:00	ナウ	姉ちゃんどこ・・・	
38	00:00:12	おさかな	闇	
39	00:00:16	リフェ	おいしい煮玉子	
40	00:00:16	ナウ	おいしい煮玉子	
41	00:00:19	パンセポンセ	おいしい煮玉子	
42	00:00:19	のねずみ	おいしい煮玉子	
43	00:00:21	天然ステルス	おいしい煮玉子	
44	00:00:22	ジョナサン・グレーン	おいしい煮玉子	
45	00:00:23	にけい	おいしい煮玉子	
46	00:00:23	aarar scsrt	おいしい煮玉子	
47	00:00:24	seafood	おいしい煮玉子	
48	00:00:24	おさかな	おいしい煮玉子	
49	00:00:25	なんたら	おいしい煮玉子	
50	00:00:25	ふーばー	おいしい煮玉子	
51	00:00:26	マイフェイバリットトリビアン	おいしい煮玉子	
52	00:00:26	カギカギ	おいしい煮玉子	
53	00:00:28	JUNY	こんにちは	
54	00:00:28	motiyomogi	おいしい煮玉子	
55	00:00:30	タケノコ男	おいしい煮玉子	
56	00:00:31	らうらう	おいしい煮玉子	
57	00:00:31	aa aa	おいしい煮玉子	
58	00:00:34	x 7up	おいしい煮玉子	
