行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Tamaya	おいしいおにぎり	
1	00:00:00	_ Tamaya	TastyRiceBall	
2	00:00:00	ヘンリーダーガー	Good taste boiled egg	
3	00:00:00	にけい	あくまのおにぎり	
4	00:00:00	らうらう	Devil's rice ball	
5	00:00:00	ほるもん	OEC	
6	00:00:00	なんたら	美味的煮雞蛋	
7	00:00:00	ナウ	待機🍙	
8	00:00:00	にけい	今日の挨拶どれにする会議	
9	00:00:00	らうらう	オモシロどうぶつ動画	
10	00:00:00	スモーク	おいしい煮玉子	
11	00:00:00	竹輪	おいたま！	
12	00:00:11	天然ステルス	おいしい煮玉子	
13	00:00:12	しれちゅー	おいにた	
14	00:00:12	タケノコ男	おいしい煮玉子	
15	00:00:15	なんたら	美味しい煮玉子	
16	00:00:15	ナウ	おいしいおにぎり	
17	00:00:21	eve	おいしい煮玉子	
18	00:00:24	mori mori	はじまた	
19	00:00:24	岸辺一徳	おいしい煮玉子	
20	00:00:29	らうらう	​おいしい煮玉子	
21	00:00:33	にけい	おいしい煮玉子	
22	00:00:39	竹輪	おいしい煮玉子〜	
23	00:00:45	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
24	00:00:46	タケノコ男	かわいい	
25	00:00:49	うぇいのる	おいしい煮玉子	
26	00:00:52	せせらぎ	おいしい酔い止め～	
27	00:00:53	あい	おいしい煮玉子	
28	00:00:56	竹輪	酔い止めは大事	
29	00:01:03	Eトマト	おいにたー	
30	00:01:05	ジョナサン・グレーン	おいしい煮玉子	
31	00:01:06	カギアカギ	おいしい煮玉子	
32	00:01:07	pika	おいしい煮玉子	
33	00:01:11	らうらう	ヤクきめてる	
34	00:01:14	なんたら	ヤッター！！！	
35	00:01:15	motiyomogi	おいしい煮玉子	
36	00:01:16	Redmix	おいしい煮玉子	
37	00:01:17	あい	食べて	
38	00:01:17	ωひがほん	おいしい煮玉子	
39	00:01:18	クロノス	酔いにはお気を付けて～(;＞_＜;)	
40	00:01:18	ジョナサン・グレーン	酔い止め飲んでるのかわいい	
41	00:01:21	スモーク	草	
42	00:01:21	タケノコ男	もぐクゥ	
43	00:01:21	らうらう	かわいい	
44	00:01:25	しれちゅー	ごはん配信だ！	
45	00:01:34	岸辺一徳	おいしいあさごはん	
46	00:01:37	スモーク	かわいい	
47	00:01:39	なんたら	ありがたい…	
48	00:01:39	せせらぎ	何食べてるの？	
49	00:01:39	らうらう	めっちゃたべてる！	
50	00:01:46	タケノコ男	かわいい！！！	
51	00:01:49	あい	かわいい	
52	00:01:54	らうらう	なにこの配信	
53	00:01:56	うぇいのる	おいしいなにか	
54	00:01:57	にけい	ニューロンはすごい	
55	00:01:59	スモーク	これなにか当てるやつ？	
56	00:02:01	mori mori	時々カメラ目線になる	
57	00:02:03	ジャック・オー	おいしいごはん	
58	00:02:03	なんたら	メトロイドプライムおかずに御飯食べる人初めて見た	
59	00:02:06	うぇいのる	かわいい	
60	00:02:08	ねこくーる	開幕でご飯食べるの草	
61	00:02:11	岸辺一徳	こっち見るのかわいい	
62	00:00:00	_ Tamaya	おいしいおにぎり	
63	00:00:00	_ Tamaya	TastyRiceBall	
64	00:00:00	ヘンリーダーガー	Good taste boiled egg	
65	00:00:00	にけい	あくまのおにぎり	
66	00:00:00	らうらう	Devil's rice ball	
67	00:00:00	ほるもん	OEC	
68	00:00:00	なんたら	美味的煮雞蛋	
69	00:00:00	ナウ	待機🍙	
70	00:00:00	にけい	今日の挨拶どれにする会議	
71	00:00:00	らうらう	オモシロどうぶつ動画	
72	00:00:00	スモーク	おいしい煮玉子	
73	00:00:00	竹輪	おいたま！	
74	00:00:11	天然ステルス	おいしい煮玉子	
75	00:00:12	しれちゅー	おいにた	
76	00:00:12	タケノコ男	おいしい煮玉子	
77	00:00:15	なんたら	美味しい煮玉子	
78	00:00:15	ナウ	おいしいおにぎり	
