行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	八木谷	お疲れ様でした	
1	00:00:00	ホワイトラン衛兵		￥1,000
2	00:00:00	うぇいのる		￥108
3	00:00:00	20分ねずみ	クリアお疲れ様でした	￥1,080
4	00:00:15	えび	おいしい煮玉子	
5	00:00:15	周恩来	おいしい煮玉子	
6	00:00:16	ホワイトラン衛兵	おいしい煮玉子	
7	00:00:21	Clacklin	おいしい煮玉子	
8	00:00:23	あい	おいしい煮玉子	
9	00:00:23	_ Die	おいしい煮玉子	
10	00:00:24	タケノコ男	おいしい煮玉子	
11	00:00:26	尾花	おいしい煮玉子	
12	00:00:26	らうらう	おいしい煮玉子	
13	00:00:26	スモーク	おいしい煮玉子	
14	00:00:27	プラスワン	おいしい煮玉子	
15	00:00:28	ほるもん	おいしい煮玉子	
16	00:00:28	ログ	おいしい煮玉子	
17	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
18	00:00:30	リフェ	おいしい煮玉子	
19	00:00:31	Shota Hamada	おいしい煮玉子	
20	00:00:35	eve 8848	おいしい煮玉子	
21	00:00:36	りあすて	おいしい煮玉子	
22	00:00:38	Atelier Fräulein Official	おいしい煮玉子	
23	00:00:40	キタカシ	おいしい煮玉子	
24	00:00:43	ニラ山ネギ助	​おいしい煮玉子	
25	00:00:45	らうらう	ついーてぃんぐ	
26	00:00:46	行方不明	おいしい煮玉子	
27	00:00:50	なんたら	ナイスツイーティング	
28	00:00:52	ナウ	おいしい煮玉子	
29	00:00:55	ジョナサン・グレーン	ツイーティング	
30	00:00:56	ぴねかっと	おいしい煮玉子	
31	00:01:00	JUNY	おいしい煮玉子	
32	00:01:12	うぇいのる	おいしい煮玉子	
33	00:01:19	にけい	おいしい煮玉子	
34	00:01:29	Ami Saika	おいしい煮玉子	
35	00:01:36	岸辺一徳	おいしい煮玉子	
36	00:01:36	カーマイン	おいしい煮玉子	
37	00:02:10	キタカシ	お姉ちゃん部屋の電気付けないと暗いよ	
38	00:02:21	かたもく	おいしい草	
39	00:02:24	助六	おいしい煮卵	
40	00:02:54	うぇいのる	多いな…	
41	00:03:25	りあすて	最後までクソジジイなのか・・・	
42	00:03:34	J u d a s s	おいしい煮玉子ー	
43	00:03:43	ほるもん	湯葉つよい	
44	00:04:13	biggs	おいしい煮玉子	
45	00:04:22	東京コノハムシ	おいしい煮玉子	
46	00:04:24	ライクライク	りゅうげきそうが確かかなり使えたはず💡	
47	00:04:47	りあすて	メイザース一人！なのか！	
48	00:04:52	ニラ山ネギ助	FEパートって地形効果とかあるの？	
49	00:04:59	竹輪	おいたま	
50	00:05:28	カーマイン	さすリド	
51	00:00:00	八木谷	お疲れ様でした	
52	00:00:00	ホワイトラン衛兵		￥1,000
53	00:00:00	うぇいのる		￥108
54	00:00:00	20分ねずみ	クリアお疲れ様でした	￥1,080
55	00:00:15	えび	おいしい煮玉子	
56	00:00:15	周恩来	おいしい煮玉子	
57	00:00:16	ホワイトラン衛兵	おいしい煮玉子	
58	00:00:21	Clacklin	おいしい煮玉子	
59	00:00:23	あい	おいしい煮玉子	
60	00:00:23	_ Die	おいしい煮玉子	
61	00:00:24	タケノコ男	おいしい煮玉子	
62	00:00:26	尾花	おいしい煮玉子	
63	00:00:26	らうらう	おいしい煮玉子	
64	00:00:26	スモーク	おいしい煮玉子	
65	00:00:27	プラスワン	おいしい煮玉子	
66	00:00:28	ほるもん	おいしい煮玉子	
67	00:00:28	ログ	おいしい煮玉子	
68	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
69	00:00:30	リフェ	おいしい煮玉子	
70	00:00:31	Shota Hamada	おいしい煮玉子	
71	00:00:35	eve 8848	おいしい煮玉子	
72	00:00:36	りあすて	おいしい煮玉子	
73	00:00:38	Atelier Fräulein Official	おいしい煮玉子	
74	00:00:40	キタカシ	おいしい煮玉子	
75	00:00:43	ニラ山ネギ助	​おいしい煮玉子	
76	00:00:45	らうらう	ついーてぃんぐ	
77	00:00:46	行方不明	おいしい煮玉子	
78	00:00:50	なんたら	ナイスツイーティング	
79	00:00:52	ナウ	おいしい煮玉子	
80	00:00:55	ジョナサン・グレーン	ツイーティング	
81	00:00:56	ぴねかっと	おいしい煮玉子	
82	00:01:00	JUNY	おいしい煮玉子	
83	00:01:12	うぇいのる	おいしい煮玉子	
84	00:01:19	にけい	おいしい煮玉子	
85	00:01:29	Ami Saika	おいしい煮玉子	
86	00:01:36	岸辺一徳	おいしい煮玉子	
87	00:01:36	カーマイン	おいしい煮玉子	
88	00:02:10	キタカシ	お姉ちゃん部屋の電気付けないと暗いよ	
89	00:02:21	かたもく	おいしい草	
90	00:02:24	助六	おいしい煮卵	
91	00:02:54	うぇいのる	多いな…	
92	00:03:25	りあすて	最後までクソジジイなのか・・・	
93	00:03:34	J u d a s s	おいしい煮玉子ー	
94	00:03:43	ほるもん	湯葉つよい	
95	00:04:13	biggs	おいしい煮玉子	
96	00:04:22	東京コノハムシ	おいしい煮玉子	
97	00:04:24	ライクライク	りゅうげきそうが確かかなり使えたはず💡	
98	00:04:47	りあすて	メイザース一人！なのか！	
99	00:04:52	ニラ山ネギ助	FEパートって地形効果とかあるの？	
100	00:04:59	竹輪	おいたま	
101	00:05:28	カーマイン	さすリド	
102	00:05:46	らうらう	湯葉	
103	00:06:12	ジョナサン・グレーン	つよすぎる	
104	00:06:15	岸辺一徳	つよい	
105	00:06:26	えび	つよい	
106	00:06:29	八木谷	つよい	
107	00:06:29	eve 8848	つよい	
108	00:06:30	リフェ	つよい	
109	00:06:30	なんたら	つよい	
110	00:06:31	竹輪	つよい	
111	00:06:31	白雪	かっこいい	
112	00:06:32	らうらう	つよい	
113	00:06:33	うぇいのる	つよい	
114	00:06:34	カーマイン	勝ったなガハハ	
115	00:06:45	東京コノハムシ	オルランドゥか？	
116	00:06:47	周恩来	ナイス！	
117	00:07:05	ジョナサン・グレーン	ここまで押せると気持ちいいね	
118	00:07:14	らうらう	軍師クゥ	
119	00:07:30	ナウ	おお	
120	00:07:33	ライクライク	火炎そうだった💧	
121	00:07:35	うぇいのる	おお	
122	00:07:37	らうらう	やったぜ	
123	00:07:41	ジョナサン・グレーン	すごい	
124	00:07:44	タケノコ男	勝ったな	
125	00:08:14	カーマイン	ｲｲﾈ	
126	00:08:46	岸辺一徳	ずるい	
127	00:08:53	なにここ	美味しい煮玉子	
128	00:08:54	ジョナサン・グレーン	つよい	
129	00:08:58	うぇいのる	つよい…	
130	00:09:03	カーマイン	つよい	
131	00:09:06	周恩来	つよつよあんころもち	
132	00:09:27	らうらう	やったあ	
133	00:09:52	白雪	ぽひぽひぽひぽひ	
134	00:10:56	東京コノハムシ	一騎当千	
135	00:11:09	なんたら	地下にこもってただけはある	
136	00:11:24	ライクライク	雷	
137	00:11:48	ジョナサン・グレーン	つよい	
138	00:11:52	らうらう	おしい	
139	00:11:53	竹輪	うーむ…	
140	00:11:55	なにここ	固い	
141	00:11:56	ナウ	傷はつけた	
142	00:11:59	八木谷	おしいなぁ	
143	00:12:01	うぇいのる	うーん…	
144	00:12:04	タケノコ男	おしい	
145	00:12:04	ZW犬死無能盾-肉無鶏	難しい	
146	00:12:04	周恩来	かてぇ	
147	00:12:05	カーマイン	おしい	
148	00:12:12	りあすて	やったー！	
149	00:12:14	らうらう	やったーーーーー	
150	00:12:14	岸辺一徳	やったね！	
151	00:12:19	Shota Hamada	ナイス	
152	00:12:20	八木谷	やったー！	
153	00:12:20	近藤亮	やったーー！	
154	00:12:20	スモーク	やった	
155	00:12:21	あい	やったね	
156	00:12:22	ログ	やった	
157	00:12:23	なにここ	雷たすかる	
158	00:12:24	タケノコ男	やったね	
159	00:12:26	東京コノハムシ	つよい	
160	00:12:28	かたもく	やったね！	
161	00:12:29	ニラ山ネギ助	味方が頼もしい	
162	00:12:29	ろりはるこん	やったね	
163	00:12:39	なんたら	ありがたいな	
164	00:13:45	ジョナサン・グレーン	やったね	
165	00:13:45	岸辺一徳	やったね！	
166	00:13:46	らうらう	やったぜ	
167	00:13:51	うぇいのる	やったね	
168	00:13:54	カーマイン	やったね	
169	00:13:55	FFDD	やったね	
170	00:13:57	周恩来	やったね	
171	00:14:02	竹輪	やったー	
172	00:14:10	ねこくーる	いいかんじ	
173	00:14:22	スモーク	つえー	
174	00:14:24	岸辺一徳	いい感じ	
175	00:14:25	eve 8848	順調だ	
176	00:14:27	しねちゅー	勝ったなガハハ	
177	00:14:42	なにここ	本陣が先陣切ってるの薩摩感ある	
178	00:15:06	岸辺一徳	がんばってる	
179	00:15:11	佐藤太郎	これは痛い	
180	00:15:21	岸辺一徳	つよい	
181	00:15:22	ジョナサン・グレーン	いにゅしなないで	
182	00:15:24	タケノコ男	つよい	
183	00:15:37	うぇいのる	ネームド強いな	
184	00:16:06	なんたら	やった！	
185	00:16:07	ジョナサン・グレーン	やったね	
186	00:16:07	リフェ	やった！	
187	00:16:07	えび	やったね	
188	00:16:07	あい	やったね	
189	00:16:08	タケノコ男	やったね	
190	00:16:08	岸辺一徳	やったね！	
191	00:16:09	ナウ	勝った！	
192	00:16:10	カーマイン	やったね	
193	00:16:10	らうらう	やったね	
194	00:16:11	スモーク	やったね	
195	00:16:11	近藤亮	やったね！	
196	00:16:11	周恩来	よっしゃ	
197	00:16:12	竹輪	勝った！	
198	00:16:13	eve 8848	やったね！	
199	00:16:14	Shota Hamada	やったね！	
200	00:16:15	K. u	やったね	
201	00:16:16	うぇいのる	やったね！	
202	00:16:17	ホワイトラン衛兵	やったね！	
203	00:16:22	_ Die	やったね！	
204	00:16:22	佐藤太郎	勝ったか	
205	00:16:23	JUNY	勝った！	
206	00:16:35	岸辺一徳	？！	
207	00:16:52	なんたら	ハッタリか	
