行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	JUNY	おつかれー	
1	00:00:00	なんたら		￥100
2	00:00:00	らうらう		￥100
3	00:00:14	うぇいのる	おいしい煮玉子	
4	00:00:14	あい	おいしい煮玉子	
5	00:00:18	なんたら	おいしい煮玉子	
6	00:00:18	eve	おいしい煮玉子	
7	00:00:19	JUNY	おいしい煮玉子	
8	00:00:21	周恩来	おいしい煮玉子	
9	00:00:22	mori mori	おいしい晩御飯	
10	00:00:22	ジャック・オー	おいしい煮玉子	
11	00:00:25	ああ	おいしい煮玉子	
12	00:00:25	ナウ	おいしい煮玉子	
13	00:00:27	FFDD	おいしい煮玉子	
14	00:00:28	カーマイン	おいしい煮玉子	
15	00:00:30	ほるもん	おいしい煮玉子	
16	00:00:31	スモーク	おいしい煮玉子	
17	00:00:32	御早和杯	おいしい煮玉子	
18	00:00:34	ニャンコ先生	美味しい煮玉子	
19	00:00:39	八木谷	おいしい煮玉子	
20	00:00:39	らうらう	おいしいにたまご	
21	00:00:40	biki koto	おいしい煮玉子	
22	00:00:40	いぶきんぐ	おいしい煮玉子	
23	00:00:45	ふーばー	おいしい煮玉子	
24	00:00:48	sio3go	おいしい煮玉子	
25	00:00:56	こみこ	おいしい煮玉子	
26	00:01:10	クロムア	おいしい煮玉子	
27	00:01:10	内海柚	おいしい煮玉子	
28	00:01:10	ナウ	ランキング零位を目指してるクゥ・フラン・ゾーパーさんだ！	
29	00:01:12	にけい	おいしい煮玉子	
30	00:01:14	ノギ	お仕事終わって今来た煮玉子	
31	00:01:46	ジャック・オー	ガバガバな関所が悪い	
32	00:01:47	JUNY	押したら開く関所が悪い	
33	00:01:49	八木谷	セキュリティが悪いよー	
34	00:01:57	スモーク	建付け悪いのがいけないんだ	
35	00:02:18	うぇいのる	ストーリーいいよね…	
36	00:03:15	八木谷	いいよね	
37	00:03:48	ジャック・オー	おいしい煮玉子	
38	00:03:48	JUNY	あとは？	
39	00:03:48	カーマイン	おいしい煮玉子	
40	00:03:59	あい	おいしい煮玉子	
41	00:04:12	周恩来	あれシュールだね	
42	00:04:15	あい	アンドロイドだよ	
43	00:04:40	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
44	00:04:40	カーマイン	リアルロボ子さんだった	
45	00:04:41	リフェ	​おいしい煮玉子	
46	00:04:47	いぶきんぐ	Tverで後で見られるってアイちゃんが言ってたから無理しないことにしたよ	
47	00:05:41	近藤亮	おいしい煮玉子	
48	00:06:00	うぇいのる	やったね	
49	00:06:36	ナウ	５分だけでもいい	
50	00:07:13	aarar scsrt	おいしい煮玉子	
51	00:00:00	JUNY	おつかれー	
52	00:00:00	なんたら		￥100
53	00:00:00	らうらう		￥100
54	00:00:14	うぇいのる	おいしい煮玉子	
55	00:00:14	あい	おいしい煮玉子	
56	00:00:18	なんたら	おいしい煮玉子	
57	00:00:18	eve	おいしい煮玉子	
58	00:00:19	JUNY	おいしい煮玉子	
59	00:00:21	周恩来	おいしい煮玉子	
60	00:00:22	mori mori	おいしい晩御飯	
61	00:00:22	ジャック・オー	おいしい煮玉子	
62	00:00:25	ああ	おいしい煮玉子	
63	00:00:25	ナウ	おいしい煮玉子	
64	00:00:27	FFDD	おいしい煮玉子	
