行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	JUNY	おつかれー	
1	00:00:00	なんたら		￥100
2	00:00:00	ホワイトラン衛兵		￥100
3	00:00:00	えび		￥100
4	00:00:00	らうらう		￥100
5	00:00:14	うぇいのる	おいしい煮玉子	
6	00:00:14	あい	おいしい煮玉子	
7	00:00:18	なんたら	おいしい煮玉子	
8	00:00:18	eve 8848	おいしい煮玉子	
9	00:00:19	JUNY	おいしい煮玉子	
10	00:00:21	周恩来	おいしい煮玉子	
11	00:00:22	mori mori	おいしい晩御飯	
12	00:00:22	ジャック・オー	おいしい煮玉子	
13	00:00:25	ああ	おいしい煮玉子	
14	00:00:25	ナウ	おいしい煮玉子	
15	00:00:27	FFDD	おいしい煮玉子	
16	00:00:28	カーマイン	おいしい煮玉子	
17	00:00:30	ほるもん	おいしい煮玉子	
18	00:00:31	スモーク	おいしい煮玉子	
19	00:00:32	御早和杯	おいしい煮玉子	
20	00:00:33	えび	おいしい煮玉子	
21	00:00:34	ニャンコ先生	美味しい煮玉子	
22	00:00:37	結城晶	おいしい煮玉子	
23	00:00:39	八木谷	おいしい煮玉子	
24	00:00:39	らうらう	おいしいにたまご	
25	00:00:40	biki koto	おいしい煮玉子	
26	00:00:40	いぶきんぐ	おいしい煮玉子	
27	00:00:45	ふーばー	おいしい煮玉子	
28	00:00:48	sio3go	おいしい煮玉子	
29	00:00:56	こみこ	おいしい煮玉子	
30	00:01:10	クロム	おいしい煮玉子	
31	00:01:10	内海柚	おいしい煮玉子	
32	00:01:10	ナウ	ランキング零位を目指してるクゥ・フラン・ゾーパーさんだ！	
33	00:01:12	にけい	おいしい煮玉子	
34	00:01:14	ノギ	お仕事終わって今来た煮玉子	
35	00:01:46	ジャック・オー	ガバガバな関所が悪い	
36	00:01:47	JUNY	押したら開く関所が悪い	
37	00:01:49	八木谷	セキュリティが悪いよー	
38	00:01:57	スモーク	建付け悪いのがいけないんだ	
39	00:02:18	うぇいのる	ストーリーいいよね…	
40	00:03:15	八木谷	いいよね	
41	00:03:48	ジャック・オー	おいしい煮玉子	
42	00:03:48	JUNY	あとは？	
43	00:03:48	カーマイン	おいしい煮玉子	
44	00:03:59	あい	おいしい煮玉子	
45	00:04:12	周恩来	あれシュールだね	
46	00:04:15	あい	アンドロイドだよ	
47	00:04:40	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
48	00:04:40	カーマイン	リアルロボ子さんだった	
49	00:00:00	JUNY	おつかれー	
50	00:00:00	なんたら		￥100
51	00:00:00	ホワイトラン衛兵		￥100
52	00:00:00	えび		￥100
53	00:00:00	らうらう		￥100
54	00:00:14	うぇいのる	おいしい煮玉子	
55	00:00:14	あい	おいしい煮玉子	
56	00:00:18	なんたら	おいしい煮玉子	
57	00:00:18	eve 8848	おいしい煮玉子	
58	00:00:19	JUNY	おいしい煮玉子	
59	00:00:21	周恩来	おいしい煮玉子	
60	00:00:22	mori mori	おいしい晩御飯	
61	00:00:22	ジャック・オー	おいしい煮玉子	
62	00:00:25	ああ	おいしい煮玉子	
63	00:00:25	ナウ	おいしい煮玉子	
64	00:00:27	FFDD	おいしい煮玉子	
65	00:00:28	カーマイン	おいしい煮玉子	
