行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Tamaya	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	カギアカギ	おいしい煮玉子	
3	00:00:00	しねちゅー	おいしい煮玉子～	
4	00:00:00	ωひがほん	おいしい煮玉子	
5	00:00:00	スモーク	おいたま	
6	00:00:00	えび	おいしい煮玉子	
7	00:00:00	フレイムリンクス	おいしいフェイゾン	
8	00:00:00	キタカシ	おいたま～	
9	00:00:00	竹輪	おいたま〜！	
10	00:00:00	なんたら	おいしい煮玉子	
11	00:00:00	あい	おいしい煮玉子	
12	00:00:00	結城晶	おいしい煮玉子	
13	00:00:00	motiyomogi	おいしい煮玉子	
14	00:00:00	らうらう	おいしい煮玉子	
15	00:00:00	ねこくーる	おいしい煮玉子	
16	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
17	00:00:00	キタカシ	お姉ちゃん ツイッターに夢中になり遅刻	
18	00:00:00	ωひがほん	かわいい	
19	00:00:00	らうらう	クゥ🆒バーチャル超JC（姉） @koo_fran_zopar ツイッターが楽しすぎて5分後に開始する配信の準備忘れてたが Translate Tweet 11:55am · 28 Oct 2018	
20	00:00:00	竹輪	ツイッターに夢中な姉ちゃんかわいい	
21	00:00:00	岸辺一徳	かわいい	
22	00:00:00	タケノコ男	おいしい煮玉子	
23	00:00:00	カギアカギ	かわいいがすぎる	
24	00:00:00	らうらう	Twitterはだめなやつだな	
25	00:00:00	꧁꧂クゥの部屋꧁꧂	あ	
26	00:00:00	岸辺一徳	あ	
27	00:00:00	えび	ツイッター最低だな！	
28	00:00:00	らうらう	あ	
29	00:00:00	0077 oioi	あらら	
30	00:00:00	まつ	あ	
31	00:00:00	なんたら	あ	
32	00:00:00	近藤亮	あ	
33	00:00:00	スモーク	あ	
34	00:00:00	クロノス	Twitterに夢中～(笑)	
35	00:00:00	タケノコ男	あ	
36	00:00:00	ωひがほん	い	
37	00:00:00	竹輪	あ	
38	00:00:00	えび	う	
39	00:00:00	motiyomogi	あ、アは、日本語の音節の1つであり仮名の1つである。1モーラを形成する。五十音図において第1行第1段（あ行あ段）に位置する。	
40	00:00:00	なんたら	お	
41	00:00:00	近藤亮	え	
42	00:00:00	0077 oioi	解説助かる	
43	00:00:08	ωひがほん	あ知らんかったから助かる	
44	00:00:12	岸辺一徳	おいしい煮玉子	
45	00:00:14	究極ド根性ダイコン	あ解説助かる	
46	00:00:15	motiyomogi	おいしい煮玉子	
47	00:00:17	竹輪	おいしい煮玉子〜	
48	00:00:17	なんたら	座り直しかわい	
49	00:00:20	御早和杯	おいしい煮玉子	
50	00:00:20	らうらう	おいたま	
51	00:00:21	カギアカギ	おいしい煮玉子	
52	00:00:21	えび	おいたま～	
53	00:00:22	FFDD	おいしい煮玉子	
54	00:00:23	タケノコ男	おいしい煮玉子	
55	00:00:24	Redmix	おいしい煮玉子	
56	00:00:25	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
57	00:00:25	あい	おいしい煮玉子	
58	00:00:32	ωひがほん	おいしい煮玉子	
